Franco-Provençal	Franco-Provençal	probability
ˈɛː_ʁ	ˈe_j	1.0
ˈɛ_t	ˈɛ_t	1.0
ˈɑː	-	1.0
ˈy	ˈo_w_r_a	1.0
ˈe_#>	ˈe_#>	1.0
ˈa_#>	ˈe_#>	1.0
ʦ	ʦ	1.0
ʃ_#>	ʃ_#>	1.0
ʁ_ə	e	1.0
ʁ_o	e_r	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɛ̃	n_ʒ	1.0
ɛː	e	1.0
ɛ	j_ˈo	1.0
ə_#>	#>	1.0
ɔ̃	ʃ	1.0
ɔ	o	1.0
ɑ̃	a_n	1.0
ɑː	a_s	1.0
z	ʒ	1.0
y	r	1.0
w_ˈɛː	ˈe_d	1.0
w_ˈe	ˈɔ	1.0
u	o	1.0
p	p	1.0
o_ð	o_r	1.0
n	n	1.0
l	l	1.0
k	k	1.0
j_ˈø	ˈɛ	1.0
f	f	1.0
e	-	1.0
d	d	1.0
b	b	1.0
a_#>	#>	1.0
a	a	1.0
<#_ˈɑː	<#_ˈa	1.0
<#_ʁ	<#_r	1.0
<#_ð	<#_ʒ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
m	m	0.826
v	v	0.821
t	t	0.765
ʃ	ʨ	0.714
<#_e	<#_ʃ	0.714
ʁ	r	0.7
o	-	0.7
ˈo	ˈo	0.636
ˈa	ˈa	0.632
ˈɛ	ˈe	0.625
ˈɔ	ˈɔ	0.6
ˈɑ̃	ˈa_n	0.6
ʒ	-	0.6
ˈi	ˈi	0.588
ˈe	ˈɛ	0.586
ˈɛ̃	ˈɛ_n	0.583
ˈĩ	ˈi_n	0.571
ˈɔ̃	ˈo_n	0.556
s	s	0.556
j	-	0.55
w	w	0.545
ə	a	0.542
ˈø	ˈɔ	0.5
ˈø	w	0.5
ð	r	0.5
ð	-	0.5
i	i	0.5
i	a	0.5
ˈoː	ˈɔ	0.467
ˈɛː	ˈe_j	0.455
j	j	0.45
ˈu	-	0.444
ˈĩ	n	0.429
ˈɔ	ˈo	0.4
ˈaː	ˈɛ	0.4
ˈaː	ˈe	0.4
ʒ	j	0.4
#>	t_#>	0.389
ʎ	d_l	0.385
ʎ	-	0.385
ə	e	0.375
<#	<#_ˈa	0.364
ˈu	ˈɔ	0.333
o	e	0.3
<#_e	<#	0.286
<#	<#_l	0.273
ˈɛ̃	n	0.25
ˈɛ	ˈɛ	0.25
ʎ	l	0.231
ˈɛː	ˈɛ	0.227
ˈɔ̃	ˈɔ_n	0.222
ˈɔ̃	n	0.222
ˈu	ˈu	0.222
ˈɑ̃	ˈa_ŋ	0.2
ˈɑ̃	ˈa_m	0.2
ˈoː	w_ˈɛ	0.2
ˈoː	-	0.2
ˈaː	-	0.2
ˈo	w_ˈɛ	0.182
ˈo	-	0.182
w	-	0.182
<#	<#_ʒ	0.182
<#	<#_d	0.182
v	-	0.179
ˈi	j_ˈɛ	0.176
ˈe	ˈi	0.172
ˈɛ̃	ɲ	0.167
s	ʨ	0.167
#>	s_#>	0.167
ˈa	ˈa_t	0.158
s	-	0.139
ˈɛː	ˈe	0.136
w	ˈu	0.136
w	ˈo	0.136
ˈoː	ˈa_w	0.133
ˈɛ	-	0.125
ˈi	ˈɛ	0.118
ˈi	j	0.118
t	s_t	0.118
t	-	0.118
s	ʧ	0.111
ˈa	ˈɛ_k	0.105
ˈa	ˈɛ	0.105
ˈe	ˈa	0.103
ʁ	r_t	0.1
ʁ	-	0.1
ʃ	ʥ	0.095
ʃ	ʃ	0.095
ʃ	s	0.095
ˈɛː	e	0.091
ˈɛː	-	0.091
m	m_a	0.087
m	e_m	0.087
ə	ʨ_a	0.083
#>	ʃ_#>	0.083
#>	p_#>	0.083
#>	l_#>	0.083
#>	f_#>	0.083
ˈe	ˈɛ_k	0.069
ˈe	-	0.069
#>	r_#>	0.056
#>	a_#>	0.056
