Icelandic	Scots	probability
ˈʏ_ɡ̊	ˈu	1.0
ˈʏ_t͡l̥	ˈuː	1.0
ˈɪː	ˈɪ	1.0
ˈɛː_x	ˈaː	1.0
ˈɛi̯	ˈe	1.0
ˈɛ_ɡ̊	ˈɛː	1.0
ˈɔː	ˈɪ	1.0
ˈɔu̯	-	1.0
ˈɑu̯	ˈɑː	1.0
ˈœː	-	1.0
ˈœ	-	1.0
ˈou̯	-	1.0
ˈiː_r̥	ˈuː	1.0
ˈi	ˈɪ	1.0
ˈau̯	ˈɛ	1.0
ˈai̯	ˈi	1.0
ʰt͡n̥	t_ə	1.0
ʰt	t	1.0
ʰp	p	1.0
ɲ	-	1.0
ɣ	-	1.0
ɡ̊ː	ʤ	1.0
ɟ̊ː	-	1.0
ɛ_ɣ	ɪ	1.0
ɑu̯_ŋ	e	1.0
ŋ_ɡ̊	ŋ	1.0
ŋ	ŋ	1.0
ð_a	d	1.0
ç	h	1.0
v_ˈɪː	w	1.0
u	ˈu	1.0
t͡n̥	n	1.0
t͡l̥	l	1.0
tʰ	tʰ	1.0
t	t	1.0
s_k	ʃ	1.0
s_j	s	1.0
s_c	ʃ	1.0
r_ˈɛ	r_ˈɪ	1.0
pʰ	pʰ	1.0
p	p	1.0
n̥	n	1.0
m	m	1.0
kʰ_v	ʍ	1.0
kʰ	kʰ	1.0
k_ˈoːu̯	ˈøː	1.0
k	k	1.0
j_ˈɛː	ˈiː	1.0
j_ˈɛ	ˈɪ_ç	1.0
j_ˈoːu̯	ˈi	1.0
i	-	1.0
h	h	1.0
f	f	1.0
c_a	k	1.0
b̥	b	1.0
aːu̯	i	1.0
s	s	0.949
a	-	0.935
n	n	0.902
ʏ	ə	0.867
l	l	0.862
r̥	r	0.845
cʰ	kʰ	0.839
d̥	d	0.832
r	r	0.824
θ	θ	0.796
ˈɪ	ˈɪ	0.759
ɡ̊_ʏ	ə	0.75
ˈuː	ˈu	0.749
l̥	l	0.74
ˈu	ˈʌ	0.722
nː	n	0.705
ɡ̊	-	0.662
ˈɛːi̯	ˈe	0.66
ˈɛː	-	0.613
j_ˈuː	ˈiː	0.606
ˈaːi̯	ˈi	0.596
ˈaːu̯	-	0.593
ˈoːu̯	-	0.589
ɟ̊	ɡ	0.571
ˈʏː	-	0.568
ɪ	ə	0.551
j	-	0.547
ˈɛ	-	0.544
ʰk	k	0.542
ˈaː	-	0.532
ˈiː	ˈəi̯	0.531
ð	d	0.484
v	-	0.471
ʰk	ŋ	0.458
ˈʏː	ˈɪ	0.432
ˈʏ	ˈʌ	0.43
ɟ̊	-	0.429
ˈaːu̯	ˈeː	0.407
ˈaːi̯	-	0.404
j_ˈuː	ˈi	0.394
ˈɑːu̯	ˈiː	0.392
ˈɔ	ˈo	0.391
ˈɔ	w	0.391
ɪ	-	0.391
ˈiː	ˈiː	0.354
ˈʏ	-	0.342
ˈɛːi̯	ˈiː	0.34
ɡ̊	j	0.338
ˈœːy̯	ˈi	0.337
ˈœːy̯	ˈe	0.337
ˈɛ	ˈɛ	0.333
ˈɑːu̯	-	0.333
ˈa	ˈa	0.332
ˈa	ˈeː	0.328
ˈœːy̯	-	0.327
nː	θ	0.295
v	v	0.283
ˈu	-	0.278
ˈɑːu̯	ˈi	0.275
ˈaː	ˈe	0.267
l̥	-	0.26
ɡ̊_ʏ	ˈɔɪ̯	0.25
v	w	0.246
ð	ð	0.245
ˈa	ˈɑː	0.23
ˈʏ	ˈu	0.228
ˈoːu̯	ˈø	0.222
ˈɔ	-	0.219
ˈɛː	ˈiː	0.213
θ	-	0.204
ˈaː	ˈeː	0.2
ˈoːu̯	ˈɪ	0.189
j	ˈɛ	0.184
ð	θ	0.182
ˈɛː	ˈɛ	0.174
d̥	-	0.168
cʰ	ʧ	0.161
ˈuː	ˈuː	0.149
ˈɪ	ˈo	0.148
l	-	0.138
ʏ	-	0.133
ˈɛ	ˈa	0.123
ˈiː	-	0.115
j	ˈi	0.113
ˈa	ˈɛ	0.11
ˈuː	-	0.102
n	-	0.098
ˈɪ	ˈaːɪ̯	0.093
ð	-	0.089
j	ˈɪ	0.083
j	ˈiː	0.072
a	k	0.065
r	ˈeː	0.062
ɪ	ə_r	0.058
r̥	-	0.055
s	-	0.051
