Proto-Germanic	Wymysorys	probability
θ_ɑ̃	d̥	1.0
β	v	1.0
ˈɑː	-	1.0
ˈɑi̯_w	ˈei̯	1.0
ˈɑ_ɣ	ˈi̯ø	1.0
ˈɑ_r	ˈi̯ø	1.0
ˈu_ɣ	ˈɘ̟_k	1.0
ˈĩː	ˈai̯	1.0
ˈiː	ˈai̯	1.0
ˈiu̯	ˈɑi̯	1.0
ˈi_j	ˈai̯	1.0
ɸ	f	1.0
ɣ_ɑ	ɡ̊	1.0
ɡʷ	ɟ	1.0
ɡ	ɡ̊	1.0
ɛː	ɛ	1.0
ɔːu̯	-	1.0
ɔː	-	1.0
ɑː	-	1.0
ɑi̯	ˈɛ_n	1.0
ɑ_n	a	1.0
ŋ	ŋ	1.0
ð	t	1.0
z	r	1.0
xʷ	-	1.0
x_t	x_t	1.0
x_l	w	1.0
wː	ˈɑi̯	1.0
u	-	1.0
tː	ʦ	1.0
s_ˈɑ	z_ˈɑ	1.0
s_ɑ̃	s	1.0
s_k	ʃ	1.0
r_ɑ	ɛ	1.0
pː	-	1.0
nː	n	1.0
n_ɑ̃	a	1.0
n_s	n_s	1.0
mː	m	1.0
lː	w	1.0
l_ɑ	l	1.0
kː	x	1.0
kʷ	-	1.0
k_ɑ	c	1.0
k_s	x	1.0
jː	ˈai̯	1.0
iː	-	1.0
i	-	1.0
e_x	ɑ	1.0
e	ɛ	1.0
d_ɑ	d̥	1.0
b	b	1.0
l	w	0.895
m	m	0.888
ˈeu̯	ˈi	0.857
n	n	0.826
ˈɑi̯	ˈa	0.819
ˈi	ˈɘ̟	0.804
p	f	0.799
j	-	0.788
w	v	0.771
θ	d	0.723
ˈuː	ˈɑi̯	0.721
k_i	ç	0.684
r	r	0.67
k	x	0.662
β_ɑ	n	0.653
ɔːː	-	0.625
x	h	0.611
ˈɔː	ˈʏ	0.584
ˈɑu̯	ˈɑi̯	0.584
ɑ	-	0.567
ˈɛː	ˈø	0.55
ˈu	ˈu	0.529
ɣ	ɡ	0.502
ˈe	ˈɑ	0.474
d	d	0.474
t	s	0.462
ˈɛː	-	0.45
ˈɔː	ˈi	0.416
ˈɑu̯	ˈu	0.416
ˈɑ	ˈɑ	0.394
ɔːː	a	0.375
s	z	0.373
ɑ	ə	0.364
β_ɑ	b̥	0.347
ˈɑ	ˈɔ	0.329
k_i	ʧ	0.316
s	s	0.299
t	ʦ	0.291
d	d̥	0.291
ˈuː	-	0.279
s	ʃ	0.262
t	t	0.247
ˈu	ˈɘ̟	0.24
d	t	0.235
w	-	0.229
r	-	0.217
x	-	0.202
p	p	0.201
ɣ	ɟ	0.195
ˈu	-	0.187
ˈɑi̯	-	0.181
k	ç	0.172
ˈe	-	0.171
k	k	0.166
ɣ	ɡ̊	0.164
j	r	0.147
ˈɑ	ˈɛ	0.146
ˈeu̯	ˈɪ	0.143
ɣ	ɪ_k	0.138
ˈe	ˈa	0.136
ˈi	-	0.134
ˈɑ	ˈi	0.13
n	-	0.13
x	k	0.113
m	n	0.112
θ	t	0.111
l	l	0.105
ˈe	ˈɘ̟	0.095
θ	d̥	0.092
θ	-	0.074
x	x	0.074
ɑ	ɛ	0.068
s	-	0.066
r	ɛ	0.065
j	j	0.065
ˈe	ˈɑi̯	0.062
ˈe	ˈei̯	0.062
ˈi	ˈei̯	0.061
