Afrikaans	Nynorsk Norwegian	probability
b	b	1.0
ɡ̊	-	1.0
ˈoːɪ̯	ˈæʉ̯	1.0
d̥	d	0.071
d̥	lː	0.391
n	n	0.601
p	pʰ	0.131
p	p	0.711
t	tː	0.071
t	ʰtː	0.121
w	ˈuː	0.221
ŋ	ɲ	0.131
ə	ŋ	0.051
ɫ	-	0.061
ˈa	ˈɛ	0.081
ˈæ	ˈɛ	0.51
ˈœɪ̯	ˈʉ	0.091
ˈɔː	ˈɑ	0.161
ˈɛː	ˈɑː	0.261
ˈɛː	jː	0.261
ˈɪə̯	ˈøː	0.11
χ	j	0.111
d̥	nː	0.322
ə	-	0.092
ə	ɑ	0.12
ɫ	l	0.742
ˈi	ˈɛ	0.052
ˈi	ˈyː	0.282
ˈæ	ˈʏ	0.112
ˈə	ˈʏ	0.102
ˈɪ	ˈɔ	0.302
ˈɪø̯	ˈɑː	0.142
ˈɪə̯	ˈæɪ̯	0.402
d	d	0.493
j	ˈeː	0.23
k	-	0.093
k	ç	0.163
k	k	0.363
p	ʰpː	0.063
v̥	ʋ	0.553
w	ˈɔ	0.053
ə	e	0.313
ˈi	ˈoː	0.133
ˈu	ˈøː	0.343
ˈyː	ˈɛ	0.203
ˈyː	ˈʉː	0.343
ˈyː	ˈyː	0.453
ˈæ	ˈœ	0.093
ˈœ	ˈɔ	0.263
ˈʊə̯	ˈæʉ̯	0.183
χ	ɡ	0.613
i	e	0.514
j	-	0.644
m	mː	0.084
v	kʰ_ʋ	0.094
ŋ	ŋː	0.784
ɦ	j	0.174
ˈa	ˈɑː	0.064
ˈi	ˈʉː	0.194
ˈæ	ˈeː	0.284
ˈœɪ̯	ˈyː	0.074
ˈœɪ̯	ˈʏ	0.104
ˈə	ˈɛ	0.14
ˈɪø̯	ˈœ	0.084
ˈɪø̯	ˈɔ	0.774
ˈɪə̯	ˈʉː	0.054
k	ɡ	0.075
p	-	0.095
r	ɾ	0.895
s	s	0.815
t	-	0.05
t	tʰ	0.185
v	v	0.145
ˈæː	ˈæ	0.135
ˈœɪ̯	ˈʉː	0.655
ˈɔ	ˈoː	0.095
ˈɔ	ˈʉ	0.545
ˈəɪ̯	ˈæɪ̯	0.225
ˈɛ	ˈøː	0.235
ˈɛ	ˈɛ	0.735
d	tʰ	0.346
f	f	0.706
i	ɾ	0.486
j	ˈʉː	0.126
m	m	0.916
v	-	0.166
w	ç	0.226
ŋ	-	0.086
ɦ	h	0.826
ɫ	ɡ_l	0.076
ˈa	-	0.06
ˈa	ˈoː	0.066
ˈa	ˈɑ	0.666
ˈæː	ˈɛ	0.636
ˈœɪ̯	ˈɔ	0.076
ˈɑː	ˈɑ	0.216
ˈə	ˈɪ	0.636
ˈəɪ̯	-	0.166
ˈɪə̯	ˈœ	0.076
ˈʊə̯	ˈoː	0.126
ˈʊə̯	ˈœʏ̯	0.156
χ	ɡː	0.136
k	kʰ	0.277
n	nː	0.17
n	-	0.217
r	-	0.087
t	t	0.527
v	ʋ	0.557
v̥	-	0.447
ə	ə	0.377
ˈi	ˈuː	0.067
ˈi	ˈeː	0.137
ˈu	-	0.077
ˈœ	ˈʏ	0.737
ˈœu̯	ˈʉ	0.157
ˈɑː	ˈɑː	0.187
ˈɔ	ˈœ	0.087
ˈɔ	ˈɔ	0.17
ˈɪə̯	ˈiː	0.07
ˈʊə̯	ˈuː	0.117
ˈʊə̯	ˈʊ	0.337
f	-	0.068
f	ʋ	0.178
w	ʋ	0.478
ˈu	ˈuː	0.58
ˈœu̯	ˈuː	0.058
ˈœu̯	ˈɑ	0.548
ˈəɪ̯	ˈiː	0.578
ˈɛː	ˈæɪ̯	0.478
ˈɪ	ˈʉː	0.698
d	-	0.129
d̥	-	0.169
s	ʂ	0.149
ɫ	lː	0.099
ˈi	ˈiː	0.109
ˈæː	ˈɑ	0.229
ˈœu̯	jː	0.189
ˈɑː	ˈoː	0.489
ˈɔː	ˈʏ	0.839
ˈə	ˈiː	0.059
ˈɪə̯	ˈeː	0.19
χ	ʰtː	0.079
