Bokmål Norwegian	Bokmål Norwegian	probability
ˈʏ	ˈʏ	1.0
ˈʊ	ˈɔ	1.0
ˈʉ	ˈʉ	1.0
ˈɑː	ˈɑː	1.0
ˈœʏ̯	ˈœʏ̯	1.0
ˈœ_tː	ˈøː_t	1.0
ˈæː_ɾ	ɾ	1.0
ˈæː	ˈæː	1.0
ˈæ	ˈæ	1.0
ˈoː	ˈoː	1.0
ʈː	ɾ_t	1.0
ʂ	ʂ	1.0
ɾ_ə	ɾ_e	1.0
ɾ	ɾ	1.0
ɳ	ɾ_n	1.0
ɪ	ɪ	1.0
ɡ	ɡ	1.0
ə_n	e_n	1.0
ç	ç	1.0
tʰ	tʰ	1.0
sː	sː	1.0
pː	ʰpː	1.0
pʰ	pʰ	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l	l	1.0
kː	ʰkː	1.0
kʰ	kʰ	1.0
k_ə	ç_ɑ	1.0
k	k	1.0
i	-	1.0
h	h	1.0
f	f	1.0
d_ə	ʉ	1.0
b	b	1.0
s	s	0.941
t	t	0.923
ˈɑ	ˈɑ	0.917
d	d	0.909
ˈiː	ˈiː	0.889
ˈɪ	ˈɪ	0.875
ŋː	ŋː	0.875
ˈʉː	ˈʉː	0.857
ˈuː	ˈuː	0.857
ˈeː	ˈeː	0.818
ʋ	ʋ	0.794
tː	ʰtː	0.778
nː	nː	0.739
ɡː	ɡː	0.714
ˈɛ	ˈɛ	0.708
lː	lː	0.692
j	j	0.692
ˈyː	ˈyː	0.667
mː	m	0.667
ˈɔ	ˈɔ	0.636
ˈæɪ̯	ˈæɪ̯	0.636
#>	ɡ_#>	0.5
#>	ɑ_#>	0.5
ə	ɑ	0.48
ˈøː	ˈæʉ̯	0.471
ˈøː	ˈøː	0.412
ə	e	0.4
ˈɔ	-	0.364
ˈœ	ˈʏ	0.364
ˈœ	-	0.364
ˈyː	ˈʉː	0.333
mː	mː	0.333
ɡː	jː	0.286
ˈœ	ˈœ	0.273
tː	tː	0.222
ˈæɪ̯	ˈeː_ɡ	0.182
ˈæɪ̯	ɡ	0.182
ˈeː	ˈæɪ̯	0.182
nː	n_d	0.174
ˈɛ	-	0.167
lː	l_ʋ	0.154
lː	l	0.154
j	ɡ	0.154
j	-	0.154
ˈʉː	-	0.143
ˈuː	ˈʊ	0.143
ˈɪ	ˈɛ	0.125
ˈɛ	ˈæɪ̯	0.125
ŋː	ɲ	0.125
ˈøː	ˈœʏ̯	0.118
ˈiː	-	0.111
d	-	0.091
ʋ	-	0.088
nː	n	0.087
ˈɑ	ˈɔ	0.083
ə	ə	0.08
t	ʰtː	0.077
ʋ	m	0.059
ʋ	kʰ_ʋ	0.059
s	ʂ	0.059
