Aromanian	Occitan	probability
a	-	0.599
a	ˈa	0.175
a	a	0.131
a	ɔ	0.05
b	b	0.524
b	β	0.179
b	-	0.114
b	ɡ	0.103
b	m	0.08
d	d	0.543
d	-	0.317
d	t	0.122
e	-	0.726
e	a	0.202
e	w	0.072
e̯a	-	1.0
e̯ˈa	ˈe	0.441
e̯ˈa	ˈe_j	0.168
e̯ˈa	ˈɛ	0.122
e̯ˈa	ˈa	0.085
e̯ˈa	ˈy	0.065
e̯ˈa	e	0.06
e̯ˈa	j	0.058
f	f	0.919
i	-	0.548
i	e	0.289
i	ɔ	0.062
j	v	0.658
j	-	0.212
j	ˈɛ	0.069
k	k	0.592
k	p	0.149
k	-	0.116
k	ɣ	0.068
l	l	0.805
l	-	0.114
l	w	0.081
m	m	0.786
m	ŋ	0.084
m	ɲ	0.077
n	n	0.651
n	-	0.242
o̯ˈa	ˈɔ	0.484
o̯ˈa	ˈu	0.16
o̯ˈa	ɥ	0.12
o̯ˈa	-	0.096
o̯ˈa	ˈa	0.065
p	p	0.529
p	β	0.17
p	-	0.136
p	k	0.063
r	-	0.373
r	ɾ	0.339
r	r	0.182
r	l	0.105
s	s	0.967
t	t	0.525
t	ð	0.166
t	j	0.096
t	-	0.087
t	β	0.083
u	-	0.522
u	e	0.166
u	u	0.162
u	ˈy	0.059
v	v	0.774
v	w	0.226
w	w	0.833
w	l	0.108
w	-	0.058
z	v	1.0
ç	f	1.0
ŋ	ŋ	0.517
ŋ	-	0.483
ə	ɔ	0.662
ə	-	0.172
ə	a	0.112
ɡ	b	0.433
ɡ	ɣ	0.279
ɡ	ɡ	0.089
ɡ	β	0.067
ɡ	-	0.066
ɨ	a	0.798
ɨ	u	0.202
ɲ	m	0.622
ɲ	ɲ	0.266
ɲ	n	0.111
ʃ	s	0.509
ʃ	d	0.2
ʃ	-	0.128
ʃ	s_j	0.088
ʃ	ɾ	0.051
ʎ	l	0.842
ʎ	ʎ	0.158
ʣ	d	0.331
ʣ	ʒ	0.226
ʣ	ʤ	0.197
ʣ	-	0.165
ʣ	ʧ	0.06
ʤ	ʒ	0.601
ʤ	-	0.399
ʦ	s	0.362
ʦ	-	0.326
ʦ	k	0.114
ʦ	t	0.096
ʦ	z	0.077
ʧ	s	0.723
ʧ	p	0.174
ʧ	-	0.103
ˈa	ˈa	0.858
ˈa	ˈɛ	0.091
ˈe	ˈɛ	0.564
ˈe	ˈe	0.314
ˈe	j_ˈɛ	0.094
ˈi	ˈi	0.376
ˈi	ˈe	0.306
ˈi	ˈɛ	0.179
ˈi	-	0.107
ˈo	ˈɔ	0.478
ˈo	w	0.143
ˈo	ɥ_ˈɔ	0.104
ˈo	ˈu	0.103
ˈo	ˈɛ	0.092
ˈu	ˈu	0.427
ˈu	ˈɔ	0.249
ˈu	ˈy	0.233
ˈə	ˈi	0.662
ˈə	ˈe	0.338
ˈɨ	ˈa	0.804
ˈɨ	ɥ	0.098
ˈɨ	u	0.071
