Bavarian	Bavarian	probability
β	v	1.0
ˈɑː	ˈɑ	1.0
ˈiː	ˈi	1.0
ˈeɐ̯	ˈĩː	1.0
ˈau̯	ˈau̯	1.0
ʋ	v	1.0
ʃ_d̥	s_t	1.0
ɡ̊_a	ɡ̊_ə	1.0
ə_#>	#>	1.0
ɑ	-	1.0
ç	ʃ	1.0
x_d̥	ʃ_t	1.0
kʰ	kʰ	1.0
j_d̥	l	1.0
h	h	1.0
f_a	v̥_ə	1.0
f	f	1.0
eɐ̯	ɛː	1.0
d̥_ˈu	d̥_ˈuː	1.0
d̥_a	æ̆	1.0
b̥͡v̥_ˈaː	pʰ	1.0
b̥͡v̥	-	1.0
#>	ʃ_#>	1.0
r	ʀ	0.923
ʃ	ʃ	0.9
j	l	0.889
s	s	0.878
m	m	0.862
ʦ	ʦ	0.857
ˈi	ˈi	0.84
ˈiɐ̯	ˈiː	0.818
l	l	0.818
n	n	0.816
ɐ	ɐ	0.812
x	x	0.8
ˈou̯	ˈoː	0.75
d̥	d̥	0.75
ˈaː	ˈaː	0.714
ˈuɐ̯	ˈuː	0.7
ˈɒː	ˈɑː	0.667
ˈoː	ˈoː	0.667
ˈa	-	0.667
b̥	b̥	0.667
ˈai̯	ˈai̯	0.571
a	æ̆	0.562
ˈoɐ̯	ˈaː	0.556
ŋ	ŋ	0.533
ˈɑ	ˈɑ	0.5
ˈɑ	ˈa	0.5
ˈu	ˈu	0.5
ˈai̯_n	ˈɑ̃i̯	0.5
ˈai̯_n	ˈoĩ̯	0.5
ɡ̊_#>	ʃ_#>	0.5
ɡ̊_#>	#>	0.5
d̥_n	ə	0.5
d̥_n	d̥_ə	0.5
ɡ̊	ɡ̊	0.435
ɡ̊	k	0.435
ˈai̯	ˈoi̯	0.429
ˈe	ˈe	0.4
ˈe	ˈɛ	0.35
ˈoː	-	0.333
ˈa	ˈa	0.333
b̥	p	0.333
ˈuɐ̯	ˈu	0.3
ˈo	ˈo	0.286
ˈaː	-	0.286
a	ə	0.281
ˈou̯	oː	0.25
ˈeː	ˈɛː	0.25
ˈeː	ˈɛ	0.25
ˈeː	ˈeː	0.25
d̥	t	0.25
ˈo	ˈɔ	0.238
ˈu	ˈi	0.222
ˈoɐ̯	ˈãː	0.222
ˈoɐ̯	-	0.222
ŋ	j_ə	0.2
x	ɣ̊	0.2
ɐ	-	0.188
ˈiɐ̯	ˈi	0.182
ˈɒː	ˈɑ	0.167
ˈɒː	ˈa	0.167
ˈu	-	0.167
ˈeː	ˈæː	0.167
ˈe	ˈæ	0.15
ˈo	ˈɑ	0.143
ˈo	ˈa	0.143
ʦ	-	0.143
n	ə	0.143
m	v_ə	0.138
ŋ	ʒ̊_ə	0.133
ŋ	ɣ̊_ə	0.133
ɡ̊	ɣ̊	0.13
a	-	0.125
s	z̥	0.122
ˈu	ˈo	0.111
j	j	0.111
ˈe	ˈæː	0.1
ʃ	ʒ̊	0.1
ˈo	ˈoː	0.095
ˈo	ˈaː	0.095
l	l_ˈaː	0.091
l	-	0.091
ˈeː	ˈɛ̃ː	0.083
ˈi	ˈiː	0.08
ˈi	-	0.08
r	ɐ	0.077
