Québécois French	Neapolitan	probability
aœ̯	ˈo	1.0
f	f	1.0
o	w_ˈɔ	1.0
y	ˈu	1.0
z	-	1.0
œ	ə	1.0
ɛ	ə	1.0
ɲ	ɲː_ə	1.0
ʊ	ˈu	1.0
ʏ	ˈu	1.0
ʣ	d	1.0
ʦ	t	1.0
ã	ˈɛ_n	0.61
e	ə	0.371
k	k_w	0.071
t	-	0.091
t	t	0.51
v	-	0.101
ɔ	w_ˈɔ	0.11
ʒ	-	0.091
ẽɪ̯̃	-	0.182
j	ˈɛ	0.272
n	-	0.082
s	ʃː	0.102
v	p	0.052
ɔ	u	0.142
ɡ	-	0.192
ɪ	-	0.2
ʁ	ɾ	0.252
ã	ˈa_nː	0.243
b	-	0.053
b	b	0.273
d	-	0.423
j	ə	0.463
n	n	0.423
oʊ̯	j_ˈɛ	0.603
p	p	0.923
t	s_t	0.123
w	ˈu_ʃ	0.133
æɛ̯	a	0.083
ɒ̃ʊ̯̃	ˈo	0.103
ɡ	ɡ	0.63
ʃ	k	0.683
ʒ	j	0.323
e	ˈa	0.4
l	j	0.174
n	n_ə	0.44
s	-	0.154
s	ʃ	0.294
u	ˈu	0.404
øʏ̯	ə	0.734
ɒ̃ʊ̯̃	ˈo_n	0.294
ʁ	r	0.224
ʁ	ɾ_ə	0.374
i	ʦː_ə	0.075
j	j	0.095
l	-	0.105
u	u	0.165
v	v	0.805
w	ˈi_ɾ	0.125
ɑɔ̯	w_ˈɔ	0.475
ɑɔ̯	ˈɔ	0.525
ɒ̃ʊ̯̃	w_ˈɔ	0.185
ɥ	tː	0.165
ɥ	ˈu	0.565
e	-	0.196
j	ʎː_ə	0.126
l	l_ə	0.156
oʊ̯	ə	0.36
t	tː	0.276
u	ˈu_j	0.216
w	t	0.086
æɛ̯	ˈe	0.06
æɛ̯	-	0.076
øʏ̯	k_ə	0.266
ʒ	ʤ	0.296
ã	ˈa_n	0.147
b	v	0.57
i	ə	0.347
l	l	0.497
m	m	0.777
p	k	0.077
u	ˈo	0.177
w	ˈi	0.137
ʃ	k_ˈa	0.07
ʃ	-	0.247
b	v_ə	0.068
d	d	0.518
ẽɪ̯̃	ə	0.818
i	tː_ə	0.068
l	lː_ə	0.068
m	mː_ə	0.158
w	-	0.18
w	ˈe	0.338
æɛ̯	ˈɛ	0.118
ɪ	ˈi	0.8
ʁ	-	0.118
a	a	0.439
a	ˈa	0.489
d	t	0.059
i	ˈi	0.509
k	k	0.929
s	s	0.419
æɛ̯	ˈa	0.619
ɒ̃ʊ̯̃	-	0.169
ɒ̃ʊ̯̃	ˈu_n	0.249
ɔ	ˈɔ	0.749
ɡ	ɡ_w	0.179
ɥ	ˈɔ	0.269
ʒ	d	0.29
