Insular North Frisian	Old Frisian	probability
ˈa_s	ˈe_s	1.0
ʃ	s	1.0
ʁ̥	r	1.0
ə_n	ə_n	1.0
ə_l	l	1.0
ɐ_n	r_n	1.0
x	x	1.0
tʲ	θ	1.0
tʰ	θ	1.0
r_ˈœ	r_ˈe	1.0
r_ə	r	1.0
pʰ	p	1.0
nʲ	n_d	1.0
lʲ	l_d	1.0
l_ə	l	1.0
k	k	1.0
h	h	1.0
e	-	1.0
b	b	1.0
aɪ̯	iː	1.0
m	m	0.979
p	p	0.955
f	f	0.931
s	s	0.92
n	n	0.888
l	l	0.888
ŋ	ŋ	0.854
v	w	0.839
t	t	0.827
ˈɔa̯	ˈaː	0.811
r	r	0.808
ɡ	ɡ	0.711
ɾ	d	0.682
ˈaɪ̯	ˈe_j	0.6
ˈuː	ˈɔː	0.588
ˈyː	ˈuː	0.584
d	θ	0.582
ˈøː	-	0.577
ə	ə	0.574
ˈɛː	-	0.562
ɪ	ə	0.557
ˈɪ	ˈi	0.544
j	j	0.527
ˈa	ˈa	0.523
ʁ̥_t	r_d	0.515
ɐ	r	0.502
ɐ	ə_r	0.498
ʁ̥_t	r	0.485
ˈʏ	ˈuː	0.477
j	ˈi̯uː	0.473
ç	ɣ	0.466
ɪ	i	0.443
ˈɛː	ˈe	0.438
ˈɔ	ˈo	0.428
ə	e	0.426
ˈøː	ˈeː	0.423
ˈɛ	ˈe	0.42
d	t	0.418
ˈyː	-	0.416
ˈœ	-	0.415
ˈɔː	ˈeː	0.408
ˈaɪ̯	ˈe	0.4
ˈoː	ˈaː	0.383
ˈœ	ˈu	0.376
ˈeː	ˈe	0.348
ç	x	0.328
ˈʊ	ˈu	0.327
ˈɪ	ˈiː	0.326
ˈoː	-	0.317
ˈeː	-	0.31
ˈoː	ˈoː	0.299
ˈuː	w	0.29
ɡ	-	0.289
ˈiː	ˈɛː	0.272
ˈeː	ˈeː	0.258
ˈɔː	ˈa	0.251
ˈa	ˈɔː	0.251
ɾ	ð	0.247
ˈiː	ˈi̯aː	0.231
ˈa	ˈe	0.225
ˈɔ	ˈoː	0.216
ˈɔ	ˈu	0.212
ˈœ	ˈɔː	0.209
ç	ɡː	0.207
ˈʊ	ˈi	0.197
ˈiː	ˈiː	0.196
ˈɔa̯	ˈa	0.189
ˈʏ	ˈu	0.18
ˈʏ	-	0.177
ˈɔː	-	0.175
ˈʊ	-	0.173
ˈɛ	ˈeː	0.149
ŋ	-	0.146
ˈɔ	ˈe	0.144
ˈʊ	ˈaː	0.141
ˈɪ	-	0.13
ˈɛ	ˈi	0.123
ˈuː	-	0.123
ˈɔː	ˈaː	0.122
ˈiː	ˈeː	0.118
v	h_w	0.116
r	ˈe	0.115
ˈɛ	ˈɛː	0.114
ˈiː	-	0.112
n	nː	0.112
ˈʏ	ˈoː	0.1
ˈɛ	ˈi̯aː	0.097
ˈɛ	-	0.097
t	tː	0.092
ˈʊ	ˈɔː	0.084
ˈeː	ˈi	0.084
t	d	0.081
ˈʊ	ˈoː	0.078
l	l_ˈi̯aː	0.078
r	r_ˈi̯uː	0.076
ɾ	dː	0.071
ˈiː	ˈi_ʣ	0.07
f	v	0.069
s	z	0.067
ˈʏ	ˈiː	0.066
