Romansch	Sicilian	probability
a	a	1.0
b	b	0.913
b	v	0.087
d	t	0.456
d	d	0.28
d	-	0.159
d	n	0.087
e	ɪ	1.0
eː	ˈi	1.0
f	f	0.738
f	v_ɪ	0.105
f	v_ʊ	0.079
f	-	0.069
f_l	ç	1.0
i	i	0.326
i	ɪ	0.318
i	ʊ	0.183
i	u	0.122
j	-	0.234
j	ɪ	0.21
j	i	0.183
j	ˈɛ	0.16
j	ɟ	0.105
j	w	0.081
j_ˈa	ˈi	0.507
j_ˈɛ	ˈɔ	1.0
k	k	0.884
k	k_ʊ	0.109
l	l	0.628
l	ɖ	0.206
l	-	0.115
l_j	l	1.0
m	m	0.637
m	m_ɪ	0.167
m	n	0.071
n	n	0.772
n	n_ʊ	0.173
o	o	1.0
p	p	1.0
p_l	c	1.0
r	ɾ	0.529
r	r	0.261
r	ɾ_ʊ	0.069
r	-	0.054
s	s	0.658
s	-	0.155
s	ʃ	0.069
s	z_ʊ	0.062
t	t	0.765
t	-	0.107
t_ə	ʈ	1.0
u	u	0.382
u	w	0.227
u	i	0.112
u	ˈɔ	0.112
u	a	0.1
v	v	0.761
v	p	0.119
v	-	0.052
w	-	0.368
w	w	0.246
w	k_ʊ	0.168
w	ʊ	0.135
w	ʦ	0.066
w_n	n	1.0
z	d	0.066
ŋ	ŋ	0.833
ŋ	n	0.113
ə	a	0.712
ə	ɪ	0.088
ə	i	0.077
ə	-	0.063
ə_s	ɪ	1.0
ɡ	ɡ	0.576
ɡ	-	0.159
ɡ	ɲ	0.105
ɡ	ɟ	0.082
ɡ	ɕ	0.065
ɲ	ɲ	0.502
ɲ	ɲ_ʊ	0.371
ɲ	n	0.085
ʃ	ʃ	0.349
ʃ	ɕ_ɪ	0.291
ʃ	ʤ	0.09
ʃ	s	0.088
ʃ	-	0.077
ʎ	ɟ	0.527
ʎ	c	0.308
ʎ	l	0.159
ʒ	v	1.0
ʥ	j	0.436
ʥ	ʤ	0.323
ʥ	-	0.118
ʥ	ɡ	0.08
ʦ	ʦ	0.397
ʦ	ʧ	0.218
ʦ	ʦ_ʊ	0.199
ʦ	t	0.088
ʧ	ɕ	0.798
ʧ	ʧ	0.105
ʧ	ʦ	0.076
ʨ	k	0.634
ʨ	t_ʊ	0.131
ʨ	t_ɪ	0.101
ʨ	k_ʊ	0.075
ˈa	ˈa	0.848
ˈa	-	0.06
ˈa_j	ˈi	1.0
ˈa_w	ˈɔ	1.0
ˈaː	ˈa	0.902
ˈaː	ˈi	0.094
ˈe	ˈi	0.587
ˈe	ˈi_ɖ	0.131
ˈe	ˈa	0.105
ˈe	ˈɔ	0.072
ˈe	ˈu	0.071
ˈeː	ˈɛ	0.667
ˈeː	ˈi	0.21
ˈeː	i	0.053
ˈi	ˈi	0.505
ˈi	ˈu	0.279
ˈi	ˈi_k	0.085
ˈi_ə	ˈɛ	1.0
ˈiː	ɪ	0.415
ˈiː	ˈu	0.315
ˈiː	ˈi	0.199
ˈo	ˈu	0.257
ˈoː	ˈɔ	0.507
ˈu	ˈu	0.705
ˈu	ˈɔ	0.207
ˈu	ˈo	0.083
ˈu_s	ˈu	1.0
ˈuɔ̯	ˈɔ	0.257
ˈuː	ˈu	1.0
ˈɔ	ˈɔ	0.555
ˈɔ	ˈa	0.371
ˈɔ	-	0.072
ˈɔː	ˈɔ	0.733
ˈɔː	ˈa	0.265
ˈɛ	ˈɛ	0.649
ˈɛ	ˈi	0.14
ˈɛ	ˈɛ_ɖ	0.137
ˈɛː	ˈɛ	1.0
