Sicilian	Sicilian	probability
ˈɛ_ɖː	ˈɛː	1.0
ˈɔ_ɾ	ˈɔː_r	1.0
ˈɔ_k	j_ˈɛ	1.0
ˈu_j	ˈu_s	1.0
ˈo	ˈu	1.0
ˈi_k	ˈiː	1.0
ˈa_p	ə_v	1.0
ʧː	-	1.0
ʦː	ʦ	1.0
ʦ	t	1.0
ʤː	-	1.0
ʐː	r	1.0
ʊ_#>	#>	1.0
ʊ	w	1.0
ʈː	t	1.0
ʈ	t	1.0
ʃː_ɪ	ʃ_ə	1.0
ʃː	s	1.0
ʃ	ʃ	1.0
ɽ_ʊ	ə_r	1.0
ɲː	ɲ	1.0
ɲ	ɲ	1.0
ɪ_ɾ	r	1.0
ɟː	ʎ	1.0
ɟ	ɡ_l	1.0
ɖː	l	1.0
ɕ_ɪ_#>	ʃ_#>	1.0
ɕ	ʧ	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ç	f_l	1.0
z	-	1.0
v_i	v_ə	1.0
t_a	d_ə	1.0
sː	s	1.0
r_k	r_ʨ	1.0
r	r	1.0
p_ʊ_#>	p_#>	1.0
o	o	1.0
nː	n	1.0
n_ɪ_#>	n_#>	1.0
n_t	n_ʨ	1.0
mː	m	1.0
m	m	1.0
lː	l_i	1.0
l	l	1.0
f	f	1.0
dː	j_t	1.0
d	t	1.0
cː	ʎ	1.0
c	p_l	1.0
bː	b	1.0
b	b	1.0
a_#>	#>	1.0
<#_ˈɔ	<#_ˈɛ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʐ	<#_r	1.0
<#_ɕ	<#_ʧ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_k	<#_ʨ	1.0
<#_j	<#_ʃ	1.0
<#_d	<#_d	1.0
<#_a	<#	1.0
#>	t_#>	1.0
a	ə	0.929
ɪ_#>	#>	0.923
s	s	0.913
<#_l	<#_l	0.875
v	v	0.808
p	p	0.806
ɡ	ɡ	0.778
k	k	0.778
ɾ	r	0.773
n	n	0.743
t	t	0.708
u	u	0.6
kː	ʨ	0.6
j	ʥ	0.6
w	w	0.583
tː	ʨ	0.556
ˈɛ	ˈɛ	0.531
ˈa	ˈa	0.517
ʤ	ʥ	0.5
ʤ	ʃ	0.5
ɪ	ə	0.5
ˈu	ˈu	0.486
tː	t	0.444
w	-	0.417
u	-	0.4
kː	-	0.4
j	s	0.4
i	-	0.375
ˈa	ˈaː	0.3
t	d	0.292
ˈi	ˈa_j	0.255
i	i	0.25
ˈɔ	ˈɔ	0.231
ˈɔ	ˈu	0.231
ɪ	-	0.222
ɡ	-	0.222
ˈu	ˈuː	0.216
ˈi	ˈiː	0.216
n	w_n	0.2
ˈɛ	ˈɛː	0.188
i	ə	0.188
i	e	0.188
ˈi	ˈe	0.176
ɪ	s	0.167
v	f	0.154
ˈi	ˈi	0.137
ˈu	ˈi	0.135
ˈɛ	-	0.125
<#_l	<#_ʎ	0.125
ˈa	ˈɔ	0.117
ˈɔ	ˈɔː	0.115
ˈɔ	-	0.115
ɪ	ə_s	0.111
k	ʨ	0.111
k	-	0.111
ˈu	ˈiː	0.108
p	w	0.097
p	v	0.097
ˈɛ	ˈiə̯	0.094
s	ʃ	0.087
ˈɔ	ˈuː	0.077
ˈɔ	ˈo	0.077
ˈɔ	w	0.077
ˈɔ	u	0.077
ɪ_#>	r_#>	0.077
ɾ	ˈeː	0.068
ɾ	j	0.068
ˈa	-	0.067
ˈɛ	j	0.062
ˈi	ˈɛ	0.059
ˈi	ˈeː	0.059
ˈi	ˈa	0.059
n	-	0.057
ˈu	-	0.054
