English	English	probability
ˈɪ_ə	ɾ	1.0
ˈəʊ̯_ɫ	ˈɑu̯	1.0
ˈiː_k	ˈeː_k	1.0
ˈe_ð	ˈeː	1.0
ˈe_n	ˈi_n	1.0
ˈaɪ̯_n	ˈɛi̯_n	1.0
ʧ	k	1.0
ʤ	χ	1.0
ɡ	-	1.0
ɜː	ˈɛ_ɾ	1.0
əʊ̯	χ	1.0
ŋ	ŋ	1.0
ð	d	1.0
w	ʋ	1.0
t	t	1.0
s_#>	z̥_#>	1.0
pʰ	p	1.0
p	p	1.0
m	m	1.0
l	ɫ	1.0
kʰ	k	1.0
k_s_#>	s_#>	1.0
h	ɦ	1.0
f_#>	v̥_#>	1.0
d_ˈe	d_ˈoː	1.0
b	b	1.0
<#_ˈɐ	<#_ˈɔ	1.0
<#_ɹ	<#_ɾ	1.0
<#_ɡ	<#_χ	1.0
<#_tʰ	<#_t	1.0
<#_n	<#_n	1.0
n	n	0.95
f	v	0.926
ɹ	ɾ	0.9
ɫ	ɫ	0.824
ˈæ	ˈɑ	0.818
k	k	0.769
θ	d	0.684
ˈiː_#>	ˈɛi̯_#>	0.667
ˈaʊ̯	ˈœy̯	0.636
ʃ	s_χ	0.636
s	z	0.605
ˈɜː	ɾ	0.6
j	j	0.6
ə	ə_ɾ	0.562
d	d̥	0.529
ˈʊ	ˈɔ	0.5
ˈʊ	ˈu	0.5
ˈɛ	ˈɛ	0.5
ˈɛ	-	0.5
ˈɒ	ˈɔ	0.5
ˈeɪ̯	ˈaː	0.5
z	z̥	0.5
z	z_ə	0.5
#>	χ_#>	0.5
#>	ə_#>	0.5
d	d	0.471
ˈəʊ̯	ˈeː	0.429
ˈuː	ˈu	0.429
ɪ	-	0.429
ˈɜː	ˈɔ_ɾ	0.4
j	χ	0.4
s	s	0.395
ˈɪ	ˈɪ	0.394
ˈɔː	ˈoː_ɾ	0.385
ˈɑː	ˈɑ	0.385
ʃ	s	0.364
ˈɐ	ˈɔ	0.333
ˈɐ	ˈoː	0.333
ˈiː_#>	ˈi_#>	0.333
v	v̥	0.333
v	v_ə	0.333
v	v	0.333
θ	d̥	0.316
ə	ɾ	0.312
ˈɔː	ɾ	0.308
ˈuː	ˈɑ_n	0.286
ˈuː	-	0.286
ɪ	ə_χ	0.286
ɪ	ə	0.286
ˈaɪ̯	ˈɛi̯	0.267
ˈe	ˈeː	0.263
ˈiː	ˈoː	0.259
ˈɒ	ˈɑ	0.25
ˈɒ	-	0.25
k	k_ə	0.231
ˈiː	ˈu	0.222
ˈiː	ˈaː	0.222
ˈəʊ̯	ˈɛi̯	0.214
ˈe	ˈɛ	0.211
ˈaɪ̯	ˈɪ	0.2
ˈiː	ˈi	0.185
ˈæ	ˈɛ	0.182
ˈaʊ̯	ˈu	0.182
ˈaʊ̯	-	0.182
ɫ	ə_ɫ	0.176
ˈɐ	ˈœy̯	0.167
ˈɐ	ˈu	0.167
ˈeɪ̯	ˈɛ_χ	0.167
ˈeɪ̯	ˈɑ_χ	0.167
ˈeɪ̯	ˈɑ	0.167
ˈe	ˈoː	0.158
ˈe	ˈaː	0.158
ˈɔː	ˈɔ	0.154
ˈɔː	ˈɑ_ɾ	0.154
ˈɑː	ˈɛ_ɾ	0.154
ˈɑː	ˈɑ_ɾ	0.154
ˈɑː	ˈɑ_ɫ	0.154
ˈɑː	ˈaː	0.154
ˈɪ	ˈʏ	0.152
ˈəʊ̯	ˈoː	0.143
ˈəʊ̯	-	0.143
ˈaɪ̯	ˈɪ_χ	0.133
ə	ə	0.125
ˈɪ	ˈɛ	0.121
ˈɪ	ˈi	0.121
ˈɪ	ˈeː	0.121
ˈe	ˈɑ	0.105
ˈe	-	0.105
ˈaɪ̯	ˈoː_χ	0.1
ˈaɪ̯	ˈi_χ	0.1
ɹ	-	0.1
ˈɪ	ˈoː	0.091
ˈiː	ˈeː	0.074
f	χ	0.074
ˈəʊ̯	ˈøː	0.071
ˈaɪ̯	χ	0.067
ˈaɪ̯	ˈɑ_χ	0.067
ˈaɪ̯	ˈœy̯	0.067
