Swabian	Swabian	probability
ˈʌ	ˈi_r	1.0
ˈɪ	ˈi	1.0
ˈɔə̯	ˈuə̯	1.0
ˈɔe̯	ˈæi̯	1.0
ˈɔ	ˈo	1.0
ˈuː	-	1.0
ˈeə̯	-	1.0
ʦ	ʦ	1.0
ʣ	ʦ	1.0
ʕ_n	r_n	1.0
ʕ	r	1.0
ʋ	ʋ	1.0
ɪ	i	1.0
ŋ	ŋ	1.0
ç	χː	1.0
x	χː	1.0
t	tː	1.0
p͡f	p͡f	1.0
n_d_#>	ŋ_#>	1.0
m	m	1.0
l	l	1.0
kʰ	ɣ̊	1.0
j	j	1.0
i	i	1.0
h	h	1.0
eə̯	æ	1.0
e	-	1.0
d_ʁ	d̥_r	1.0
b̥͡f	p͡f	1.0
<#_ʁ	<#_r	1.0
b	b̥	0.935
n	n	0.903
ʁ	r	0.9
a	ə	0.867
ˈoː	ˈoː	0.833
ˈa	ˈɒ	0.793
ˈuə̯	ˈuə̯	0.778
ˈu	ˈu	0.778
ʌ	ə_r	0.769
ˈɔː	ˈɒː	0.75
ˈao̯	ˈuː	0.706
ɡ	ɡ̊	0.705
ˈɛː	ˈæ	0.667
ˈɛ	ˈæ	0.667
d	tː	0.667
ˈəi̯	ˈiː	0.643
ˈi	ˈi	0.643
f	v̥	0.629
ʃ	ʒ̊	0.613
ˈiː	ˈi	0.6
ˈe	ˈi	0.571
s	z̥	0.569
ˈaː	ˈɒː	0.556
ˈo	ˈu	0.529
ˈaː	ˈɒ	0.444
s	sː	0.431
ˈiə̯	-	0.429
ˈe	-	0.429
ˈiː	ˈyː	0.4
ʃ	ʃː	0.387
ˈeː	ˈøː	0.375
ˈeː	ˈeː	0.375
f	fː	0.371
ˈo	ˈo	0.353
ˈɛː	ˈæː	0.333
d	d̥	0.333
ˈao̯	ˈau̯	0.294
ˈiə̯	ˈyː	0.286
ˈiə̯	ˈyə̯	0.286
ˈae̯	ˈyː	0.273
ˈɔː	-	0.25
ˈeː	-	0.25
ʌ	r	0.231
ˈuə̯	ˈyə̯	0.222
ˈu	-	0.222
ˈəi̯	ˈyː	0.214
ˈi	ˈy	0.214
ɡ	kː	0.205
ˈɛ	-	0.19
ˈae̯	ˈæi̯	0.182
ˈae̯	ˈiː	0.182
ˈae̯	ˈeː	0.182
ˈae̯	-	0.182
ˈoː	ˈo	0.167
ˈɛ	ˈe	0.143
ˈəi̯	-	0.143
ˈi	ˈiə̯	0.143
a	-	0.133
ˈo	-	0.118
ˈa	ˈɒː	0.103
ˈa	-	0.103
ʁ	r_ˈy	0.1
n	-	0.097
ɡ	χː	0.091
b	pː	0.065
