Old High German	Insular North Frisian	probability
ˈɑ_ɡ	ˈaɪ̯	1.0
ˈoː	ˈɔa̯	1.0
ˈio̯_ɡ	ç	1.0
ˈie̯	ˈɪ	1.0
ˈeː	-	1.0
ʦː	t	1.0
ɛ_h	aɪ̯	1.0
ɛ	ɐ	1.0
ə	ˈiː	1.0
ɑ_r	ɐ	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
v	r	1.0
tː	ɾ	1.0
t_ɛ	t_ɐ	1.0
t_ɑ	ɾ	1.0
t_o	t	1.0
s̻ː	d	1.0
s̻	t	1.0
s_l	s_l	1.0
r_n	ɐ_n	1.0
p͡f	pʰ	1.0
p	p	1.0
oː_n	ə	1.0
o	-	1.0
nː	n	1.0
n_ˈɑ	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_d	lʲ	1.0
kː_ɑ	ç	1.0
kː	k	1.0
kʰ	kʰ	1.0
k	k	1.0
j	j	1.0
h_ˈoː	h	1.0
fː	p	1.0
f_ɑ	p	1.0
f	f	1.0
eː	-	1.0
e_n	ə	1.0
e	-	1.0
b_ɑ	f	1.0
l	l	0.955
s	s	0.949
ɑ	-	0.883
i	-	0.843
w	v	0.826
ʦ	tʰ	0.78
ˈuː	ˈʏ	0.73
b	b	0.729
h	h	0.689
u	ə	0.681
xː	k	0.658
t	t	0.658
ˈiː	ˈɪ	0.646
ˈe	ˈɛ	0.617
ˈou̯	ˈoː	0.592
n	n	0.574
ˈiu̯	-	0.568
ˈi	ˈɪ	0.55
n_t	n	0.523
r	r	0.487
n_t	nʲ	0.477
ˈiu̯	ˈyː	0.432
n	-	0.426
x	k	0.424
ˈou̯	-	0.408
ɡ	-	0.408
ˈɑː	ˈɔː	0.383
ˈe	-	0.383
ˈo	ˈuː	0.367
r	ɐ	0.354
d	tʰ	0.345
xː	-	0.342
t	ɾ	0.342
ˈio̯	ˈiː	0.328
ˈio̯	-	0.328
u	-	0.319
d	ɾ	0.319
h	-	0.311
ˈɑ	ˈa	0.292
x	x	0.287
d	d	0.282
ɡ	ɪ_ç	0.274
ˈei̯	ˈiː	0.273
b	-	0.271
ˈuː	ˈyː	0.27
ˈɑː	ˈuː	0.258
ˈei̯	ˈɛ	0.251
ˈɑ	ˈɔː	0.24
ˈu	ˈʊ	0.237
ˈu	ˈœ	0.236
ˈɛ	ˈɛ	0.221
ʦ	t	0.22
ˈiː	ˈiː	0.208
x	ç	0.201
ˈɑː	-	0.188
ˈo	ˈœ	0.188
ˈɛ	ˈɛː	0.187
ˈu	ˈɛ	0.185
ˈei̯	ˈeː	0.185
ˈio̯	ˈɛ	0.179
w	-	0.174
ˈei̯	ˈʊ	0.172
ˈɑː	ˈiː	0.17
ˈuo̯	ˈʊ	0.168
ˈuo̯	ˈɔ	0.168
ˈio̯	ˈeː	0.166
ˈi	ˈɛ	0.166
ˈuo̯	ˈoː	0.165
ˈuo̯	ˈeː	0.165
ˈi	ˈʊ	0.16
ɡ	ç	0.159
ɡ	x	0.159
ˈiː	-	0.147
ˈɑ	-	0.145
ˈɛ	ˈiː	0.143
ˈɛ	ˈeː	0.138
ˈɛ	ˈa	0.138
r	ʁ̥	0.137
ˈu	ˈʏ	0.134
ˈu	ˈɔ	0.134
ˈi	-	0.124
ˈo	ˈʏ	0.123
ˈo	ˈɔ	0.123
ˈo	-	0.123
ˈei̯	ˈaɪ̯	0.12
ˈuo̯	ˈɛ	0.111
ˈuo̯	ˈœ	0.111
ˈuo̯	ˈøː	0.111
i	ˈaʊ̯	0.093
ɑ	ə	0.09
x	-	0.088
ˈɛ	ˈɔ	0.087
ˈɛ	-	0.087
ˈɑ	ˈuː	0.081
ˈo	ˈʊ	0.076
ˈu	-	0.074
ˈɑ	ˈʊ	0.065
ˈɑ	ˈɔa̯	0.065
ˈɑ	ˈœ	0.065
i	ə	0.065
d	tʲ	0.054
s	ʃ	0.051
