French	French	probability
ʃ_#>	ʨ_ə_#>	1.0
ʃ	ʨ	1.0
ʁ_w	r_ˈa	1.0
ʁ_s	r_s	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
œ_ʁ	r	1.0
z	ʃ	1.0
v_ʁ	w_r	1.0
p	p	1.0
m	m	1.0
l	l	1.0
i_#>	ʨ_#>	1.0
f_#>	f_#>	1.0
e_#>	#>	1.0
d	d	1.0
b_#>	v_ə_#>	1.0
b	b	1.0
a_ʁ	j_r	1.0
a_l	j_l	1.0
a_#>	ʃ_#>	1.0
<#_ʃ	<#	1.0
<#_ʁ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_ʃ	1.0
<#_a	<#_ə	1.0
<#	<#_ˈa	1.0
v	v	0.96
ʁ	r	0.943
n	n	0.895
f	f	0.833
k	k	0.783
ə	ə	0.75
e	ˈaː	0.688
s	s	0.667
ɔ̃	ˈu_n	0.636
ʁ_i	r_ˈiː	0.6
ɥ	ˈo	0.6
ʒ	ʥ	0.571
y	ˈiː	0.556
u	ˈu	0.533
ø	ˈɛ_w	0.5
#>	ə_#>	0.486
i	ˈiː	0.48
w	ˈa	0.455
t	t	0.444
ʒ	ʃ	0.429
j	ʎ	0.429
a	ə	0.424
ʁ_i	r	0.4
ɥ	-	0.4
œ	ˈɔ	0.333
œ	ˈuː	0.333
ɛ̃	ˈi_n	0.316
o	ˈa_w	0.312
ɑ̃	ˈɛ_n	0.294
i	ˈi	0.28
ɛ	ˈa	0.279
ɔ	ˈɔː	0.263
ə	-	0.25
ø	ʎ	0.25
ø	-	0.25
s	ʧ	0.25
o	ˈɛː	0.25
i	-	0.24
j	j	0.238
w	ˈu	0.227
y	ˈi	0.222
y	-	0.222
t	-	0.222
k	ʨ	0.217
ɛ̃	n	0.211
ɔ	u	0.211
u	u	0.2
j	-	0.19
o	ˈɛ_l	0.188
e	-	0.188
ɔ̃	ˈu_ŋ	0.182
ɔ̃	-	0.182
a	ˈa	0.182
œ	ˈɔː	0.167
œ	-	0.167
t	t_ə	0.167
t	s_t	0.167
f	f_j	0.167
ɛ̃	-	0.158
ɔ	o	0.158
a	j	0.152
j	ˈɛ	0.143
w	ˈeː	0.136
u	ˈuː	0.133
u	ˈu_ʎ	0.133
o	ˈɔː	0.125
o	ˈɔ_s	0.125
e	r	0.125
a	ˈe	0.121
a	ˈaː	0.121
ɑ̃	ˈɛ	0.118
ɑ̃	ˈɔ_n	0.118
ɑ̃	ˈa_ŋ	0.118
ɑ̃	ə_n	0.118
ɑ̃	n	0.118
ɑ̃	-	0.118
ɛ	ˈɛ	0.116
ɛ	ˈe	0.116
ɛ	ˈaː	0.116
ɛ̃	ˈa_w	0.105
ɛ̃	ˈa	0.105
ɛ̃	w_n	0.105
ɔ	ˈɔ	0.105
ɔ	ˈuː	0.105
ɔ	-	0.105
n	-	0.105
ɛ	ˈɛː	0.093
ɛ	-	0.093
#>	t_#>	0.093
w	i	0.091
w	-	0.091
#>	s_#>	0.084
#>	r_#>	0.084
s	-	0.083
ɛ	ˈa_w	0.07
ɛ	e	0.07
#>	ʨ_#>	0.065
ʁ	r_t	0.057
#>	n_#>	0.056
ɔ	ˈuɔ̯	0.053
