Ripuarian	German	probability
#>	#>	0.74
#>	ə_#>	0.107
#>	n_#>	0.102
<#	<#	1.0
b	b	0.963
d	d	0.444
d	tʰ	0.376
d	t	0.177
f	f	0.868
f	p	0.102
h	h	0.948
h	-	0.055
j	ɡ	0.821
j	j	0.169
k	k	0.393
k	kʰ	0.3
k	t	0.286
k_#>	#>	1.0
l	l	0.99
m	m	0.95
n	n	0.937
p	p	0.407
p	p͡f	0.407
p	f	0.108
s	s	0.874
s	z	0.123
t	t	0.847
v	b	0.577
v	v	0.279
v	f	0.14
x	x	0.792
x	k	0.094
x	ɡ	0.094
z	z	0.925
z	ʃ_v	0.075
ŋ	ŋ	0.469
ŋ	n	0.467
ŋ	ç	0.062
ɐ	ɐ	1.0
ɕ	ç	0.749
ɕ	k	0.129
ɕ	ɡ	0.074
ɕ	-	0.051
ə	ə	0.626
ə	n	0.167
ə	-	0.16
ɣ	ɡ	1.0
ɪ	ɪ	1.0
ʀ	ʁ	0.972
ʃ	ʃ	1.0
ʋ	v	1.0
ʦ	ʦ	1.0
ˈa	ˈa	0.802
ˈa	ˈaː	0.141
ˈa	ˈɪ	0.055
ˈaʊ̯	ˈaʊ̯	0.871
ˈaʊ̯	ˈɔ	0.094
ˈaː	ˈaː	0.612
ˈaː	ˈa	0.386
ˈe	ˈɪ	0.866
ˈe	ˈɛ	0.133
ˈeɪ̯	ˈaɪ̯	0.758
ˈeɪ̯	ə	0.113
ˈeː	ˈiː	0.404
ˈeː	ˈaɪ̯	0.373
ˈeː	ˈeː	0.156
ˈeː	ˈɪ	0.054
ˈiː	ˈaɪ̯	0.437
ˈiː	ˈeː	0.255
ˈiː	ˈiː	0.2
ˈiː	ˈɛː	0.057
ˈiː	ˈɪ	0.055
ˈo	ˈʊ	0.796
ˈo	ˈɔ	0.118
ˈoː	ˈuː	0.377
ˈoː	ˈaː	0.299
ˈoː	ˈaʊ̯	0.1
ˈoː	ˈoː	0.053
ˈoː	ˈʊ	0.053
ˈu	ˈoː	0.629
ˈu	ˈʊ	0.361
ˈuː	ˈoː	0.587
ˈuː	ˈaʊ̯	0.349
ˈuː	ˈʊ	0.05
ˈyː	ˈɔʏ̯	0.393
ˈyː	ˈøː	0.315
ˈyː	ɐ	0.106
ˈyː	ˈɔ	0.066
ˈøː	ˈyː	0.62
ˈøː	ˈɔʏ̯	0.229
ˈøː	ˈaː	0.123
ˈœ	ˈʏ	0.567
ˈœ	ˈœ	0.169
ˈœ	ˈɔʏ̯	0.115
ˈœ	ˈɛ	0.115
ˈɔ	ˈɔ	0.618
ˈɔ	ˈoː	0.184
ˈɔ	ˈaʊ̯	0.105
ˈɔ	ˈʊ	0.079
ˈɔʏ̯	ˈɔʏ̯	1.0
ˈɛ	ˈɛ	0.391
ˈɛ	ˈeː	0.175
ˈɛ	ˈa	0.104
ˈɛ	ˈaɪ̯	0.104
ˈɛ	ˈɪ	0.083
ˈɛ	ˈœ	0.079
ˈɛː	ˈɛ	0.458
ˈɛː	ˈeː	0.191
ˈɛː	ˈa	0.153
ˈɛː	ˈaː	0.078
ˈɛː	ˈɛː	0.076
ˈɪ	ˈɪ	0.716
ˈɪ	ˈɛ	0.119
ˈɪ	ˈiː	0.091
ˈɪ	ˈaɪ̯	0.062
ˈʊ	ˈʊ	1.0
ˈʏ	ˈɔʏ̯	0.4
ˈʏ	ˈyː	0.2
ˈʏ	ˈøː	0.2
ˈʏ	ˈʏ	0.2
