Luxembourgish	East Frisian Low Saxon	probability
χ	-	1.0
ˈɛː_ɐ	ɐ	1.0
ˈɛː	ˈeː	1.0
ˈɛ	-	1.0
ˈəʊ̯_n	ˈɒː_n	1.0
ˈɑɪ̯	-	1.0
ˈæːʊ̯	ˈuː	1.0
ˈæːɪ̯_n	ˈiː_n	1.0
ˈuː	-	1.0
ˈoː_ə	ˈɒː	1.0
ˈiː_ɕ	χ	1.0
ˈiə̯_d	ˈeːe̯	1.0
ˈiə̯	ˈeː	1.0
ˈaː_s	ˈɒː_t	1.0
ʦ	t	1.0
ʑ	ɡ	1.0
ʀ_ˈeː	r	1.0
ɣ̊	ɣ̊	1.0
ɡ̊	-	1.0
ɡ	ɡ	1.0
ə_ɕ	ɐ_ɣ̊	1.0
ə_f	f	1.0
ɕ_ə	k	1.0
ɐ_ʦ	ˈyːʏ̯	1.0
ɐ	ɐ	1.0
z	z	1.0
v̥	v̥	1.0
tʰ	t	1.0
s	t	1.0
pʰ	p	1.0
p	p	1.0
n_ə	n	1.0
n_ɐ	n_ɐ	1.0
n	n	1.0
m	m	1.0
k_ə	k	1.0
j	j	1.0
h	h	1.0
f_ə	p	1.0
e	ɑɪ̯	1.0
d̥	d̥	1.0
d_ˈe	d_ˈɪ	1.0
d_ə	d	1.0
b_ˈiː	b	1.0
b	b	1.0
l	l	0.93
d	d	0.928
v	v	0.919
ˈi	-	0.892
ʀ	r	0.879
ˈeː	ˈæɪ̯	0.877
z̥	z̥	0.856
ə	-	0.854
t	t	0.837
f	f	0.742
ʃ	s	0.711
ˈe	-	0.674
ŋ	ŋ	0.654
ˈəʊ̯	ˈoː	0.644
w	w	0.64
ˈæːɪ̯	ˈiː	0.621
ˈuə̯	-	0.6
k	ɣ̊	0.535
ˈoː	ˈɒː	0.534
ˈiː	ˈøː	0.511
ˈɑʊ̯	-	0.506
ˈɑʊ̯	ˈuː	0.494
ˈiː	-	0.489
ˈɑ	ˈɪ	0.472
ˈo	ˈʊ	0.441
ˈuə̯	ˈɑ	0.4
ɕ	k	0.388
ˈɜɪ̯	-	0.361
w	v	0.36
ˈəʊ̯	ˈɑʊ̯	0.356
ŋ	n	0.346
ˈɑ	ˈɑ	0.336
ˈoː	ˈɔː	0.332
ˈaː	ˈoː	0.329
ˈe	ˈʏə̯	0.326
ɕ	χ	0.317
ˈu	ˈœ	0.314
ˈu	ˈɑʊ̯	0.313
ˈə	-	0.303
ɕ	ɣ̊	0.295
ˈaː	ˈɑ	0.29
ʃ	s_k	0.289
ˈɜɪ̯	ˈæɪ̯	0.287
k	k	0.286
ˈə	ˈɪ	0.276
ˈə	ˈʏ	0.263
f	p	0.258
ˈæːɪ̯	-	0.253
ˈu	-	0.248
ˈo	-	0.246
ˈo	ˈɔ	0.18
k	ɡ̊	0.178
t	d̥	0.163
ˈaː	ˈɑː_ɐ	0.153
ə	ɡ	0.146
z̥	s	0.144
ˈɜɪ̯	ˈæːɪ̯	0.14
ˈoː	ˈɛə̯	0.134
ˈo	ˈoː	0.133
ˈɜɪ̯	ˈɛːɪ̯	0.132
ˈæːɪ̯	ˈiːi̯	0.126
ˈu	ˈœːy̯	0.125
ˈeː	-	0.123
ˈi	ˈøy̯	0.108
ˈaː	ˈɑːɑ̯	0.103
ˈaː	-	0.103
ʀ	ɐ	0.085
v	-	0.081
ˈɜɪ̯	ˈæː	0.079
ˈə	ˈɛ	0.079
ˈə	k_ˈɪ	0.079
ˈɑ	ˈɑːɑ̯	0.073
ˈɑ	-	0.073
d	-	0.072
l	l_ˈɪ	0.058
