Luxembourgish	Luxembourgish	probability
ˈʊ	ˈɔː	1.0
ˈɛː	ˈe	1.0
ˈɔ	ˈu	1.0
ˈɑʊ̯	ˈuː	1.0
ˈɑ_n	ɑi̯	1.0
ˈæːʊ̯	ˈuː	1.0
ˈæ_n	ˈɑ_nː	1.0
ˈæ	ˈɑ	1.0
ˈuː	ˈu	1.0
ˈuə̯	ˈɑ	1.0
ˈaː_ʀ	r_n	1.0
ʦ	t	1.0
ʑ	j	1.0
ʃ_l	s_l	1.0
ʃ_#>	k_ɑ_z_#>	1.0
ʀ	r	1.0
ɡ̊	ɡ_ɑ	1.0
ɡ	ɣ	1.0
ə_ɕ	ɑ_ɣ	1.0
ə_f	ɸ	1.0
ɕ_t	x_t	1.0
z	s	1.0
w	w	1.0
v̥	β	1.0
tʰ	t	1.0
pʰ	p	1.0
n_#>	ɑ̃_#>	1.0
kʰ	k_ˈu	1.0
k_#>	ɣ_j_ɔː_#>	1.0
h	x	1.0
e	-	1.0
b	b	1.0
<#_ˈeː	<#_ˈɑi̯	1.0
<#_ˈaː	<#_ˈɑ	1.0
<#_ʦ	<#_t	1.0
<#_ʀ	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
<#_j	<#_j	1.0
<#	<#_x	1.0
m	m	0.964
ŋ	ŋ	0.846
l	l	0.837
ˈo	ˈu	0.833
ˈæːɪ̯	ˈiː	0.75
ˈeː	ˈɑi̯	0.75
f	ɸ	0.722
z̥	s	0.7
s	t	0.7
v	w	0.692
n	n	0.688
ˈiə̯	ˈe	0.667
ˈi	-	0.667
ˈaː	ˈɑ	0.63
ˈəʊ̯	ˈɑu̯	0.6
χ	k	0.571
k	k	0.571
ˈoː	ˈɛː	0.556
ʃ	s	0.552
t	t	0.55
d	θ	0.526
ˈɛ	ˈɑ	0.5
ˈɛ	ˈe	0.5
p	pː	0.5
p	p	0.5
ˈɑ	ˈɑ	0.478
ə	ɑ	0.472
ʃ	s_k	0.448
ˈu	ˈɔː	0.444
ˈɑ	ˈi	0.435
χ	-	0.429
ˈəʊ̯	-	0.4
d	d	0.395
ɐ	r	0.385
ˈɑɪ̯	-	0.375
ˈiː	ˈe	0.364
ɕ	k	0.364
ˈu	ˈu	0.333
ˈiə̯	-	0.333
ˈi	ˈɔː	0.333
ˈe	ˈe	0.333
#>	ɑ̃_#>	0.328
ˈə	ˈu	0.3
ˈə	ˈi	0.3
ˈə	ˈe	0.3
z̥	s_ɑ̃	0.3
t	ð	0.3
k	j	0.286
d̥	ð	0.28
#>	ɑ_z_#>	0.279
f	p	0.278
ˈɜɪ̯	ˈeu̯	0.273
ɕ	ɣ_ɑ	0.273
ˈɑɪ̯	ˈiu̯	0.25
ˈɑɪ̯	ˈi	0.25
ˈæːɪ̯	ˈi	0.25
d̥	θ	0.24
#>	z_#>	0.239
ˈu	-	0.222
ˈoː	ˈɑː	0.222
ˈoː	ˈɑ_ɣ	0.222
ˈe	ˈu_ɣ	0.222
ˈe	ˈu	0.222
ˈe	-	0.222
ˈaː	ˈɑu̯	0.222
s	t_ɑ	0.2
v	β	0.192
ˈɜɪ̯	ˈɑu̯	0.182
ˈiː	ˈu	0.182
ˈiː	ˈi	0.182
ˈiː	-	0.182
ɕ	x	0.182
ɕ	k_s	0.182
ˈo	-	0.167
d̥	θ_ɑ̃	0.16
n	ɑ_n	0.156
ŋ	x_u	0.154
ə	i_j	0.151
ə	-	0.151
t	t_i	0.15
ˈaː	ˈɑ_r	0.148
k	kː	0.143
ˈɜɪ̯	ˈɑi̯_w	0.136
ˈɜɪ̯	ˈeu̯_ɣ	0.136
ˈɜɪ̯	w	0.136
ˈɜɪ̯	-	0.136
ɐ	r_ɑ	0.128
ˈɑɪ̯	ˈeː	0.125
ˈeː	ˈe_ɣ	0.125
ˈeː	-	0.125
d̥	d_ɑ	0.12
d̥	d	0.12
v	xʷ	0.115
ɐ	r_i	0.103
ˈə	ˈi_s	0.1
s	x_s	0.1
ˈiː	ˈĩː	0.091
ˈɑ	-	0.087
d̥	d_u	0.08
d	ð	0.079
ɐ	ɛː	0.077
l	lː	0.07
#>	ɔ̃ː_#>	0.06
ə	u	0.057
ə	j	0.057
n	nː	0.052
n	n_d	0.052
ɐ	ɔː	0.051
ɐ	z	0.051
ɐ	r_ɔː	0.051
ɐ	r_u	0.051
ɐ	i	0.051
ɐ	e	0.051
