Romanian	Western Lombard	probability
f	f	1.0
kʲ	ʧ	1.0
v	ʋ	1.0
w	-	1.0
ŋ	-	1.0
ɡ	ɡ	1.0
ɨ	-	1.0
ʃ	s	1.0
ʒ	ʤ	1.0
ʧʲ	-	1.0
ˈau̯	ˈɔ	1.0
ˈɨ	ˈa	1.0
e	a	0.421
o̯ˈa	-	0.341
o̯ˈa	ˈɔ	0.491
t	t	0.501
z	-	0.191
ə	-	0.141
ʦ	t	0.161
ˈu	-	0.131
a	ˈa	0.112
n	-	0.462
o	-	0.332
o̯ˈa	ˈø	0.102
ʦ	-	0.532
ˈi	ˈẽː	0.062
ˈi	ˈe	0.082
ˈu	ˈø	0.12
ˈu	ˈy	0.322
e̯ˈa	s_#>	0.233
k	-	0.223
l	j	0.063
m	-	0.153
u	u	0.543
ˈa	ˈɛ	0.43
ˈe	ˈa	0.083
ˈi	-	0.263
b	-	0.184
d	-	0.234
e̯ˈa	ˈe	0.294
r	l	0.124
r	r	0.534
s	s	0.794
ʤ	ʤ	0.954
e	e	0.245
j	ʋ	0.085
p	k_w	0.055
ə	a	0.85
ʧ	ʦ	0.195
ˈa	-	0.055
ˈe	ˈeː	0.075
ˈe	ˈɛ	0.115
ˈo	ˈɔ	0.405
ˈu	ˈu	0.35
b	b	0.816
d	t	0.06
d	d	0.706
e̯ˈa	ˈe_j	0.416
o̯ˈa	ˈu	0.066
s	-	0.206
t	d	0.116
t	-	0.326
u	-	0.146
u	e	0.286
ʦ	ʦ	0.306
ˈo	ˈøː	0.206
e	-	0.277
e̯ˈa	r_#>	0.057
j	-	0.427
k	k	0.777
l	l	0.937
m	m	0.847
p	-	0.157
p	p	0.787
t	t_e	0.057
ˈa	ˈa	0.467
ˈi	ˈĩː	0.107
ˈi	ˈi	0.487
a	a	0.888
j	j	0.488
o	u	0.668
r	-	0.308
ʧ	-	0.278
ʧ	ʧ	0.48
ˈe	ˈe	0.678
ˈu	ˈyː	0.078
n	ɲ	0.069
n	n	0.469
z	d	0.809
ˈo	ˈø	0.19
ˈo	ˈu	0.199
