Bellunese	Bellunese	probability
ˈu	ˈu	1.0
ˈe_l	ˈi_s	1.0
ˈa_v	ɾ_ˈa	1.0
ʤ	-	1.0
ŋ_#>	n_i_#>	1.0
ð	ʤ	1.0
v_o	u	1.0
v_e	ɾ	1.0
u	-	1.0
t_#>	t_i_#>	1.0
r_a	ɾ_a	1.0
r_#>	i_#>	1.0
p	p	1.0
m	m	1.0
l_ˈe	l_ˈi	1.0
k	k	1.0
e_r	i	1.0
d_e	i	1.0
b	b	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_a_r	1.0
<#_n	<#_n	1.0
<#_i	<#_i	1.0
<#	<#_a	1.0
ˈa	ˈa	0.951
ˈi	ˈi	0.9
f	f	0.9
a	a	0.889
t	t	0.87
s	s	0.794
ɲ	-	0.75
w	w	0.714
n	n	0.68
ŋ	n	0.667
z	ʒ	0.667
j_ˈe	ˈɛ	0.667
l	l	0.645
e	i	0.64
r	ɾ	0.638
v	b	0.619
i	i	0.6
o	u	0.595
#>	u_#>	0.588
ʧ	ɣ	0.571
ɡ	ɣ	0.562
d	d	0.556
θ	ʧ	0.533
ˈɛ	ˈɛ	0.524
ˈe	ˈɛ	0.519
ˈɛ	ˈe	0.476
ˈo	ˈɔ	0.457
ʧ	-	0.429
ˈe	ˈi	0.407
ˈɔ	ˈɔ	0.4
ˈɔ	ˈo	0.4
i	-	0.4
#>	i_#>	0.382
v	-	0.381
j	ɾ	0.364
θ	-	0.333
z	-	0.333
j_ˈe	ˈe	0.333
ˈo	ˈu	0.314
w	-	0.286
d	ð	0.278
j	ɭː	0.273
ɲ	ɲ	0.25
ɡ	ɡ	0.25
ŋ	ŋ	0.25
ˈo	ˈo	0.229
ˈɔ	ˈu	0.2
ɡ	-	0.188
j	u	0.182
j	-	0.182
o	-	0.167
d	-	0.167
l	ɖː	0.161
e	-	0.16
s	ʃ	0.147
θ	ʦ	0.133
t	ð	0.13
r	r	0.128
n	nː	0.12
n	-	0.12
e	ɾ	0.12
ˈi	-	0.1
f	-	0.1
o	ɔ	0.095
ŋ	-	0.083
n	n_a	0.08
e	e	0.08
ˈe	ˈe	0.074
a	-	0.074
l	ɾ	0.065
l	ɭː	0.065
l	u	0.065
r	u	0.064
s	u	0.059
