Hessian	Old High German	probability
ˈɛ̃ː	ˈɑː_n	1.0
ˈɛː	ˈɛ	1.0
ˈɛ	ˈɛ	1.0
ˈɑ̃i̯	ˈiː_n	1.0
ˈɑː_s	ˈɑ_s	1.0
ˈuː	ˈuo̯	1.0
ˈõː	n_u	1.0
ˈoĩ̯	ˈiu̯_n	1.0
ˈĩː	ˈuo̯_n	1.0
ˈiː_ɐ	ˈi_r	1.0
ˈẽː	ˈoː_n	1.0
ˈãː	ˈei̯_n	1.0
ˈau̯	ˈuː	1.0
ˈa_d̥	ˈɑ_t	1.0
ˈa	ˈɑ	1.0
ʃ_t	x_t	1.0
ʃ_d̥	s_t	1.0
ʀ	r	1.0
ɛː	ɛ_h	1.0
ɑ	oː	1.0
ɐ_n	r_n	1.0
z̥	s̻ː	1.0
v̥	f_ɑ	1.0
t_ʀ	d_r	1.0
t	t	1.0
s_ˈi	s_ˈi	1.0
pʰ	p͡f	1.0
oː	ˈoː	1.0
n_d̥	n_t	1.0
kʰ	kʰ	1.0
k_ʀ	ɡ_r	1.0
k_s	x_s	1.0
i_ʃ	ɡ	1.0
i	ɑ	1.0
h	h	1.0
b̥	b	1.0
m	m	0.959
f	f	0.936
ˈɑ	ˈɑ	0.917
p	b	0.878
ɐ	r	0.87
l	l	0.866
ˈiː	ˈio̯	0.852
ˈai̯	ˈiː	0.818
ʦ	ʦ	0.81
ˈæ	ˈɛ	0.8
ˈu	ˈu	0.799
ˈoi̯	ˈiu̯	0.789
ˈi	ˈi	0.784
s	s	0.775
ˈe	ˈe	0.769
v	w	0.72
x	x	0.716
ʒ̊	ɡ	0.695
j	ɡ	0.691
ˈo	ˈo	0.676
ˈɔ	ˈo	0.625
n	n	0.623
ɡ̊	kː	0.609
ŋ	ŋ	0.574
ʃ	s_k	0.552
k	kː_ɑ	0.539
d̥	t	0.508
æ̆	ɑ_r	0.505
ˈeː	ˈeː	0.502
ˈæː	ˈɛ	0.5
ˈæː	r	0.5
ˈeː	-	0.498
ə	ɑ_n	0.48
d̥	d	0.464
k	kʰ	0.461
ˈaː	ˈou̯	0.46
ɣ̊	ɡ	0.443
ŋ	ŋ_ɡ	0.426
ɡ̊	-	0.391
ˈɑː	ˈɑ	0.383
ˈɔ	ˈu	0.375
ˈaː	ˈei̯	0.366
ˈoː	ˈoː	0.365
ˈoː	ˈo	0.358
ɣ̊	xː	0.33
ˈo	-	0.324
j	j	0.309
ʒ̊	-	0.305
x	-	0.284
ˈɑː	ˈɑː	0.279
ˈoː	ˈɑː	0.278
v	b	0.267
ə	e_n	0.254
ˈe	ˈɛ	0.231
ɣ̊	ɡ_ɑ	0.227
æ̆	r	0.221
ˈoi̯	-	0.211
ˈu	ˈuo̯	0.201
ˈæ	rː	0.2
s	s̻	0.197
ʃ	x	0.194
ˈɑː	ˈɑ_r	0.193
ʦ	ʦː	0.19
ˈai̯	ˈei̯	0.182
n	nː	0.182
ˈi	ˈu	0.176
ʃ	s	0.158
ə	n	0.158
ˈiː	ˈuo̯	0.148
ˈɑː	ˈɑː_r	0.145
æ̆	ɛ_r	0.137
æ̆	r_i	0.137
ɐ	i	0.13
ˈaː	ˈɑ	0.127
n	n_t	0.123
p	p	0.122
ʃ	xː	0.097
ˈɑ	ˈɑ_r	0.083
n	n_d	0.072
ə	o	0.065
l	l_ɑ	0.051
