Neapolitan	Piedmontese	probability
a	a	0.769
a	u	0.086
a	-	0.065
a	i	0.056
b	b	0.735
b	-	0.26
d	d	0.813
d	-	0.168
e	-	0.351
e	e	0.266
e	ˈe	0.202
e	r	0.143
e_m	m	0.265
f	f	1.0
i	-	0.378
i	i	0.263
i	e	0.148
i	j	0.074
i	ˈi	0.074
i	a	0.055
j	-	0.654
j	j	0.294
j	ʧ	0.054
k	k	0.678
k	-	0.248
k	p	0.057
k_w	k	1.0
k_ə	ɡ	0.612
k_ə	s	0.372
l	l	0.762
l	-	0.237
l_w	l	1.0
m	m	0.719
m	-	0.237
m_e	m	0.265
n	ŋ	0.433
n	n	0.422
n	-	0.11
n_w	n	1.0
o	-	0.331
o	r	0.219
o	u	0.219
o	ˈø	0.219
p	p	0.843
p	v	0.083
p	-	0.072
p_w	p	1.0
r	r	0.719
r	-	0.238
s	s	0.859
s	-	0.111
t	t	0.674
t	-	0.207
t	d	0.083
u	u	0.457
u	-	0.289
u	e	0.096
u	r	0.096
u	y	0.064
v	v	0.737
v	b	0.213
w	-	0.638
w	w	0.36
w_ə	a	1.0
w_ˈɔ	ˈø	0.852
w_ˈɔ	ˈu	0.11
z	z	0.265
ŋ	ŋ	1.0
ə	-	0.683
ə	a	0.228
ə	e	0.061
ɡ	ɡ	1.0
ɲ	ɲ	0.408
ɲ	-	0.146
ɲ	n	0.146
ɲ	ʤ	0.146
ɲ	z	0.071
ɲ	ŋ	0.07
ɲ_ə	a	1.0
ɾ	r	0.724
ɾ	-	0.196
ɾ	d	0.063
ʃ	s	0.767
ʃ	-	0.065
ʃ	z	0.064
ʃ	f_j	0.063
ʃ_ə	a	0.538
ʃ_ə	e	0.432
ʎ	j	0.5
ʎ	-	0.447
ʎ	b	0.06
ʤ	ʤ	0.377
ʤ	z	0.293
ʤ	-	0.182
ʤ	ɲ	0.085
ʦ	s	0.683
ʦ	-	0.312
ʧ	-	0.437
ʧ	s	0.381
ʧ	ʧ	0.149
ˈa	ˈa	0.745
ˈa	ˈe	0.2
ˈa_t	ˈa	1.0
ˈe	ˈe	0.407
ˈe	ˈɛ	0.331
ˈe	ə	0.108
ˈe	ˈi	0.062
ˈe	ˈɔ	0.057
ˈe_k	ˈi	1.0
ˈi	ˈi	0.729
ˈi	ˈe	0.081
ˈi	ˈɛ_j	0.081
ˈo	ˈu	0.571
ˈo	ˈɔ	0.241
ˈo	ˈi	0.143
ˈo	ˈø	0.054
ˈu	ˈy	0.497
ˈu	ˈu	0.444
ˈu_k	ˈu	1.0
ˈɔ	ˈɔ	0.755
ˈɔ	ˈø	0.189
ˈɔ_k	ˈø	1.0
ˈɛ	ˈɛ	0.815
ˈɛ	ˈe	0.152
