Old Frisian	Saterland Frisian	probability
θ	d	1.0
ˈɔː_r	ˈoːu̯	1.0
ˈe_r	r	1.0
ˈe_j	ˈaːi̯	1.0
ˈaː_j	ˈɔːɪ̯	1.0
ˈaː	ˈoː	1.0
ʦ	s	1.0
ɣ̥	ɣ̥	1.0
ɣ	ɣ	1.0
ɡː	ɣ̥	1.0
ɡ_ə	ə	1.0
ɡ	ɣ	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð	d	1.0
z	z	1.0
x	x	1.0
v_ə	v_ə	1.0
v	-	1.0
tː	t	1.0
t	t	1.0
s_ˈe	s_ˈɛ	1.0
s	s	1.0
r_ə	r	1.0
r_t	t	1.0
pː	p	1.0
p	p	1.0
nː	n	1.0
n_t	n_t	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_ə	l	1.0
l_f	l_v	1.0
l	l	1.0
kː	-	1.0
k_ˈa	k_ˈoː	1.0
k	k	1.0
j_ə	ə	1.0
iː	i	1.0
i	ɪ	1.0
h_w	v	1.0
h	h	1.0
dː	d	1.0
bː	b	1.0
b	b	1.0
f	f	0.939
d	d	0.925
w	v	0.908
ˈi̯aː	j_ˈoː	0.867
r	r	0.859
ˈuː	ˈuː	0.832
ˈoː	ˈoːu̯	0.83
ə	ə	0.793
ˈi̯uː	j_ˈuː	0.735
ˈɛː	ˈeː	0.697
ˈiː	ˈi	0.689
ˈɔː	ˈoːu̯	0.628
ˈi	ˈɪ	0.613
ˈu	ˈʊ	0.595
ˈeː	ˈɛɪ̯	0.591
j	j	0.56
j	-	0.44
ˈu	ˈuː	0.313
ˈiː	ˈiː	0.311
ˈo	ˈɔː	0.307
ˈa	ˈɔː	0.303
ˈo	ˈʊ	0.292
ˈi	ˈiː	0.278
ˈi̯uː	j	0.265
ˈe	ˈɛː	0.241
ˈa	ˈoː	0.222
ˈeː	ˈiː	0.21
ə	-	0.207
ˈɔː	ˈɔː	0.202
ˈa	ˈa	0.202
ˈe	-	0.183
ˈɛː	-	0.176
ˈɔː	ˈɔ	0.171
ˈoː	-	0.17
ˈo	ˈuː	0.164
ˈa	ˈoːu̯	0.146
ˈe	ˈɛ	0.141
ˈe	ˈɔː	0.137
ˈi̯aː	ˈʊ	0.133
ˈɛː	ˈɛɪ̯	0.128
ˈa	ˈaː	0.127
ˈo	ˈɔ	0.118
ˈo	ˈoːu̯	0.118
ˈuː	ˈu	0.115
ˈe	ˈiː	0.109
r	d_ə	0.104
w	-	0.092
ˈu	-	0.091
ˈe	ˈeː	0.089
ˈi	ˈɛː	0.081
ˈeː	ˈi	0.078
ˈeː	ˈeː	0.075
d	-	0.075
ˈe	ˈaː	0.069
f	-	0.061
ˈuː	ˈøː	0.054
