Proto-Slavic	Proto-Slavic	probability
̌_d	d	1.0
̌_b	b_a	1.0
̌_#>	#>	1.0
̌	-	1.0
̂_s	s	1.0
̂_l	ɫ_a	1.0
̂_d	d̥	1.0
̂	-	1.0
ʦ	ʦ	1.0
ʤ	d̥	1.0
ʎ	ɫ	1.0
ʃ	ʃ	1.0
ɲ	ɲ	1.0
ɨː_̂	i	1.0
ɨ_ˀ	i	1.0
ɨ	i	1.0
ɡ_ŭ	ɡ̊	1.0
ɡ	ɡ	1.0
ɛː_̌	ɛ	1.0
ɛː_̂	ɛ_ˈ	1.0
ɛː_ˀ	ɛ	1.0
ɛ	-	1.0
x_ŭ	f	1.0
x_a	v_a	1.0
v_ŭ	f	1.0
v	v	1.0
ŭ_̌	o	1.0
ŭ_#>	#>	1.0
uː_̂	u	1.0
uː	u	1.0
u	u	1.0
t_ŭ_#>	t_#>	1.0
t_ĭ_#>	t_#>	1.0
t_i_#>	ɛ_#>	1.0
s	s	1.0
rʲ	r	1.0
r_ŭ_#>	r_#>	1.0
r_ŭ	r̩	1.0
p	p	1.0
oː_̂	o	1.0
o_̌	o	1.0
o_̂	o	1.0
o_ˀ	r	1.0
o_l	ɫ_a	1.0
o_#>	o_#>	1.0
n	n	1.0
l_ŭ_#>	ɫ_#>	1.0
k_ŭ_#>	k_#>	1.0
j	j	1.0
ĭ_̌	r̩	1.0
ĭ_ˀ	o	1.0
ĭ_j	ɟ	1.0
ĭ_#>	#>	1.0
iː_̂	i	1.0
i_̌	i	1.0
ẽː_̂	ɛ	1.0
ẽ	ɛ	1.0
e_̂	ɛ	1.0
d_l	ɫ	1.0
b_ŭ	b̥	1.0
b	b	1.0
aː	a	1.0
a_ˀ	a	1.0
a_#>	a_#>	1.0
a	a	1.0
<#_v	<#_v	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#_j	1.0
<#	<#_j	1.0
#>	n_#>	1.0
z	z	0.917
k	k	0.905
m	m	0.9
e	ɛ	0.846
ʒ	ʒ	0.778
õː	a	0.778
t	t	0.769
x	-	0.75
d	d	0.733
<#_b	<#_b	0.714
o	o	0.684
ʧ	ʧ	0.667
i	i	0.667
ŭ	-	0.615
l	ɫ	0.56
ˀ	a_ˈ	0.5
ˀ	-	0.5
oː	r	0.5
oː	-	0.5
ĭ_̂	r̩	0.5
ĭ_̂	o	0.5
ɛː	ɛ_ˈ	0.444
r	r	0.444
ĭ	-	0.444
l	l	0.36
ʧ	-	0.333
ɛː	ɛ	0.333
i	ɛ	0.333
r	a	0.296
<#_b	<#	0.286
x	x	0.25
ŭ	o	0.231
t	-	0.231
ʒ	ʒ̊	0.222
ɛː	-	0.222
r	-	0.222
õː	u	0.222
ĭ	a	0.222
o	ɔ_ˈ	0.158
o	r	0.158
ŭ	r	0.154
e	-	0.154
d	d̥	0.133
d	-	0.133
ĭ	r̩	0.111
ĭ	m	0.111
ĭ	k_a	0.111
m	u	0.1
k	-	0.095
z	z̥	0.083
l	-	0.08
