Middle Chinese	Middle Chinese	probability
ʨʰ	ʦʰ	1.0
ʨ	ʦ	1.0
ʦ	ʦ	1.0
ʥ	z	1.0
ʤ	z	1.0
ʔˠ	-	1.0
ʑ	z	1.0
ʌ_m	ø	1.0
ʌ_i	e	1.0
ʌ	o	1.0
ʉ_ɐ	ɥ	1.0
ʉ	-	1.0
ʈˠ	ʦ	1.0
ʈ	ʦ	1.0
ʃˠ	s	1.0
ʃ	-	1.0
ɳ	nʲ	1.0
ɪ_m	n	1.0
ɨ_ʌ	y	1.0
ɨ_o	o	1.0
ɦˠ	ɦ	1.0
ɦ	ɦ	1.0
ɡˠ	ʥ	1.0
ɛ	-	1.0
ə_u	ɜ	1.0
ɖˠ	z	1.0
ɖ	z	1.0
ɕˠ	s	1.0
ɕ	s	1.0
ɑ_ŋ	ɑ̃	1.0
ɑ_u	ɔ	1.0
ɑ_n	ø	1.0
ɑ	u	1.0
ɐ	a	1.0
ȵ	nʲ	1.0
æ_ŋ	n	1.0
æ	a	1.0
u_ɑ	u	1.0
u_o	u	1.0
u_n	n	1.0
tʰ	tʰ	1.0
t	t	1.0
sˠ	-	1.0
s	ɕ	1.0
p̚	ʔ_⁵	1.0
pʰˠ	-	1.0
pʰ	pʰ	1.0
p_ʉ	f	1.0
o	-	1.0
n_˧˥	²³	1.0
mˠ	m	1.0
m	m	1.0
l	l	1.0
k̚	ʔ	1.0
kˠ	-	1.0
kʰ	kʰ	1.0
i_ɪ	i	1.0
i_u	ə	1.0
i_e	z̩	1.0
i_a	o	1.0
hˠ	-	1.0
h	h	1.0
e_u	ɔ	1.0
e_n	i	1.0
e_i	i	1.0
d	d	1.0
bˠ	b	1.0
b_ɨ	v	1.0
b	b	1.0
<#_ʔ	<#	1.0
#>	¹²_#>	1.0
t̚	ʔ	0.8
ə	-	0.75
n	n	0.692
ɡ	ʥ	0.667
w	-	0.667
ɨ_u	o	0.636
˧˥	³⁴	0.625
ŋ	ŋ	0.625
ʦʰ	ʦʰ	0.6
ɪ	-	0.6
ɐ_ŋ	ɑ̃	0.571
p	f	0.571
˥˩	²³	0.556
e	i	0.556
˦	²³	0.528
u	-	0.5
k	ʨ	0.5
k	k	0.5
a	o	0.5
a	a	0.5
<#	<#_p	0.5
<#	<#_nʲ	0.5
˦	⁵³	0.472
˥˩	³⁴	0.444
ɐ_ŋ	ã	0.429
p	p	0.429
ʦʰ	ʨʰ	0.4
ɪ	ɪ	0.4
˧˥	²³	0.375
ɨ	-	0.333
ɡ	ɡ	0.333
w	w	0.333
i	j	0.333
u	o	0.278
ə	o	0.25
i	i	0.25
i	-	0.25
e	ɪ	0.222
e	-	0.222
ɨ	y	0.208
t̚	ɪ_ʔ	0.2
ɨ_u	ɜ	0.182
ɨ_u	ə	0.182
ɨ	z̩	0.167
ɨ	j	0.167
n	ø	0.154
n	-	0.154
ɨ	ə	0.125
ŋ	n	0.125
ŋ	ã	0.125
ŋ	-	0.125
u	ə	0.111
u	u	0.111
i	ə	0.083
i	z̩	0.083
