Ripuarian	Swedish	probability
b	b	1.0
d	d	0.413
d	tʰ	0.365
d	-	0.169
d	ɕ	0.054
d̥	d	0.688
d̥	ɖ	0.251
d̥	-	0.061
e	ɔ	1.0
f	f	0.75
f	v	0.125
f	p	0.053
h	h	0.85
h	j	0.15
j	ɡ	0.741
j	j	0.126
j	-	0.071
j	ɡː	0.061
k	kʰ	0.39
k	ɡː	0.2
k	k	0.163
k	ɕ	0.123
l	l	0.831
l	lː	0.062
l	-	0.053
m	m	0.634
m	mː	0.291
m	-	0.075
n	n	0.578
n	nː	0.2
n	-	0.108
n	ɳ	0.09
p	p	0.56
p	v	0.25
p	pʰ	0.111
p	pː	0.08
s	s	0.349
s	t	0.335
s	tː	0.196
s	sː	0.078
t	t	0.434
t	d	0.285
t	-	0.233
v	v	0.617
v	-	0.341
v̥	v	1.0
x	tː	0.589
x	ɡ	0.253
x	-	0.106
x	k	0.052
z	s	0.73
z	ɧ	0.27
ŋ	n	0.685
ŋ	ŋː	0.217
ŋ	nː	0.052
ɐ	r	0.584
ɐ	ɛ	0.234
ɐ	-	0.118
ɕ	k	0.351
ɕ	ɡ	0.271
ɕ	tː	0.121
ɕ	kː	0.094
ɕ	j	0.065
ə	a	0.677
ə	-	0.195
ə	ɛ	0.1
ɡ̊	d	0.813
ɡ̊	ŋ	0.085
ɡ̊	ɡ	0.085
ɣ	jː	0.59
ɣ	ɡ	0.292
ɣ	j	0.118
ɪ	-	0.388
ɪ	ˈœ	0.388
ɪ	ŋ	0.224
ʀ	r	0.917
ʃ	s	0.744
ʃ	ɧ	0.231
ʋ	v	0.794
ʋ	-	0.164
ʦ	tʰ	0.57
ʦ	tː	0.181
ʦ	ʈː	0.156
ˈa	ˈa	0.568
ˈa	ˈɑː	0.164
ˈa	ˈoː	0.105
ˈa	ˈʉː	0.073
ˈa	ˈɪ	0.057
ˈaʊ̯	ˈøː	0.377
ˈaʊ̯	ˈʉː	0.356
ˈaʊ̯	ˈʏ	0.132
ˈaʊ̯	ˈuː	0.08
ˈaʊ̯	a	0.056
ˈaː	ˈɑː	0.446
ˈaː	ˈa	0.172
ˈaː	ˈɛː	0.134
ˈaː	ˈeː	0.1
ˈaː	ˈɔ	0.074
ˈaː	ˈɛ	0.074
ˈe	ˈɪ	0.61
ˈe	ˈiː	0.161
ˈe	ˈeː	0.057
ˈe	ˈœ	0.057
ˈeɪ̯	ˈɛ	0.591
ˈeɪ̯	ˈeː	0.272
ˈeɪ̯	ˈiː	0.137
ˈeː	ˈeː	0.264
ˈeː	ˈʉː	0.237
ˈeː	ˈyː	0.114
ˈeː	ˈæː	0.098
ˈeː	ʊ	0.077
ˈeː	ˈɛ	0.076
ˈeː	ˈoː	0.053
ˈiː	ˈiː	0.57
ˈiː	ˈyː	0.104
ˈiː	ˈøː	0.097
ˈiː	ˈɛ	0.095
ˈiː	ˈoː	0.055
ˈiː	ˈʉː	0.051
ˈo	ˈʊ	0.403
ˈo	ˈɵ	0.346
ˈo	ˈoː	0.089
ˈo	ˈuː	0.089
ˈoʊ̯	ˈoː	0.817
ˈoʊ̯	ˈøː	0.183
ˈoː	ˈoː	0.373
ˈoː	ˈuː	0.325
ˈoː	ˈœ	0.157
ˈoː	ˈʊ	0.072
ˈoː	ˈøː	0.064
ˈu	ˈoː	0.5
ˈu	ˈɔ	0.5
ˈuː	ˈøː	0.373
ˈuː	ˈʉː	0.316
ˈuː	ˈɵ	0.238
ˈuː	ˈœː	0.073
ˈyː	ˈœː	0.388
ˈyː	ˈɵ	0.216
ˈyː	ˈœ	0.126
ˈyː	ˈyː	0.111
ˈyː	ˈɔ	0.07
ˈøʏ̯	ˈyː	1.0
ˈøː	ˈøː	0.511
ˈøː	ˈœ	0.19
ˈøː	ˈɛ	0.164
ˈøː	ˈoː	0.068
ˈøː	ˈyː	0.066
ˈœ	ˈɛ	0.355
ˈœ	ˈʏ	0.337
ˈœ	ˈɵ	0.309
ˈɔ	ˈɔ	0.369
ˈɔ	ˈɵ	0.283
ˈɔ	ˈoː	0.176
ˈɔ	ˈʉː	0.094
ˈɛ	ˈɛ	0.331
ˈɛ	ˈeː	0.253
ˈɛ	-	0.116
ˈɛ	ˈa	0.075
ˈɛ	ˈɛː	0.074
ˈɛ	ˈæ	0.055
ˈɛː	ˈɛ	0.383
ˈɛː	ˈa	0.154
ˈɛː	j	0.14
ˈɛː	ˈæː	0.121
ˈɛː	ˈʉː	0.086
ˈɛː	ˈɛː	0.071
ˈɪ	ˈɪ	0.605
ˈɪ	ˈiː	0.123
ˈɪ	ˈɵ	0.105
ˈɪ	ˈɛ	0.075
ˈɪ	j	0.063
ˈʊ	ˈɔ	0.411
ˈʊ	ˈɵ	0.411
ˈʊ	ˈʊ	0.177
ˈʏ	ʊ	0.278
ˈʏ	ˈœ	0.278
ˈʏ	ˈʉː	0.24
ˈʏ	ˈɵ	0.091
ˈʏ	ˈøː	0.091
