Ripuarian	Swedish	probability
b	b	1.0
d	d	0.496
d	tʰ	0.23
d	-	0.139
d	ɕ	0.073
d	t	0.05
d_ɐ	r	1.0
f	f	0.608
f	v	0.194
f	p	0.071
f	-	0.042
f	pː	0.041
h	h	1.0
j	ɡ	0.693
j	-	0.143
j	j	0.095
k	d	0.277
k	kʰ	0.251
k	k	0.134
k	-	0.113
k	ɡː	0.104
l	l	0.872
l	lː	0.082
l	nː	0.03
l	-	0.029
l_ə	l	1.0
m	m	0.708
m	mː	0.208
m	-	0.065
n	n	0.433
n	-	0.233
n	nː	0.211
n	ɳ	0.101
n	m	0.028
n_t	n	1.0
p	v_ɵ	0.561
p	p	0.425
s	s	0.422
s	t	0.354
s	tː	0.128
s	-	0.058
s	sː	0.034
t	d	0.412
t	t	0.247
t	-	0.225
t	ɖ	0.107
v	v	0.651
v	-	0.226
v	ŋ	0.097
x	tː	0.478
x	-	0.215
x	k	0.215
x	ɡ	0.052
z	s	0.827
z	ɧ	0.157
ŋ	n	0.439
ŋ	ŋː	0.322
ŋ	ŋ	0.137
ŋ	nː	0.052
ŋ	ʊ	0.038
ŋ_k	kː	1.0
ɐ	r	0.461
ɐ	ɛ	0.327
ɐ	r_a	0.084
ɐ	-	0.064
ɐ	e	0.042
ɕ	ɡ	0.325
ɕ	k	0.307
ɕ	tː	0.108
ɕ	j	0.094
ɕ	ŋ	0.082
ə	a	0.67
ə	-	0.223
ə	ɛ	0.038
ə	ɵ	0.038
ə	ɪ	0.033
ə_l	l	0.473
ɣ	jː	0.392
ɣ	j	0.213
ɣ	ɡ	0.213
ɪ	-	1.0
ʀ	r	0.889
ʀ	-	0.106
ʃ	s	0.495
ʃ	s_k	0.283
ʃ	ɧ	0.215
ʋ	v	0.637
ʋ	-	0.305
ʋ	ˈɪ	0.054
ʋ_ˈɔ	ˈɵ	1.0
ʦ	tʰ	0.496
ʦ	d	0.101
ʦ	t	0.101
ʦ	ʈː	0.074
ʦ	-	0.074
ˈa	ˈa	0.526
ˈa	ˈɑː	0.242
ˈa	ˈɪ	0.061
ˈa	ˈoː	0.061
ˈa	ˈʉː	0.049
ˈaʊ̯	ˈøː	0.506
ˈaʊ̯	ˈʉː	0.291
ˈaʊ̯	ˈuː	0.149
ˈaː	ˈɑː	0.323
ˈaː	ˈa	0.266
ˈaː	ˈɛː	0.138
ˈaː	ˈɛ	0.104
ˈaː	ˈeː	0.104
ˈe	ˈɪ	0.42
ˈe	ˈɛ	0.217
ˈe	ˈeː	0.143
ˈe	ˈɔ	0.103
ˈe	ˈiː	0.068
ˈeɪ̯	ˈeː	0.392
ˈeɪ̯	ˈiː	0.213
ˈeɪ̯	ˈɛ	0.213
ˈeː	ˈeː	0.257
ˈeː	ˈyː	0.15
ˈeː	ˈʉː	0.13
ˈeː	j_ˈʉː	0.113
ˈeː	ˈɛ	0.099
ˈiː	ˈiː	0.576
ˈiː	ˈyː	0.127
ˈiː	ˈʏ	0.127
ˈiː	ˈøː	0.069
ˈiː	ˈʉː	0.063
ˈo	ˈɵ	0.542
ˈo	ˈœ	0.265
ˈo	ˈʊ	0.103
ˈoː	ˈuː	0.557
ˈoː	ˈoː	0.298
ˈoː	ˈʊ	0.065
ˈoː	ˈœ	0.042
ˈoː	ˈʉː	0.042
ˈu	ˈoː	1.0
ˈuː	ˈʉː	0.415
ˈuː	ˈøː	0.361
ˈuː	ˈœː	0.123
ˈuː	ˈɵ	0.086
ˈyː	ˈyː	0.291
ˈyː	ˈɵ	0.253
ˈyː	ˈœː	0.253
ˈyː	ˈɔ	0.149
ˈøː	ˈøː	0.289
ˈøː	ˈœ	0.289
ˈøː	ˈyː	0.219
ˈøː	ˈoː	0.137
ˈœ	ˈʏ	0.45
ˈœ	ˈɵ	0.325
ˈœ	ˈɛ	0.214
ˈɔ	ˈɔ	0.301
ˈɔ	ˈɵ	0.256
ˈɔ	ˈʉː	0.144
ˈɔ	ˈoː	0.109
ˈɔ	ˈuː	0.08
ˈɔʏ̯	ˈyː	1.0
ˈɛ	ˈeː	0.203
ˈɛ	ˈɛ	0.154
ˈɛ	ˈɛː	0.138
ˈɛ	ˈʏ	0.08
ˈɛ	ˈæ	0.08
ˈɛː	ˈɛ	0.248
ˈɛː	ˈæː	0.211
ˈɛː	ˈɛː	0.139
ˈɛː	ˈa	0.112
ˈɛː	ˈʉː	0.106
ˈɪ	ˈɪ	0.322
ˈɪ	ˈɛ	0.191
ˈɪ	j	0.12
ˈɪ	ˈʉː	0.093
ˈɪ	ˈɵ	0.091
ˈʊ	ˈʊ	0.758
ˈʊ	ˈɔ	0.08
ˈʏ	ˈʏ	0.209
ˈʏ	ˈøː	0.158
ˈʏ	ˈœ	0.158
ˈʏ	ˈɵ	0.093
ˈʏ	ˈiː	0.058
