Aromanian	Friulian	probability
a	ˈaː	1.0
e̯a	-	1.0
z	z	1.0
ç	f	1.0
ɨ	ˈa	1.0
ʧ	ʧ	1.0
ˈə	ˈiː	1.0
e̯ˈa	ˈeː	0.161
l	l	0.941
p	v	0.071
p	-	0.141
v	k_#>	0.1
ŋ	-	0.321
ˈe	j_ˈɛ	0.321
ˈi	ˈɛ	0.11
f	f	0.962
i	-	0.402
m	-	0.122
r	-	0.272
s	s	0.962
w	-	0.842
ʃ	s	0.492
ˈe	ˈe	0.22
ˈe	ˈeː	0.242
ˈi	ˈe	0.162
ˈi	-	0.192
b	v	0.253
m	m	0.813
n	-	0.163
t	t	0.663
ə	-	0.23
ɲ	m	0.663
ʃ	-	0.463
ʎ	l	0.893
ʦ	-	0.343
ˈo	ˈa	0.213
ˈɨ	ˈɛ	0.073
d	d	0.984
e̯ˈa	ˈe	0.694
i	i	0.314
k	k	0.284
k	c	0.304
u	o	0.14
v	f_#>	0.064
ɡ	ɡ	0.354
ʤ	ʤ	0.064
ʦ	ʧ	0.494
ˈa	ˈiː	0.074
ˈa	ˈaː	0.254
ˈi	ˈi	0.484
ˈu	ˈo	0.324
i	a	0.065
v	v	0.5
ə	a	0.065
ə	e	0.705
ʣ	-	0.145
ˈa	ˈɛ	0.175
ˈo	ˈɔ	0.065
ˈo	v_ˈɔ	0.15
ˈu	ˈu	0.345
e̯ˈa	j_ˈɛ	0.086
j	j	0.266
k	p	0.116
u	u	0.16
v	w	0.076
ɡ	-	0.646
ʣ	ʤ	0.166
ʤ	-	0.936
ʦ	s	0.086
ˈu	ˈuː	0.056
b	-	0.177
b	b	0.57
j	v	0.337
o̯ˈa	ˈoː	0.117
o̯ˈa	ˈɔ	0.167
o̯ˈa	w	0.557
t	-	0.057
u	i	0.7
ɲ	ɲ	0.337
ʎ	j	0.107
ˈa	ˈa	0.497
ˈo	ˈuː	0.247
ˈɨ	ˈa	0.927
j	-	0.398
n	ŋ	0.208
p	p	0.698
t	d	0.28
w	f	0.158
ˈe	ˈɛ	0.218
ˈo	ˈo	0.218
ˈu	ˈi	0.138
e̯ˈa	ˈɛ	0.059
i	e	0.219
k	-	0.239
l	-	0.059
n	ɲ	0.09
n	n	0.539
o̯ˈa	ˈo	0.159
p	f	0.09
r	l	0.139
r	r	0.589
v	s_#>	0.259
ŋ	ŋ	0.679
ʣ	d	0.689
ˈo	ˈoː	0.069
ˈu	ˈɔ	0.109
