Old Prussian	Old Prussian	probability
ɡ_s	z	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
z	zʲ	1.0
w	w	1.0
v_i	w	1.0
v	w	1.0
uː	uː	1.0
s_#>	#>	1.0
r	r	1.0
p	p	1.0
oːu̯	iː	1.0
o_n	ei̯	1.0
n_s	n_s	1.0
m	m	1.0
k	k	1.0
j	j	1.0
iː	i	1.0
eːi̯	iː_ˀ	1.0
eː	eː	1.0
d	d	1.0
b	b	1.0
aːi̯	ai̯	1.0
au̯	au̯	1.0
ai̯	ai̯_ˀ	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
l	l	0.833
t	t	0.667
s	s	0.667
n_a	n_a	0.6
#>	s_#>	0.562
n	n	0.5
#>	ˀ_#>	0.438
n_a	n	0.4
a	a_́	0.364
o	a	0.357
n	-	0.357
e	e_́	0.333
a	a	0.318
i	i	0.304
e	-	0.286
i	a	0.261
u	uː_́ˀ	0.25
u	a	0.25
i	i_́	0.217
o	aː_́ˀ	0.214
o	aː	0.214
o	-	0.214
t	-	0.2
a	-	0.182
u	u	0.167
u	au̯	0.167
u	-	0.167
l	l_i	0.167
s	ʃ	0.148
n	s	0.143
e	aː	0.143
a	e	0.136
t	t_a	0.133
i	-	0.13
s	sʲ	0.111
e	i	0.095
e	eː	0.095
i	a_́	0.087
s	́_s	0.074
