Alsatian	Northern Low Saxon	probability
ˈɛ	ˈɛ	1.0
ˈɔi̯	ˈuː	1.0
ˈɒː_ʁ	ˈaː	1.0
ˈɒ_l	ˈaʊ̯_l	1.0
ˈøi̯	ˈuː	1.0
ˈø	ˈoː	1.0
ˈyː	ˈuː	1.0
ˈu_ʁ	ˈɔː	1.0
ˈiː_t	ˈiː_d	1.0
ˈeː_ʁ	ˈiː	1.0
ˈaː	-	1.0
ˈai̯	ˈɔʏ̯	1.0
ʋ_ˈi	v	1.0
ʋ	v	1.0
ʃ_t	ç	1.0
ʁ_ʦ	d	1.0
ŋ	ŋ	1.0
t_ʁ	d_r	1.0
s_ˈeː	z	1.0
s_ə	d_n	1.0
p͡f	b	1.0
p	p	1.0
n_d̥	n	1.0
m_ə	m	1.0
m	m	1.0
l_b̥	f	1.0
kʰ	kʰ	1.0
k_s	s	1.0
j_ə	ŋ	1.0
j	ʒ	1.0
h	h	1.0
f_ə	b_m	1.0
f	f	1.0
eː	aɪ̯	1.0
e	ˈiː	1.0
d̥_ˈoː	d_ˈaʊ̯	1.0
d̥	d	1.0
ə_ʁ	ɐ	0.945
l	l	0.94
ˈʊː	ˈaʊ̯	0.889
n	n	0.876
b̥	b	0.862
ɡ̊	ɡ	0.781
t	d	0.723
x	x	0.714
ˈəi̯	ˈaɪ̯	0.702
ˈɒ	ˈa	0.683
ˈi	ˈɪ	0.674
ˈei̯	ˈaɪ̯	0.667
ˈoː	ˈoː	0.664
ə	n	0.643
k	ɡ	0.637
ʃ	ʃ	0.571
ˈɒː	-	0.566
ˈæː	-	0.563
ʁ	ɐ	0.553
ˈe	-	0.535
ˈæ	-	0.518
ʦ	tʰ	0.513
ˈu	ˈʊ	0.508
i	-	0.5
s	z	0.484
ˈæ	ˈeː	0.482
ˈeː	ˈaɪ̯	0.441
ˈæː	ˈoː	0.437
ˈɒː	ˈa	0.434
ˈo	-	0.429
ˈo	ˈʊ	0.401
i	ɪ	0.375
k	ç	0.363
ˈoː	ˈaʊ̯	0.336
ˈeː	ˈɔʏ̯	0.336
ˈei̯	ˈiː	0.333
ʁ	r	0.307
ˈəi̯	ˈɪ	0.298
x	-	0.286
ˈe	ˈɛ	0.267
ʦ	d	0.251
s	d	0.247
ʦ	-	0.236
ʃ	ɡ	0.233
ˈi	-	0.231
ˈiː	ˈaɪ̯	0.224
ˈeː	-	0.224
ˈu	ˈʏ	0.214
ˈiː	-	0.211
ə	m	0.199
ˈe	ˈɪ	0.198
ˈu	-	0.197
ʃ	s	0.196
ˈiː	ˈyː	0.183
t	t	0.182
ɡ̊	-	0.18
ˈo	ˈɔ	0.17
s	z̥	0.169
ə	-	0.158
ˈɒ	ˈoː	0.154
ˈiː	ˈɪ	0.153
ˈiː	ˈɔʏ̯	0.153
b̥	-	0.138
i	i	0.125
ˈʊː	-	0.111
ˈɒ	-	0.11
ˈi	ˈʏ	0.095
t	-	0.095
ʁ	ˈaː	0.092
ˈu	ˈɔ	0.081
ˈiː	ˈiː	0.075
s	ˈeː_d	0.075
n	-	0.06
l	ˈeː_l	0.06
ə_ʁ	ə	0.055
ˈɒ	ˈaː	0.053
