Spanish	Spanish	probability
θ_#>	ʃ_#>	1.0
β_j	v	1.0
ˈo_t	ˈɔ	1.0
ˈo_n	ˈõ	1.0
ˈi_ʝ	ˈɛ_l	1.0
ˈi_o	ˈi_u	1.0
ˈi_n	ˈi_ɲ	1.0
ˈe_k	ˈe_k	1.0
ˈe_#>	ˈɨ_#>	1.0
ˈa_ɲ	ˈɐ_ɲ	1.0
ˈa_n	ˈɐ̃	1.0
ɾ_o	ɾ_u	1.0
ɾ_n	ɾ_n	1.0
ɾ_a	ɾ_ɐ	1.0
ɾ_#>	ɾ_#>	1.0
ɣ	ɣ	1.0
ɡ	ɡ	1.0
ŋ	-	1.0
u	u	1.0
t	t	1.0
s_t	ʃ_t	1.0
s_a	ɐ	1.0
s_#>	ʃ_#>	1.0
r	ʁ	1.0
p_o	p_u	1.0
p	p	1.0
o_ɾ	u_ɾ	1.0
o_n	õ	1.0
o_m	ũ	1.0
o_#>	#>	1.0
n_t	t	1.0
n_o	w̃	1.0
n_a	ɐ	1.0
n_#>	w̃_#>	1.0
m_ˈo	ˈɛ_l	1.0
m_b	m	1.0
l_ˈe	l_ˈɐ	1.0
l_#>	ɫ_#>	1.0
k	k	1.0
j_#>	j_#>	1.0
f	f	1.0
e_ˈe	ˈe	1.0
e_ɾ	b	1.0
e_n	ẽ	1.0
d	d	1.0
b_w	b	1.0
b_j	v	1.0
a_ɾ	ɐ_ɾ	1.0
a_#>	#>	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_x	<#_ʒ	1.0
<#_t	<#_t	1.0
<#_o	<#_ɔ	1.0
<#_n	<#_n	1.0
<#_e	<#_i	1.0
<#_a	<#_ɐ	1.0
<#	<#_f	1.0
#>	ɨ_#>	1.0
a	ɐ	0.965
ð	ð	0.926
o	u	0.898
m	m	0.889
ɾ	ɾ	0.875
x	ʎ	0.875
j_ˈe	ˈɛ	0.875
e	ɨ	0.841
ˈu	ˈu	0.8
ˈa	ˈa	0.79
<#_ɟ͡ʝ	<#_ʃ	0.778
s	s	0.738
ˈi	ˈi	0.733
θ	s	0.667
ˈe_n	ˈẽ	0.667
ʧ	j_t	0.667
ɾ_e	ɨ	0.667
j	-	0.636
w	w	0.625
ʝ	l	0.615
β	v	0.594
w_ˈe	ˈo	0.593
b	v	0.586
i	-	0.571
ɲ	n	0.556
l	l	0.537
ˈe	ˈe	0.522
ˈo	ˈo	0.462
ɲ	ɲ	0.444
i	i	0.429
b	b	0.414
w_ˈe	ˈɔ	0.407
β	β	0.406
ʝ	-	0.385
w	-	0.375
j	j	0.364
ˈe_n	ˈõ	0.333
ʧ	t	0.333
ɾ_e	j̃	0.333
n	-	0.333
ˈo	ˈɔ	0.256
l	-	0.244
θ	z	0.222
<#_ɟ͡ʝ	<#	0.222
s	ʃ	0.214
n	j̃	0.2
n	j	0.2
ˈe	ˈɐ_j	0.196
ˈi	ˈe	0.167
ˈa	ˈɐ̃	0.161
ˈe	ˈɐ	0.152
n	ɲ	0.133
n	n	0.133
ɾ	-	0.125
x	ʃ	0.125
j_ˈe	ˈɐ̃	0.125
l	ɫ	0.122
ˈu	ˈũ	0.12
e	-	0.114
θ	ʒ	0.111
m	-	0.111
ˈo	ˈo_j	0.103
o	-	0.102
ˈi	-	0.1
l	w	0.098
ˈe	-	0.087
ˈu	-	0.08
ˈo	ˈɐ̃	0.077
ð	-	0.074
ˈo	ˈo_w	0.051
ˈo	w	0.051
