Western Lombard	Western Lombard	probability
ˈɛ_k	ˈe_k	1.0
ˈɛ_#>	ˈe_ɾ_#>	1.0
ˈɑː_n_a_#>	ˈa_#>	1.0
ˈœ	-	1.0
ˈy	-	1.0
ˈoː	ˈo_w	1.0
ˈo	ˈo	1.0
ˈiː_n	ˈi_ɲ	1.0
ˈiː	ˈi	1.0
ʤ	-	1.0
ʒ	θ	1.0
ʃ	e_k	1.0
ɲ	ɲ	1.0
ɛ	-	1.0
z	-	1.0
y	u	1.0
w	w	1.0
v_e	b	1.0
ũ	-	1.0
t_a	t_ɐ	1.0
s_e	s_e	1.0
p_j	ʧ	1.0
p	p	1.0
o	-	1.0
n_a	ɐ	1.0
m	m	1.0
l_a	ɐ	1.0
l_#>	ʊ_#>	1.0
ĩ	i	1.0
f_j	ʧ	1.0
f_#>	β_ɪ_#>	1.0
ẽ	v_ɪ	1.0
ã	-	1.0
a_v	a_β	1.0
a_d	a_ð	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_θ	1.0
<#_ʒ	<#_ʃ	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_e	1.0
f	f	0.875
n	n	0.833
k	k	0.826
ˈa	ˈa	0.808
ɡ	ɣ	0.8
ˈyː	ˈu	0.786
a	ɐ	0.772
ˈɑː	ˈa	0.76
ˈu	ˈo	0.75
v	b	0.737
b	b	0.737
ˈøː	ˈɔ	0.727
t	t	0.722
r	ɾ	0.722
u	o	0.7
l	l	0.69
ˈeː	ˈe	0.667
ˈẽ	ˈe_n	0.6
e	e	0.6
ˈã	ˈɑ_ŋ	0.583
ˈe	ˈe	0.571
ˈɛ	ˈɛ	0.565
ˈuː	ˈo	0.556
d	d	0.48
ˈɔ	ˈo	0.474
#>	ʊ_#>	0.474
s	s	0.465
j	ɟ	0.462
ˈuː	ˈɔ	0.444
ˈe	ˈɛ	0.429
i	i	0.429
e_r	ɾ_ʊ	0.429
ˈɔ	ˈɔ	0.421
ˈẽ	ˈe	0.4
ʧ	ɟ_ʊ	0.4
e	-	0.4
ˈũ	ˈo_ŋ	0.375
ˈũ	ˈo	0.375
s	θ	0.349
ˈɛ	ˈe	0.348
ˈĩ	ˈi_ɲ	0.333
ˈĩ	ˈi_ŋ	0.333
ˈĩ	ˈi	0.333
ˈi	ˈi_ɾ	0.333
ˈeː	ˈɛ	0.333
j	-	0.308
u	-	0.3
i	ʊ	0.286
i	-	0.286
e_r	ɾ_ɪ	0.286
e_r	ɾ	0.286
ˈøː	ˈo	0.273
ˈi	ˈi	0.267
ˈi	ˈe	0.267
v	β	0.263
b	β	0.263
ˈũ	ˈo_n	0.25
ˈu	ˈɔ	0.25
ˈã	ˈa_n	0.25
d	-	0.24
j	o	0.231
#>	ɪ_#>	0.227
ˈyː	ˈo	0.214
ʧ	ʧ	0.2
ʧ	j_t	0.2
ʧ	-	0.2
ɡ	-	0.2
d	ð	0.2
ˈã	ˈa	0.167
n	-	0.167
a	a	0.14
l	-	0.138
#>	ɾ_#>	0.134
ˈi	-	0.133
f	β_ʊ	0.125
ˈa	ɾ	0.115
k	ɣ_ʊ	0.109
ˈɔ	ɾ	0.105
l	w	0.103
s	ʃ	0.093
r	ɾ_ʊ	0.093
r	r	0.093
ˈɛ	ˈe_j	0.087
t	ð_ʊ	0.083
t	ð	0.083
ˈɑː	ˈa_l	0.08
ˈɑː	ɾ	0.08
ˈɑː	-	0.08
d	a_ð	0.08
ˈa	ˈe_j	0.077
l	ˈa	0.069
k	ɡ	0.065
#>	ɐ_#>	0.062
#>	s_#>	0.062
t	ð_ɪ	0.056
t	d_ʊ	0.056
r	-	0.056
a	-	0.053
