Nynorsk Norwegian	Gothic	probability
b	b	1.0
d	d	0.597
d	-	0.195
d	t	0.105
d	θ	0.103
e	oː	0.381
e	a	0.283
e	-	0.198
e	i	0.061
f	f	1.0
h	h	1.0
j	ɡ	0.348
j	ˈɛ	0.263
j	-	0.249
j	l	0.083
j	ɡʷ	0.057
k	k	0.859
k	h	0.091
k	ɡ	0.05
kʰ	k	0.652
kʰ	kʷ	0.187
kʰ	ʍ	0.161
l	l	1.0
lː	l	0.485
lː	lː	0.339
lː	-	0.177
m	m	0.958
mː	m	1.0
n	n	0.934
n	-	0.066
nː	n	0.752
nː	nː	0.248
p	p	1.0
s	s	0.997
sː	ŋ	1.0
t	t	1.0
tʰ	θ	0.561
tʰ	t	0.377
tʰ	b	0.062
v	w	1.0
ŋː	ŋ	0.868
ŋː	h	0.132
ɑ	a	0.722
ɑ	oː	0.134
ɑ	θ_a	0.05
ɕ	θ	0.514
ɕ	t	0.313
ɕ	k	0.173
ɕː	t	1.0
ə	a	1.0
ɛ	a	0.58
ɛ	i	0.42
ɡ	ɡ	0.573
ɡ	k	0.163
ɡ	h	0.094
ɡ	ɣ	0.066
ɡ	x	0.058
ɡː	d	1.0
ɲ	ŋ	1.0
ɾ	r	0.865
ɾ	-	0.063
ʃ	s	0.958
ʉ	i	1.0
ʋ	w	0.364
ʋ	-	0.264
ʋ	β	0.145
ʋ	f	0.144
ʋ	oː	0.05
ʰkː	k	1.0
ʰpː	p	1.0
ʰtː	h_t	1.0
ˈeː	ˈi	0.487
ˈeː	ˈeː	0.15
ˈeː	ˈa	0.114
ˈeː	ˈuː	0.095
ˈeː	ˈiu̯	0.093
ˈeː	ˈiː	0.061
ˈiː	ˈiː	0.527
ˈiː	ˈi	0.368
ˈiː	ˈiu̯	0.086
ˈoː	ˈeː	0.531
ˈoː	ˈa	0.222
ˈoː	ˈɔ	0.073
ˈoː	ˈi	0.057
ˈuː	ˈoː	0.525
ˈuː	-	0.273
ˈuː	ˈi	0.098
ˈuː	ˈɛː	0.093
ˈyː	ˈiu̯	0.845
ˈyː	ˈoː	0.155
ˈæ	ˈɛ	1.0
ˈæɪ̯	ˈɛː	1.0
ˈæʉ̯	ˈɔː	0.634
ˈæʉ̯	ˈɔ	0.366
ˈøː	ˈɛː	0.59
ˈøː	ˈoː	0.33
ˈøː	iː	0.08
ˈœ	-	0.672
ˈœ	ˈi	0.328
ˈœʏ̯	ˈɔː	1.0
ˈɑ	ˈa	0.903
ˈɑː	ˈa	1.0
ˈɔ	ˈɔː	0.57
ˈɔ	ˈu	0.203
ˈɔ	w	0.147
ˈɔ	ˈi	0.056
ˈɛ	ˈa	0.377
ˈɛ	ˈi	0.306
ˈɛ	ˈɛ	0.177
ˈɛ	ˈɛː	0.085
ˈɛ	ˈoː	0.055
ˈɪ	ˈi	0.863
ˈɪ	ˈiː	0.137
ˈʉ	ˈu	0.906
ˈʉ	w_ˈu	0.072
ˈʉː	ˈiu̯	0.563
ˈʉː	ˈuː	0.188
ˈʉː	u	0.168
ˈʉː	ˈu	0.081
ˈʊ	ˈɔ	0.864
ˈʊ	ˈa	0.136
ˈʏ	ˈi	0.522
ˈʏ	ˈiu̯	0.239
ˈʏ	ˈu	0.239
