Proto-Germanic	Saterland Frisian	probability
a	ə	1.0
b	b	0.964
b	-	0.048
b_ˈi	ˈiː	1.0
d	d	0.988
d	-	0.038
e	ˈuː	1.0
i	-	0.704
i	ɪ	0.143
i	ˈuː	0.076
i	r	0.065
i_s	s	1.0
i_z	ə	1.0
iː	ˈu	0.425
iː	-	0.248
iː	ə	0.145
j	-	0.658
j	j	0.249
j	ˈyː	0.055
j	ˈɛɪ̯	0.049
jː	ˈɔːɪ̯	0.258
k	k	0.856
k	s	0.064
k	h	0.043
k	-	0.041
k_i	k	1.0
k_s	k	1.0
kʷ	k	0.508
kː	j	1.0
l	l	0.962
l	-	0.038
l_ɑ	l	1.0
l_ɑ̃	l	1.0
l_ɔː	l	1.0
lː	ɫ	0.258
lː_ɑ	l	1.0
m	m	0.954
m	n	0.051
mː	m	0.508
n	n	0.826
n	-	0.157
n_i	n	1.0
n_x	ŋ	0.508
nː	n	1.0
p	p	1.0
p_ɑ̃	p	1.0
pː	d	0.574
pː	p	0.292
r	r	0.909
r	-	0.047
r	d_ə	0.044
r_u	r	0.508
r_ɑ	r	1.0
s	s	0.826
s	-	0.094
s	z	0.078
t	t	1.0
u	-	0.549
u	ə	0.335
u	ˈuː	0.062
u	ˈoː	0.059
w	v	0.81
w	-	0.061
w	l	0.046
w	ˈaːu̯	0.042
w	w	0.041
wː	ˈuː	0.508
x	h	0.596
x	x	0.234
x	-	0.086
x	k	0.079
x_l	l	1.0
xʷ	v	0.488
xʷ	-	0.252
xʷ	j	0.252
z	-	0.884
z	x	0.116
ð	-	0.356
ð	t	0.344
ð	d	0.276
ð_i	d	1.0
ð_ɑ	d	1.0
ð_ɑ̃	d	1.0
ŋ	ŋ	0.447
ŋ	-	0.389
ŋ	ˈʊ	0.127
ŋ_ɡ	ŋ	1.0
ɑ	-	0.865
ɑ	ə	0.133
ɑ_l	l	1.0
ɑ_n	ə	1.0
ɑi̯	ˈɪ	0.258
ɑː	j	0.258
ɑ̃	-	0.97
ɔː	ə	0.803
ɔː	-	0.161
ɔːu̯	ə	0.508
ɔːː	ə	0.705
ɔːː	-	0.186
ɔːː	r	0.094
ɔ̃ː	ə	0.757
ɔ̃ː	-	0.238
ɛː	-	0.641
ɛː	ə	0.351
ɡ	k	0.608
ɡ	x	0.177
ɡ	-	0.112
ɡʷ	ŋ	0.508
ɣ	ɣ	0.547
ɣ	-	0.247
ɣ	x	0.089
ɣ	j	0.061
ɣ	ɡ	0.048
ɣ_ɑ	ɪ	1.0
ɸ	f	0.914
ɸ	p	0.047
ɸ	x	0.045
ˈe	ˈi	0.152
ˈe	ˈɔː	0.104
ˈe	ˈiː	0.101
ˈe	ˈɛɪ̯	0.101
ˈe	j_ˈʊ	0.088
ˈe_r	ˈɛɪ̯	1.0
ˈe_xʷ	j	0.258
ˈeu̯	ˈʊ	0.33
ˈeu̯	j_ˈoː	0.265
ˈeu̯	ˈɛɪ̯	0.238
ˈeu̯	ˈoː	0.119
ˈeu̯	a	0.044
ˈeː	ˈi	1.0
ˈi	ˈɪ	0.565
ˈi	ˈiː	0.148
ˈi	-	0.095
ˈi	ˈi	0.093
ˈi	ˈiːu̯	0.048
ˈiu̯	ˈyː	0.392
ˈiu̯	ˈɛɪ̯	0.392
ˈiu̯	ˈu	0.133
ˈiː	ˈi	0.563
ˈiː	ˈiː	0.329
ˈiː	ˈɛɪ̯	0.097
ˈĩː	ˈɪ	0.258
ˈu	ˈʊ	0.204
ˈu	ˈuː	0.191
ˈu	ˈɔ	0.139
ˈu	ˈoːu̯	0.134
ˈu	-	0.096
ˈu_r	ˈoːu̯	1.0
ˈuː	ˈuː	0.802
ˈuː	ˈu	0.104
ˈuː	ˈɛɪ̯	0.078
ˈɑ	ˈɔː	0.271
ˈɑ	ˈoː	0.119
ˈɑ	ˈoːu̯	0.095
ˈɑ	ˈɛː	0.093
ˈɑ	ˈɛ	0.077
ˈɑ_x	ˈoː	0.508
ˈɑ_ɣ	ˈaːi̯	1.0
ˈɑi̯	ˈeː	0.359
ˈɑi̯	ˈaː	0.182
ˈɑi̯	ˈoː	0.182
ˈɑi̯	ˈɛɪ̯	0.125
ˈɑi̯	ˈɛ	0.105
ˈɑi̯_w	ˈeː	1.0
ˈɑu̯	ˈoː	0.703
ˈɑu̯	ˈeː	0.137
ˈɑu̯	-	0.062
ˈɑu̯	ˈaːu̯	0.054
ˈɑu̯	ˈɔ	0.049
ˈɔ	ˈɛɪ̯	0.258
ˈɔː	ˈoːu̯	0.424
ˈɔː	ˈuː	0.279
ˈɔː	ˈɛɪ̯	0.207
ˈɔː	ˈa	0.061
ˈɛː	ˈɛɪ̯	0.474
ˈɛː	ˈiː	0.19
ˈɛː	ˈɛ	0.165
ˈɛː	ˈoːu̯	0.12
β	-	0.311
β	f	0.152
β	v	0.152
β	b	0.1
β	w	0.1
θ	d	0.489
θ	t	0.42
θ	-	0.087
θ_ɑ̃	d	1.0
