Québécois French	Occitan	probability
k	k	1.0
ɑ	ˈa	1.0
ɛɪ̯	ˈɛ	1.0
ʊ	ˈu	1.0
ʏ	ˈy	1.0
ʣ	d	1.0
ʦ	t	1.0
ã	m	0.121
d	d	0.91
m	m	0.931
oʊ̯	ˈa_w	0.41
s	s	0.911
u	ˈɔ	0.081
øʏ̯	ˈɔ	0.161
ɑɔ̯	ˈɔ	0.971
ɛ	e	0.11
ɥ	ɥ	0.711
ɲ	ɲ	0.281
ã	ˈa_n	0.082
ã	ˈa	0.12
ã	n	0.122
b	b	0.912
ẽɪ̯̃	ˈe	0.12
f	-	0.052
n	n_ɔ	0.472
oʊ̯	ˈa	0.082
œ	ɥ	0.192
ɔ	ˈɔ	0.092
ʒ	ʤ	0.792
a	-	0.083
a	a	0.453
b	β	0.073
i	ˈi	0.413
oʊ̯	ˈɛ_l	0.453
p	p	0.993
v	v	0.753
z	z	0.843
øʏ̯	w	0.283
œ	e	0.663
ɥ	-	0.113
ʁ	r	0.343
ʃ	k_ɔ	0.213
ẽɪ̯̃	ˈi	0.214
o	ˈɔ_s	0.474
t	t_ɔ	0.054
u	ˈu	0.544
w	ˈe	0.754
ɒ̃ʊ̯̃	u	0.064
ɔ	u	0.394
ɔ	ˈu	0.514
ɡ	ɡ	0.884
ʃ	k	0.754
a	ˈa	0.465
d	-	0.075
e	ˈa	0.735
ẽɪ̯̃	ˈa_ɲ	0.05
i	i	0.165
j	ʎ_ɔ	0.275
j	ˈɛ	0.355
oʊ̯	-	0.055
œ	ˈɔ	0.05
ʁ	ɾ_ɔ	0.065
ʁ	ɾ_e	0.225
ã	ˈɛ_n	0.556
i	ˈɛ	0.126
l	l_ɔ	0.146
o	ˈɔ	0.526
y	ˈy	0.956
øʏ̯	-	0.556
ɒ̃ʊ̯̃	ˈu	0.936
ɡ	ɣ	0.116
ɥ	ˈy	0.176
e	e_s	0.187
i	ˈɛ_ʧ	0.297
s	-	0.07
t	t	0.707
u	u	0.317
v	β	0.207
z	-	0.157
æɛ̯	ˈa_j	0.067
æɛ̯	-	0.07
æɛ̯	ˈa	0.527
ɪ	ˈi	0.967
ʁ	ɾ	0.27
ẽɪ̯̃	ɲ	0.128
ẽɪ̯̃	ˈa	0.488
f	f	0.948
j	-	0.278
l	l	0.828
n	n	0.528
u	ˈu_l	0.058
æɛ̯	ˈɛ	0.088
æɛ̯	ˈe	0.218
ɛ	ˈe	0.138
ʒ	-	0.068
ʒ	ʤ_e	0.108
j	j	0.069
m	m_ɔ	0.069
t	s_t	0.209
w	ˈy	0.239
ɛ	ɔ	0.129
ɛ	j	0.529
ɲ	ɲ_ɔ	0.719
