Old Frisian	Pennsylvania German	probability
θ	d	1.0
ˈeː_r	ɑ	1.0
ˈe_t	ˈa_s	1.0
ˈe_j	ˈɔɪ̯	1.0
ʦ	k_ˈɛː	1.0
ʣ	-	1.0
ɡː	ɡ̊	1.0
ə_x	ɪ_ç	1.0
ə_r	ɑ	1.0
ŋ	ŋ	1.0
ð	d	1.0
z	s	1.0
tː	ʦ	1.0
s_k	ʃ	1.0
r_ə	ɑ	1.0
pː	p	1.0
p	f	1.0
nː	n	1.0
n_d	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_ˈi	l_ˈaɪ̯	1.0
l_ə	l	1.0
l	l	1.0
kː	k	1.0
j_ə	ə	1.0
iː	eː	1.0
i	ɪ	1.0
h_w	ʋ	1.0
h_r	ɾ	1.0
h_l	l	1.0
h	h	1.0
e_r	ɑ	1.0
e	-	1.0
dː	d	1.0
d_r	d_ɾ	1.0
bː	ʋ	1.0
b	b	1.0
a	ə	1.0
w	ʋ	0.903
ˈɛː	ˈeː	0.886
f	f	0.808
ˈi	ˈɪ	0.78
n	n	0.777
d	d̥	0.755
ˈi̯uː	ˈaɪ̯	0.749
ˈuː	ˈaʊ̯	0.746
ɡ	ɡ	0.733
ˈu	ˈʊ	0.726
ˈi̯aː	ˈiː	0.723
ˈiː	ˈaɪ̯	0.715
ɣ	-	0.689
ˈa	ˈa	0.68
ˈo_r	ˈaː	0.667
d_ə	d_ə	0.65
t_ə	s	0.629
v	ʋ	0.621
ˈɔː	ˈa	0.583
ˈo	-	0.564
ə	-	0.554
t	s	0.549
x	x	0.544
ˈoː	ˈuː	0.539
s	s	0.511
r	ɾ	0.503
s	ʃ	0.489
ˈo	ˈɔ	0.436
ˈeː	ˈɔː	0.436
ə	ə	0.413
j	-	0.389
v	b̥	0.379
t_ə	d	0.371
k	ç	0.362
ˈaː	ˈɔː	0.352
d_ə	ə	0.35
r	ɑ	0.344
ˈaː	ˈoː	0.335
ˈo_r	ˈa	0.333
j	ɡ	0.33
k	x	0.328
ˈa	ˈɔː	0.32
ˈaː	ˈeː	0.313
ɣ	j	0.311
x	ç	0.303
ˈe	ˈɛ	0.296
j	j	0.281
ˈi̯aː	-	0.277
ɡ	-	0.267
ˈoː	-	0.264
ˈi̯uː	-	0.251
k	k	0.247
ˈɔː	ˈoː	0.233
ˈeː	ˈiː	0.223
n	-	0.223
t	d̥	0.218
ˈeː	ˈoː	0.206
d	d	0.198
ˈoː	ˈʊ	0.197
f	b̥	0.192
ˈɔː	-	0.183
ˈe	ˈɪ	0.182
ˈe	ˈɛː	0.18
ˈiː	ɑ	0.175
ˈu	-	0.171
x	-	0.153
ˈuː	-	0.135
t	ʦ	0.13
ˈuː	ˈuː	0.118
ˈɛː	-	0.114
ˈi	-	0.114
ˈiː	-	0.109
ˈi	ˈa	0.105
ˈu	ˈɔ	0.103
t	t	0.103
w	-	0.097
r	ɾ_ə	0.089
ˈe	ˈa	0.088
ˈe	ˈeː	0.087
ˈeː	ˈuː	0.069
ˈeː	-	0.066
r	ˈaː	0.064
ˈe	ˈaː	0.063
k	-	0.063
ˈe	ˈɔː	0.058
