Saterland Frisian	East Franconian	probability
ˈœː	ˈeː	1.0
ˈøː	ˈaʊ̯	1.0
ˈuː_ɣ̥	ə	1.0
ˈu	-	1.0
ˈoːu̯_d	ˈɔ	1.0
ˈoː_n	ˈeː	1.0
ˈoː_l	ˈɒ_l	1.0
ˈoː_f	b̥	1.0
ˈiːu̯	ˈeː	1.0
ˈeː_n	ˈaː	1.0
ˈaːu̯	-	1.0
ɣ_ə	ɣ̊	1.0
ɣ_j	ŋ	1.0
ɣ	ɡ̊	1.0
ə_r	ɐ	1.0
ŋ	ŋ	1.0
z_ə	z̥	1.0
z	-	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
n_ə	n_a	1.0
n_d	n	1.0
m_ˈɔː	m	1.0
m	m	1.0
l_d	l_d̥	1.0
l	l	1.0
k_ˈɛː	ˈa	1.0
k_s	ɡ̊_s	1.0
j_ˈʊ	ˈɪ	1.0
j_ˈuː	ˈaɪ̯	1.0
j_ˈoː	ˈiː	1.0
i	eː	1.0
h	h	1.0
f	f	1.0
b	b̥	1.0
d	d̥	0.901
v	v	0.796
ˈiː	ˈɪ	0.776
n	n	0.734
ˈɪ	ˈɪ	0.715
ˈaːi̯	-	0.706
ˈa	ˈɛ	0.696
ˈiː_r	ɐ	0.667
ˈʊ	ˈʊ	0.664
ˈɔ	-	0.658
ˈi	ˈaɪ̯	0.569
ˈaː	ˈaː	0.568
s	s	0.563
l_ə	l_n	0.543
d_ə	d̥_n	0.529
t_ə	z̥_n	0.517
ˈɛ	-	0.511
ɪ	i	0.5
ɪ	-	0.5
ˈɛː	-	0.493
ˈɛ	ˈɛ	0.489
t_ə	z̥	0.483
k	x	0.472
d_ə	d̥	0.471
p	b̥͡v̥	0.47
l_ə	l	0.457
ˈoː	ˈaː	0.456
r	ɐ	0.445
r	r	0.444
s	ʃ	0.437
ˈaː	ˈɒ	0.432
ˈɔː	ˈɒ	0.422
t	ʦ	0.401
ɣ̥	ç	0.4
j	ˈiː	0.397
ˈeː	-	0.392
t	d̥	0.386
x	x	0.378
ˈoːu̯	ˈuː	0.377
ˈuː	ˈaʊ̯	0.37
ə	-	0.37
ˈoː	ˈuː	0.368
j	-	0.357
ˈɛɪ̯	ˈiː	0.351
ˈeː	ˈaː	0.347
ɣ̥	-	0.346
ˈuː	ˈʊ	0.344
ˈɔ	ˈɔ	0.342
ˈɛː	ˈɪ	0.334
ˈiː_r	ˈoː_ɐ	0.333
x	-	0.32
p	f	0.307
ə	a	0.305
ˈa	ˈɒ	0.304
x	ç	0.303
ˈoːu̯	ˈɒ	0.299
ˈaːi̯	ɣ	0.294
k	ŋ	0.269
ˈeː	ˈɛ	0.261
ˈɔː	-	0.259
k	ɡ̊	0.259
ɣ̥	ɡ̊_n	0.254
ˈɛɪ̯	-	0.253
ˈi	ˈiː	0.249
j	j	0.246
ˈɛɪ̯	ˈoː	0.24
ˈiː	ˈaɪ̯	0.224
p	v̥	0.223
n	-	0.22
ˈuː	ˈuː	0.215
t	s	0.214
v	-	0.204
ˈi	-	0.182
ə	n	0.178
ˈoː	ˈoː	0.176
ˈoːu̯	ˈɔ	0.175
ˈʊ	-	0.174
ˈɛː	ˈɒ	0.173
ˈɪ	-	0.169
ˈʊ	ˈɔ	0.162
ˈɛɪ̯	ˈɛ_ɐ	0.156
ˈoːu̯	ˈoː	0.149
ˈɔː	ˈoː	0.145
ˈɔː	ˈʊ	0.134
ˈɪ	ˈiː	0.116
d	-	0.099
ə	ɐ	0.076
ˈuː	ˈaɪ̯	0.071
r	ˈɘ	0.059
r	ɾ_ɐ	0.052
