Insular North Frisian	Insular North Frisian	probability
ˈiː_n	ˈoɐ̯	1.0
ˈiː_#>	#>	1.0
ˈaː	-	1.0
ʃ	s	1.0
ɪ_ç	ɡ̊	1.0
ɪ	-	1.0
ə_f	f_ə	1.0
ə	-	1.0
ɐ_x	ɐ	1.0
z	s	1.0
v_ˈʊ	ʋ	1.0
tʰ	ʦ	1.0
t_#>	ʦ_#>	1.0
s_k	ʃ	1.0
r_ə	ɐ	1.0
pʰ	b̥͡v̥	1.0
p_#>	f_#>	1.0
p	f_a	1.0
nʲ	n_d̥	1.0
n_#>	#>	1.0
m	m	1.0
l_ˈeː	l	1.0
kʰ	kʰ	1.0
h	h	1.0
e	-	1.0
d_ɐ	s_a	1.0
b	b̥	1.0
aɪ̯	ˈai̯_ʦ	1.0
<#_ˈɔː	<#_ˈɑ	1.0
<#_ˈɔa̯	<#_ˈo	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_tʰ	<#_d̥	1.0
<#_n	<#_n	1.0
<#_d	<#_d̥	1.0
r	r	0.917
f	f	0.862
v	ʋ	0.85
ˈuː	ˈo	0.8
ɾ	d̥	0.789
n	n	0.69
ˈaɪ̯	-	0.667
<#_j	<#	0.667
t	d̥	0.649
ˈɔa̯	-	0.625
ˈoː	-	0.625
ˈøː	ˈu	0.6
ə_#>	#>	0.6
ɐ	a	0.6
ŋ	ŋ	0.6
s	s	0.591
ˈɪ	ˈi	0.579
x	x	0.545
ˈɛː	ˈe	0.5
ˈɛː	-	0.5
ˈɔː	ˈɒː	0.5
ˈyː	ˈau̯	0.5
ˈyː	ˈai̯	0.5
l	l	0.462
k	x	0.438
ˈiː	ˈai̯	0.429
ˈɪ	ˈai̯	0.421
s	ʃ	0.409
ˈøː	-	0.4
ə_#>	n_#>	0.4
ŋ	ŋ_ɡ̊	0.4
ˈʊ	ˈu	0.385
l	j	0.385
ˈɔa̯	ˈou̯	0.375
ˈoː	ˈaː	0.375
ˈeː	-	0.364
ˈaɪ̯	ˈeː	0.333
<#_j	<#_j	0.333
ˈʏ	-	0.316
k	ɡ̊	0.312
ˈœ	ˈu	0.308
ˈœ	-	0.308
ˈɔː	ˈɑː	0.3
ç	ɡ̊_a	0.3
ç	ŋ	0.3
t	s	0.297
#>	n_#>	0.282
ˈɔ	ˈuɐ̯	0.273
ˈɔ	ˈu	0.273
ˈɔ	-	0.273
ˈeː	ˈe	0.273
x	-	0.273
ˈʏ	ˈau̯	0.263
ˈɛ	ˈe	0.25
ɐ	ɐ	0.233
ˈʊ	ˈuɐ̯	0.231
ˈʊ	ˈi	0.231
ˈœ	ˈo	0.231
ˈa	ˈɒː	0.231
ˈa	ˈe	0.231
ˈa	-	0.231
#>	d̥_#>	0.231
ˈɛ	-	0.214
ˈiː	ˈiɐ̯	0.214
ˈiː	ˈeː	0.214
ɾ	d̥_n	0.211
#>	a_#>	0.205
ˈɔː	ˈo	0.2
ˈuː	-	0.2
ç	ɡ̊	0.2
ç	x	0.2
ˈɔ	ˈo	0.182
ˈeː	ˈɑ	0.182
ˈeː	ˈoɐ̯	0.182
x	ɡ̊	0.182
ˈɛ	ˈi	0.179
ˈʏ	ˈu	0.158
ˈʏ	ˈai̯	0.158
ˈʊ	-	0.154
ˈœ	ˈuɐ̯	0.154
ˈa	ˈo	0.154
ˈa	ˈa	0.154
v	-	0.15
ˈɛ	ˈeː	0.143
ˈiː	ˈoɐ̯	0.143
n	n_a	0.138
f	-	0.138
k	ç	0.125
k	i	0.125
ˈɛ	ˈu	0.107
ˈɛ	ˈiː	0.107
ˈʏ	ˈaː	0.105
#>	ŋ_#>	0.103
ɐ	-	0.1
r	ɐ	0.083
l	ˈo_j	0.077
l	l_ˈɑ	0.077
#>	ɐ_#>	0.077
n	d̥	0.069
n	a	0.069
ɐ	d̥_a	0.067
t	ʦ	0.054
#>	ˈeː_#>	0.051
#>	ɡ̊_#>	0.051
