Occitan	Piedmontese	probability
b	b	1.0
d	d	1.0
f	f	1.0
i	i	1.0
j	ˈe	1.0
m	m	1.0
p	p	1.0
v	v	1.0
z	-	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ɣ	-	1.0
ɲ	ɲ	1.0
ʎ	j	1.0
ʒ	ʤ	1.0
ʧ	t	1.0
ˈy	ˈy	1.0
a	a	0.901
l	l	0.631
n	n	0.611
w	w	0.051
ˈa	ˈe	0.201
ˈu	ˈy	0.161
ˈɛ	ˈɛ	0.871
e	-	0.062
e	i	0.252
t	-	0.12
u	u	0.922
ʦ	z	0.642
ˈa	ˈa	0.762
ˈe	ˈe	0.172
ˈɔ	ˈu	0.062
ɾ	-	0.243
ˈe	-	0.183
ˈi	ˈi	0.863
ˈɔ	ˈɔ	0.783
β	v	0.913
n	ŋ_t	0.134
ð	d	0.634
ɔ	-	0.124
ˈe	ˈɛ	0.4
ˈu	ˈu	0.74
k	k	0.925
l	j	0.255
r	-	0.085
r	r	0.915
s	-	0.055
e	e	0.686
n	ŋ	0.196
s	z	0.136
ð	t	0.366
ɔ	a	0.876
ˈe	ˈi	0.176
ˈɔ	ˈø	0.156
l	j_l	0.057
l	-	0.057
ɾ	r	0.757
ˈi	-	0.137
β	b	0.087
t	t	0.88
u	ˈu	0.078
ʦ	s	0.358
ˈe	ˈɔ	0.068
a	ˈa	0.099
n	-	0.059
s	s	0.809
w	v	0.39
w	-	0.559
ˈu	ˈɔ	0.099
ˈɛ	ˈe	0.129
