Romanian	Gascon	probability
ˈə	-	1.0
ˈu_p	ˈy	1.0
ˈe_l	t	1.0
ˈau̯	-	1.0
ʧʲ	-	1.0
ʧ_e	ʦ	1.0
ʦʲ	t_s	1.0
ʒ	ʒ	1.0
ɨ_n	n	1.0
ŋ	ŋ	1.0
z_b	b	1.0
z	d	1.0
u_m	ˈɛ	1.0
s_t	s_t	1.0
s_e̯ˈa	s_ˈe	1.0
r_u	e	1.0
r_n	r	1.0
r_e	e	1.0
p_t	j_t	1.0
o	-	1.0
nʲ	n_s	1.0
n_i	nː	1.0
m_n	ɲ	1.0
m_e	m	1.0
k_r	k_ɾ	1.0
j_ˈe	ˈɛ	1.0
j_ˈa	ˈɛ	1.0
j_e	ɔ	1.0
i	e	1.0
f_r	b	1.0
f_e	f	1.0
f	h	1.0
e_d	ˈe_ð	1.0
s	s	0.925
ˈa	ˈa	0.91
ˈɨ	ˈa	0.889
m	m	0.857
d	-	0.826
v	b	0.821
k	k	0.81
ə	ɔ	0.786
p	p	0.758
ʤ	ʒ	0.699
e̯ˈa	ˈe	0.674
n_e	ŋ	0.664
ʧ	z	0.658
ɡ	ɡ	0.657
ˈu	ˈu	0.621
u	u	0.621
ʦ	-	0.606
t	t	0.594
kʲ	ʎ	0.593
w	w	0.582
ˈi	ˈi	0.58
a	a	0.574
b	b	0.534
ʃ	s	0.527
ˈo	ˈɔ	0.496
ˈe	ˈe	0.484
e	-	0.484
b	β	0.466
r	ɾ	0.415
n	n	0.413
kʲ	ˈe_ʎ	0.407
l	l	0.377
ˈe	ˈɛ	0.351
ɡ	ɣ	0.343
ʧ	s	0.342
n_e	n_d	0.336
ˈu	ˈy	0.327
e̯ˈa	-	0.326
ˈi	ˈe	0.324
r	r	0.316
ʤ	-	0.301
ʃ	j	0.295
j	-	0.29
o̯ˈa	ˈɔ	0.277
e	e	0.271
j	ʎ	0.267
u	e	0.261
n	-	0.258
l	t	0.246
a	ɔ	0.229
ʦ	t	0.217
l	w	0.217
w	ˈe_w	0.214
j	ˈɛ	0.21
o̯ˈa	ˈu	0.208
w	-	0.204
a	e	0.197
n	ŋ	0.194
v	b_j	0.179
ʃ	-	0.178
o̯ˈa	w_ˈe	0.178
j	j	0.178
ʦ	ʦ	0.177
t	ð	0.177
d	ʤ	0.174
ˈe	e	0.166
l	-	0.159
ˈo	ˈu	0.141
p	β	0.14
ˈo	u	0.139
n	ɲ	0.135
k	ɣ	0.134
o̯ˈa	w	0.123
o̯ˈa	-	0.123
ə	a	0.12
ˈɨ	-	0.111
m	-	0.109
e	ɔ	0.106
ˈo	ˈy	0.097
r	β	0.097
r	w	0.097
ˈi	-	0.096
ə	e	0.094
o̯ˈa	ˈo	0.091
ˈa	ˈɛ	0.09
t	ʃ	0.088
u	-	0.084
s	-	0.075
t	j_r	0.074
t	-	0.068
r	l	0.067
ˈo	ˈa	0.063
ˈo	w	0.063
k	k_a	0.056
j	w_t	0.055
ˈu	ˈe	0.053
p	mː	0.053
e	i	0.053
