Saterland Frisian	Saterland Frisian	probability
ˈɪ	ˈɪ	1.0
ˈɛ_t	t	1.0
ˈyː	ˈʏ	1.0
ˈu	-	1.0
ˈiː_n	ˈɪ_n	1.0
ˈeːu̯	ˈeː	1.0
ˈaːu̯	-	1.0
ˈaːi̯	ɣ̊	1.0
ɣ_ə	ŋ	1.0
ɡ	ɣ	1.0
ə_r	ɐ	1.0
ə_n	n	1.0
ŋ	ŋ	1.0
z	z	1.0
w	-	1.0
t_ə	t_n	1.0
s_k	ʃ	1.0
s_#>	z̥_#>	1.0
p_ə	b_m	1.0
p	p	1.0
n_ə	n	1.0
n	n	1.0
m	m	1.0
l_ə	l_ə	1.0
k_ə	k	1.0
j_ˈʊ	ˈɪ	1.0
j_ˈuː	ˈyː	1.0
j_ˈoː	ˈɛɪ̯	1.0
j_ə	n	1.0
i	ɒː	1.0
h	h	1.0
f	f	1.0
d_ə	n	1.0
b	b	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
<#	<#_d	1.0
l	l	0.951
k	k	0.923
t	t	0.909
#>	ə_#>	0.846
ˈi	ˈiː	0.818
v	v	0.806
d	d̥	0.788
ɣ	ɣ	0.75
<#_t	<#_d	0.75
ˈaː	ˈa	0.714
ˈʊ	ˈʊ	0.583
j	j	0.571
ə	ə	0.565
ˈoː	ˈeo̯	0.522
ˈɛː	ˈʏ	0.5
ɪ	ɪ	0.5
ɪ	-	0.5
<#_ˈuː	<#_ˈuː	0.5
<#_ˈuː	<#	0.5
r	ɐ	0.477
ˈeː	ˈɛɪ̯	0.467
r	r	0.455
ˈuː	ˈuː	0.444
s	z	0.432
s	s	0.432
ˈa	ˈa	0.429
j	-	0.429
x	x	0.412
ˈɛɪ̯	ˈɔʏ̯	0.375
ˈoːu̯	ˈaʊ̯	0.368
x	ç	0.353
ˈɛː	ˈa	0.333
ˈɛ	ˈʏ	0.333
ˈɛ	ˈɛ	0.333
ˈɛ	-	0.333
ˈɔ	ˈɔ	0.333
ˈɔ	ˈa	0.333
ˈɔ	-	0.333
ə	n	0.326
ˈɔː	ˈɒː	0.316
ˈaː	ˈɛɪ̯	0.286
ˈa	ˈɛ	0.286
ˈa	-	0.286
ˈiː	ˈiː	0.267
ˈeː	-	0.267
ˈʊ	-	0.25
ɣ	j	0.25
<#_t	<#	0.25
ˈɔː	ˈa	0.211
ˈɔː	-	0.211
ˈoːu̯	ˈa	0.211
ˈoːu̯	-	0.211
ˈiː	ˈɪ	0.2
ˈɛɪ̯	ˈɛɪ̯	0.188
ˈɛɪ̯	ˈɒː	0.188
ˈi	ˈɛː	0.182
ˈoː	-	0.174
ˈʊ	ˈɛ	0.167
ˈɛː	ˈɛə̯	0.167
ˈuː	ˈoː	0.167
ˈuː	-	0.167
ˈɔː	ˈɔ	0.158
#>	f_#>	0.154
d	-	0.152
ˈiː	ˈɛɪ̯	0.133
ˈiː	ˈɒː	0.133
ˈiː	ˈeː	0.133
ˈiː	ˈa	0.133
ˈeː	ˈøː	0.133
ˈeː	ˈeː	0.133
ˈɛɪ̯	ˈiː	0.125
ˈɛɪ̯	-	0.125
x	ɣ_ə	0.118
x	f	0.118
ˈuː	ˈʊ	0.111
ˈuː	ˈɔ	0.111
ə	-	0.109
ˈɔː	ˈɛ	0.105
ˈoːu̯	ˈɔ	0.105
ˈoːu̯	ˈɒː	0.105
v	w	0.097
v	-	0.097
t	-	0.091
ˈoː	ˈɔ	0.087
ˈoː	ˈɒː	0.087
ˈoː	ˈoː	0.087
s	k	0.081
k	-	0.077
r	d_ɐ	0.068
d	d	0.061
s	s_w	0.054
