Québécois French	Eastern Lombard	probability
ʦ	-	1.0
ʣ	d	1.0
ʏ	-	1.0
ʊ	ˈo	1.0
ʁ_s	r_s	1.0
ɲ	ɲ	1.0
ɪ_n	ˈi	1.0
ɥ	-	1.0
ɡ_l	ʤ	1.0
ɡ	ɡ	1.0
ɛɪ̯	ˈɛ_s	1.0
ɛ_t	ˈɛ_t	1.0
ɑ	-	1.0
z	z	1.0
y_l	y	1.0
p	p	1.0
m	m	1.0
k_ʁ	k_r	1.0
k_l	ʧ	1.0
j_ɛ	ˈe	1.0
i_ʁ	ˈi	1.0
f_ẽɪ̯̃	f_ˈi	1.0
f	f	1.0
d	d	1.0
b	b	1.0
aœ̯	ˈu	1.0
a_ʁ	a_r	1.0
a_s	a_s	1.0
s	s	0.951
ʁ	r	0.926
k	k	0.762
e	ˈa	0.705
ʃ	k	0.69
œ	e	0.65
ʒ	z	0.59
n	n_a	0.578
øʏ̯	k	0.577
a	ˈa	0.575
y	ˈy	0.564
l	l	0.528
ɒ̃ʊ̯̃	ˈo_n	0.508
ɑɔ̯	ˈo	0.5
ɒ̃ʊ̯̃	o_n	0.492
æɛ̯	ˈa	0.479
t	t	0.469
v	ʋ	0.466
ẽɪ̯̃	ˈa	0.466
ɪ	ˈi	0.461
oʊ̯	ˈɛ_l	0.443
j	j	0.439
y	-	0.436
øʏ̯	ˈø_k	0.423
ɛ	e	0.399
w_ɛ	ˈi	0.38
ɔ	ˈɔ	0.378
v	-	0.349
i	ˈi	0.348
oʊ̯	-	0.343
a	a	0.337
ɪ	ˈe	0.335
ɛ	-	0.322
ɔ	o	0.313
ʃ	k_a	0.31
w_ɛ	ˈɛ	0.31
w_ɛ	ˈe	0.31
ɔ	ˈu	0.308
ɑɔ̯	ˈɔ	0.303
e	e	0.295
t	s	0.28
w	-	0.273
l	j	0.273
n	n	0.268
ʒ	ʤ	0.261
t	t_e	0.251
æɛ̯	ˈɛ	0.24
w	ˈɛ	0.228
ã	ˈa_ŋ	0.228
i	ˈɛ	0.218
i	ˈe	0.217
i	i	0.217
oʊ̯	ˈa_l	0.215
u	ˈu	0.208
ɪ	j_ˈø	0.204
ɛ	ˈɛ	0.202
u	ˈø	0.202
ɑɔ̯	o	0.197
œ	-	0.191
v	e	0.186
ã	ˈe	0.185
j	ˈe	0.184
ẽɪ̯̃	-	0.165
l	l_a	0.164
k	k_w	0.162
œ	ˈø	0.159
n	ɲ	0.154
u	ˈy	0.153
ʒ	-	0.149
u	ˈø_ʧ	0.144
w	ˈu_s	0.136
w	ˈi	0.136
w	ˈe	0.136
ẽɪ̯̃	ɲ	0.125
ẽɪ̯̃	n_t	0.124
ã	ŋ	0.121
ã	n	0.121
ã	a_n	0.121
ẽɪ̯̃	ˈi	0.12
j	-	0.115
ã	ˈa_n	0.112
ã	ˈe_t	0.111
æɛ̯	-	0.106
u	-	0.104
u	l	0.1
j	ˈø_ʧ	0.094
j	a	0.091
w	ˈi_d	0.09
u	ˈu_l	0.089
a	w_ˈa	0.088
j	l	0.078
ɛ	a	0.077
k	k_ˈɔ	0.076
æɛ̯	a_d	0.066
æɛ̯	ˈa_d	0.061
