Pennsylvania German	Eastphalian	probability
b	b	1.0
eː	ɒː	1.0
kʰ	k	1.0
l	l	1.0
p	p	1.0
pʰ	p	1.0
t	t	1.0
ŋ	ŋ	1.0
ʦ	t	1.0
ˈɔɪ̯	ˈɛɪ̯	1.0
b̥	v	0.161
d	t	0.091
h	h	0.981
j	ɡ	0.161
ç	ç	0.461
ɑ	ɐ	0.871
ɣ	j	0.791
ʃ	ʃ	0.51
ˈaː	ˈoː	0.241
ˈaː	ˈa	0.411
ˈiː	ˈɪ	0.061
ˈoː	ˈeo̯	0.501
ˈɔ	ˈʊ	0.321
ˈɛ	ˈɛ	0.301
ˈʊ	ˈoː	0.051
d	-	0.12
k	k	0.642
n	n	0.952
ɪ	ə	0.12
ˈa	ˈoː	0.052
ˈaɪ̯	ˈɪ	0.172
ˈiː	ˈɔʏ̯	0.222
ˈiː	ˈɛɪ̯	0.642
ˈuː	ˈʊ	0.062
ˈʊ	ˈʏ	0.12
d̥	-	0.113
d̥	d	0.533
f	p	0.203
ɡ̊	ɣ	0.213
ˈa	ˈɒː	0.073
ˈa	ˈa	0.623
ˈoː	ˈɒː	0.443
ˈuː	ˈuː	0.103
ˈɔ	ˈɔ	0.453
ˈɛ	ˈeː	0.153
d̥	t	0.354
s	z	0.414
x	k	0.424
ə	-	0.104
ɡ	j	0.334
ɾ	-	0.14
ɾ	r	0.784
ʋ	w	0.214
ˈaɪ̯	ˈeː	0.074
ˈaɪ̯	ˈyː	0.084
ˈeː	ˈɛ	0.094
ˈeː	ˈɔʏ̯	0.104
ˈeː	ˈɛɪ̯	0.604
ˈɔː	ˈøː	0.104
ˈɛ	ˈɛː	0.114
ˈɛː	ˈeː	0.114
ˈɪ	ˈiː	0.054
ˈɪ	ˈʏ	0.174
ˈʊ	ˈœ	0.084
ˈʊ	ˈɔ	0.114
ˈʊ	ˈʊ	0.514
j	-	0.125
j	ŋ	0.125
k	ɡ	0.135
v	m	0.075
v	b	0.185
ç	t	0.065
ç	k	0.475
ɡ	ɣ	0.575
ɪ	-	0.085
ˈaʊ̯	ˈeo̯	0.135
ˈaʊ̯	ˈuː	0.865
ˈiː	ˈøː	0.075
ˈɔː	ˈeo̯	0.205
ˈɔː	ˈɒː	0.245
f	f	0.716
k	ɣ	0.156
x	x	0.576
ɡ̊	x	0.6
ɾ	ɐ	0.076
ʋ	v	0.786
ˈa	ˈɔ	0.066
ˈoː	ˈoː	0.056
ˈuː	ˈɔʏ̯	0.146
ˈɔ	ˈuː	0.096
ˈɔː	ˈuː	0.056
ˈɔː	ˈɛː	0.056
ˈɛ	ˈa	0.056
ˈɛ	ˈɪ	0.106
ˈɛː	ˈɛɪ̯	0.056
ˈɛː	ˈa	0.256
ˈʊ	ˈaʊ̯	0.066
m	m	0.97
ɑ	ə	0.087
ə	m	0.07
ə	ə	0.087
ɡ	k	0.057
ɡ̊	ç	0.187
ɪ	ɐ	0.307
ɪ	ɪ	0.487
ˈaː	ˈɔ	0.257
ˈɔː	ˈaː	0.057
ˈɛ	ˈœ	0.157
ˈɛː	ˈɛː	0.297
ˈɪ	ˈɪ	0.67
j	j	0.588
k	-	0.068
s	t	0.418
ˈa	ˈɪ	0.098
ˈaɪ̯	ˈʏ	0.128
ˈɔː	ˈa	0.098
ˈɛː	ˈɒː	0.188
b̥	f	0.839
d	d	0.79
s	s	0.159
v	v	0.739
ə	n	0.739
ɣ	ɣ	0.209
ʃ	s	0.49
ˈaɪ̯	ˈiː	0.479
ˈuː	ˈaʊ̯	0.689
ˈɔ	ˈeː	0.089
ˈɛː	ˈøː	0.089
ˈɪ	ˈɛ	0.069
