Bavarian	Old English	probability
a	e	0.357
a	ɑ	0.246
a	o	0.161
a	-	0.13
a	ɡ_e	0.074
b̥	b	0.653
b̥	v	0.152
b̥	f	0.133
d	d	1.0
d̥	d	0.589
d̥	θ	0.295
d̥	ð	0.062
eɐ̯	iːy̯	1.0
f	f	0.71
f	p	0.172
h	h	1.0
i	i	0.817
i	ɫ	0.183
j	ɫ	0.604
j	l	0.18
j	j	0.103
j	u	0.051
k	k	0.482
k	ʤ	0.259
k	ʧː	0.259
kʰ	ʧ	0.559
kʰ	k	0.422
l	l	0.9
m	m	0.682
m	-	0.151
m	v	0.104
n	n	0.833
n	-	0.123
p	p	0.5
p	v	0.5
p͡f	p	0.637
p͡f	pː	0.3
p͡f	v	0.062
r	r	0.867
r	z	0.063
s	s	0.646
s	t	0.303
t	d	0.563
t	t	0.341
t	θ	0.096
x	k	0.316
x	x	0.31
x	ç	0.192
x	ʧ	0.182
ç	ʧ	0.781
ç	k	0.219
ŋ	ŋ	0.576
ŋ	j	0.136
ŋ	ɣ	0.096
ŋ	-	0.09
ŋ	i	0.076
ɐ	r	0.857
ɐ	rː	0.088
ɐ	i	0.055
ə	ɑ	0.818
ə	e	0.182
ɡ̊	ɡ	0.338
ɡ̊	ɣ	0.252
ɡ̊	j	0.228
ɡ̊	ʤ	0.134
ɪ	iː	1.0
ʃ	ʃ	0.563
ʃ	s	0.394
ʋ	w	0.87
ʋ	ʍ	0.13
ʦ	t	0.929
ʦ	tː	0.071
ˈa	ˈæɑ̯	0.389
ˈa	ˈɑ	0.22
ˈa	ˈeː	0.169
ˈa	ˈoː	0.169
ˈai̯	ˈiː	0.489
ˈai̯	ˈeːo̯	0.24
ˈai̯	ˈi	0.11
ˈai̯	ˈiːy̯	0.05
ˈau̯	ˈuː	0.778
ˈau̯	ˈu	0.07
ˈau̯	ˈæːɑ̯	0.062
ˈau̯	ˈyː	0.06
ˈaː	ˈæːɑ̯	0.441
ˈaː	ˈeːo̯	0.186
ˈaː	ˈɑ	0.186
ˈaː	ˈeː	0.075
ˈaː	ˈæ	0.075
ˈe	ˈeo̯	0.334
ˈe	ˈe	0.189
ˈe	ˈɑː	0.148
ˈe	ˈæːɑ̯	0.088
ˈe	ˈiːy̯	0.065
ˈe	ˈeːo̯	0.06
ˈe	ˈi	0.058
ˈe	ˈɛ	0.058
ˈeɐ̯	ˈeː	0.34
ˈeɐ̯	ˈeːo̯	0.291
ˈeɐ̯	ˈoː	0.291
ˈeɐ̯	ˈiːy̯	0.078
ˈeː	ˈe	0.372
ˈeː	ˈiy̯	0.252
ˈeː	ˈiːy̯	0.153
ˈeː	ˈɑː	0.153
ˈi	ˈi	0.661
ˈi	ˈeː	0.107
ˈi	ˈy	0.077
ˈi	ˈiː	0.057
ˈiɐ̯	ˈeːo̯	0.695
ˈiɐ̯	ˈeː	0.305
ˈiː	ˈeːo̯	0.733
ˈiː	ˈeo̯	0.146
ˈiː	ˈi	0.121
ˈo	ˈæɑ̯	0.349
ˈo	ˈu	0.246
ˈo	ˈo	0.169
ˈo	ˈe	0.128
ˈo	ˈæ	0.061
ˈou̯	ˈæːɑ̯	1.0
ˈoɐ̯	ˈɑː	0.366
ˈoɐ̯	ˈo	0.248
ˈoɐ̯	ˈæːɑ̯	0.152
ˈoɐ̯	ˈæː	0.131
ˈoɐ̯	ˈæɑ̯	0.084
ˈoː	ˈɑ	0.394
ˈoː	ˈæ	0.236
ˈoː	ˈu	0.113
ˈoː	ˈæːɑ̯	0.113
ˈoː	ˈoː	0.089
ˈoː	ˈo	0.055
ˈu	ˈu	0.488
ˈu	ˈy	0.166
ˈu	ˈeːo̯	0.092
ˈu	ˈeː	0.087
ˈu	ˈeo̯	0.087
ˈuɐ̯	ˈoː	0.733
ˈuɐ̯	ˈeː	0.215
ˈuɐ̯	ˈuː	0.052
ˈy	ˈo	1.0
ˈɑː	ˈiːy̯	1.0
ˈɒ	ˈɛ	0.385
ˈɒ	ˈæ	0.242
ˈɒ	ˈæɑ̯	0.236
ˈɒ	ˈɑ	0.137
ˈɒː	ˈæ	0.269
ˈɒː	ˈæː	0.269
ˈɒː	ˈæːɑ̯	0.242
ˈɒː	ˈɑ	0.22
ˈɔ	ˈi	0.29
ˈɔ	ˈo	0.253
ˈɔ	ˈɑ	0.136
ˈɔ	ˈoː	0.129
ˈɔ	ˈæː	0.109
ˈɔ	ˈæːɑ̯	0.084
ˈɛ	ˈe	0.541
ˈɛ	ˈeo̯	0.27
ˈɛ	ˈu	0.188
ˈɛː	ˈɑː	0.679
ˈɛː	ˈæː	0.321
ˈʏ	ˈyː	0.679
ˈʏ	ˈy	0.321
