Palatine German	Palatine German	probability
β_ˈɔ	v	1.0
β_ə	v_n	1.0
ˈɛ_ɐ	ˈɪɛ̯	1.0
ˈɛ_l	l	1.0
ˈɔ_ɐ	ˈuːə̯	1.0
ˈɔ_l	ˈʊ_l	1.0
ˈɑ̃ː	-	1.0
ˈuː_#>	#>	1.0
ˈõː	ˈuːə̯_n	1.0
ˈo	ˈɔː	1.0
ˈĩː	ˈøː_n	1.0
ˈi	ˈaɪ̯	1.0
ˈẽː	-	1.0
ˈaɪ̯_#>	ˈiː_#>	1.0
ˈau̯̯	ˈuː	1.0
ʣ̥	t	1.0
ɪ	ɪ	1.0
ɡ̊_ə	k_n	1.0
ɡ̊_#>	#>	1.0
ə_#>	#>	1.0
ə	n	1.0
ɑ	-	1.0
ŋ	ŋ	1.0
x_d̥	x_t	1.0
r_ə	d_n	1.0
r_ɐ	ɐ	1.0
pʰ	-	1.0
n_ʃ	n_ʃ	1.0
n_ə	n_n	1.0
m	m	1.0
l_ˈaɪ̯	l_ˈɪ	1.0
l	l	1.0
kʰ	k	1.0
h	h	1.0
f_ə	p_n	1.0
f_#>	p_#>	1.0
eː	aɪ̯	1.0
<#_ˈu	<#_ˈʊ	1.0
<#_n	<#_n	1.0
f	f	0.92
n	n	0.912
ɐ	ɐ	0.868
b̥	b	0.826
ʃ	ʃ	0.781
β	v	0.76
r	r	0.758
ʃ_#>	k_#>	0.714
#>	n_#>	0.692
ˈɪ	ˈɪ	0.69
ˈɑ	ˈa	0.677
ˈɔ	-	0.667
ˈuː	ˈoː	0.667
ɡ̊	x	0.65
ˈau̯	ˈuː	0.625
ʃ_d̥	s_t	0.6
ˈu	ˈʊ	0.571
ˈoː	ˈɔː	0.529
ˈiː	ˈaɪ̯	0.529
ˈaɪ̯	ˈiː	0.529
ˈɛː	ˈeː	0.5
j	j	0.5
j	-	0.5
b̥_#>	ʋ_#>	0.5
b̥_#>	v_#>	0.5
d̥	d̥	0.453
ˈɛ	ˈɛ	0.444
s	s	0.432
d̥	d	0.422
ʃ_d̥	ç	0.4
ˈau̯	ˈʊ	0.375
ˈoː	ˈaʊ̯	0.353
ˈɛː	-	0.333
ˈɔ	ˈuːə̯	0.333
ˈɑː	ˈaʊ̯	0.333
ˈuː	-	0.333
ˈeː	ˈeː	0.333
ˈeː	ˈaɪ̯	0.333
ˈeː	-	0.333
x	k	0.333
s	t	0.318
#>	k_#>	0.308
ˈu	-	0.286
ʃ_#>	#>	0.286
ˈɛ	ˈɪɛ̯	0.278
β	ʋ	0.24
ˈɛ	-	0.222
ˈɑː	ˈa	0.222
ˈɑː	-	0.222
x	ɡ	0.222
x	x	0.222
x	k_ə	0.222
ˈiː	ˈøː	0.176
ˈiː	-	0.176
ˈaɪ̯	ˈyː	0.176
ˈaɪ̯	-	0.176
ˈɛː	ˈɪɛ̯	0.167
ˈɑː	ˈaː	0.167
ʃ	ç	0.156
ɡ̊	k	0.15
ˈu	ˈoː	0.143
ˈɪ	ˈʏ	0.138
ɐ	-	0.132
b̥	p	0.13
d̥	t	0.125
r	d	0.121
ˈoː	-	0.118
ˈiː	ˈiː	0.118
ˈaɪ̯	ˈɪ	0.118
s	z̥	0.114
ˈɪ	-	0.103
ɡ̊	ç	0.1
ɡ̊	-	0.1
ˈɑ	ˈɔ	0.097
ˈɑ	ˈaː	0.097
s	z	0.091
n	-	0.088
f	-	0.08
ˈɪ	ˈɪə̯	0.069
ˈɑ	ˈɛ	0.065
ˈɑ	-	0.065
ʃ	k	0.062
r	r_ˈaɪ̯	0.061
r	-	0.061
ˈɛ	ˈyə̯	0.056
ˈɑː	ˈɒː	0.056
