Faroese	Old English	probability
a	ɑ	0.524
a	e	0.239
a	-	0.098
a	d_ɑ	0.071
b̥	b	1.0
d̥	d	0.991
f	f	0.903
f	v	0.059
h	h	1.0
j	-	0.352
j	ˈeo̯	0.252
j	dː	0.11
j	ɣ	0.11
j	ʤː	0.067
j	ˈe	0.061
k	k	0.422
k	ʧ	0.329
k	-	0.171
k	ʃː	0.078
kʰ	k	0.584
kʰ	ʧ	0.212
kʰ	ʍ	0.204
l	l	0.644
l	ɫ	0.19
l	l̥	0.064
l	o_l	0.06
l̥	ɫ	0.62
l̥	l	0.38
m	m	0.795
m	mː	0.124
n	n	0.9
n	-	0.1
nː	n	0.322
nː	ð	0.252
nː	θ	0.24
nː	nː	0.186
n̥	n	0.761
n̥	r	0.239
p	p	1.0
r	r	0.515
r	-	0.485
s	s	0.847
s	z	0.06
sː	s	1.0
t	t	0.539
t	r	0.167
t	-	0.132
t	tː	0.105
t	d	0.057
tʰ	θ	0.548
tʰ	t	0.298
tʰ	b	0.073
tʰ	j	0.052
tː	v	1.0
v	w	0.516
v	v	0.234
v	f	0.086
w	-	0.402
w	ð	0.266
w	j	0.172
w	ɑ	0.109
ŋ	ŋ	0.656
ŋ	n	0.275
ŋ	-	0.069
ɑ	ɑ	1.0
ə	a	1.0
ɛ	i	1.0
ɡ̊	ɡ	0.459
ɡ̊	-	0.268
ɡ̊	j	0.125
ɡ̊	ɣ	0.117
ɡ̊ː	ʤ	0.67
ɡ̊ː	j	0.33
ɪ	e	0.414
ɪ	o	0.334
ɪ	ɑ	0.238
ɲ	ŋ	1.0
ɹ	-	0.501
ɹ	r	0.476
ɹː	j	0.679
ɹː	rː	0.321
ʃ	ʃ	0.633
ʃ	s	0.22
ʃ	ʃː	0.115
ʈ	t	1.0
ʊ	-	0.741
ʊ	e	0.185
ʊ̯ˈiː	ˈiː	1.0
ʎ	ɫ	1.0
ʤ̊	d	0.341
ʤ̊	ɣ	0.295
ʤ̊	j	0.217
ʤ̊	ɡ	0.147
ʤ̊ː	ʤ	0.543
ʤ̊ː	n	0.406
ʤ̊ː	w	0.051
ʧ	ʧ	0.654
ʧ	j	0.346
ʧʰ	θ	0.591
ʧʰ	ʧ	0.409
ʧː	ɣ	1.0
ʰk	k	1.0
ʰkː	ŋ_k	0.879
ʰkː	kː	0.121
ʰp	p	0.588
ʰp	pː	0.412
ʰpː	pː	1.0
ʰt	t	1.0
ʰtː	t	0.465
ʰtː	x	0.322
ʰtː	ç	0.213
ʰʧ	k	1.0
ʰʧː	ʧː	1.0
ˈa	ˈæɑ̯	0.385
ˈa	ˈɑ	0.347
ˈa	ˈeːo̯	0.109
ˈa	ˈæ	0.065
ˈa	-	0.055
ˈai̯	ˈɑː	1.0
ˈaːi̯	ˈɑː	1.0
ˈeə̯	ˈe	1.0
ˈeː	ˈe	0.339
ˈeː	ˈeː	0.261
ˈeː	ˈæ	0.256
ˈeː	ˈiy̯	0.104
ˈiː	ˈi	0.677
ˈiː	ˈo	0.186
ˈiː	ˈe	0.137
ˈoː	ˈo	0.609
ˈoː	ˈu	0.229
ˈoː	ˈe	0.114
ˈuː	ˈeːo̯	0.363
ˈuː	ˈeo̯	0.214
ˈuː	ˈo	0.214
ˈuː	ˈu	0.21
ˈøː	ˈeː	0.479
ˈøː	ˈe	0.293
ˈøː	ˈo	0.092
ˈøː	ˈeo̯	0.087
ˈœ	-	0.31
ˈœ	ˈeo̯	0.17
ˈœ	rː	0.116
ˈœ	ˈeːo̯	0.078
ˈœ	ˈiy̯	0.078
ˈœ	ˈæːɑ̯	0.078
ˈœ	ˈo	0.061
ˈɔ	ˈy	0.229
ˈɔ	ˈo	0.198
ˈɔ	ˈæɑ̯	0.113
ˈɔ	ˈoː	0.097
ˈɔ	ˈɑ	0.093
ˈɔ	-	0.077
ˈɔ	ˈi	0.059
ˈɔːi̯	ˈiːy̯	0.798
ˈɔːi̯	ˈæːɑ̯	0.176
ˈɔːu̯	ˈeːo̯	0.512
ˈɔːu̯	ˈoː	0.488
ˈɔ̯aː	ˈæːɑ̯	0.414
ˈɔ̯aː	ˈoː	0.326
ˈɔ̯aː	ˈæː	0.169
ˈɔ̯aː	ˈɑː	0.09
ˈɛ	ˈe	0.244
ˈɛ	ˈɑ	0.172
ˈɛ	ˈɑː	0.172
ˈɛ	ˈæː	0.133
ˈɛ	ˈi	0.095
ˈɛ	ˈɛ	0.064
ˈɛ	ˈeːo̯	0.063
ˈɛːa̯	ˈæ	0.347
ˈɛːa̯	ˈɑ	0.209
ˈɛːa̯	ˈeː	0.159
ˈɛːa̯	-	0.086
ˈɛːa̯	ˈi	0.067
ˈɛːi̯	ˈæːɑ̯	0.884
ˈɛːi̯	ˈɑː	0.116
ˈɪ	ˈi	0.631
ˈɪ	ˈiː	0.086
ˈɪ	ˈy	0.078
ˈɪ	ˈuː	0.061
ˈʉːu̯	ˈuː	0.61
ˈʉːu̯	ˈeːo̯	0.333
ˈʉːu̯	ˈyː	0.057
ˈʊ	ˈu	0.617
ˈʊ	ˈuː	0.107
ˈʊ	w_ˈu	0.076
ˈʊ	ˈy	0.061
ˈʊ̯iː	ˈiː	0.558
ˈʊ̯iː	ˈyː	0.128
ˈʊ̯iː	ˈeːo̯	0.114
ˈʊ̯iː	ˈiːy̯	0.102
ˈʊ̯iː	ˈi	0.07
ˈʏ	ˈi	0.41
ˈʏ	ˈeːo̯	0.236
ˈʏ	ˈuː	0.236
ˈʏ	ˈu	0.118
