Old Frisian	Old English	probability
θ	θ	1.0
ˈu	ˈu	1.0
ˈoː	ˈoː	1.0
ˈi̯aː	ˈeːo̯	1.0
ˈa_x	ˈi_ç	1.0
ʦ	ʧ	1.0
ʣ	ʤː	1.0
ɡː	ʤ	1.0
ɡ	ɡ	1.0
ə_n	n	1.0
ŋ	ŋ	1.0
ð	ð	1.0
z	z	1.0
w	w	1.0
v	v	1.0
tː	tː	1.0
t	t	1.0
s_k	ʃ	1.0
s	s	1.0
r_t	r_t	1.0
r_n	r_n	1.0
pː	pː	1.0
p	p	1.0
nː	nː	1.0
mː	mː	1.0
m	m	1.0
lː	ɫː	1.0
l_ə	ɫ	1.0
i	i	1.0
h	h	1.0
f	f	1.0
dː	dː	1.0
d	d	1.0
bː	bː	1.0
b	b	1.0
r	r	0.985
n	n	0.959
ˈuː	ˈuː	0.888
ˈi	ˈi	0.874
ɣ	ɣ	0.82
ˈɛː	ˈɑː	0.816
j	j	0.752
r_ə	r_e	0.74
ˈaː	ˈæːɑ̯	0.733
x	x	0.724
ˈiː	ˈiː	0.723
k	k	0.72
ˈo	ˈo	0.656
iː	iːy̯	0.648
ɣ̥	j	0.639
l	l	0.607
kː	ʧː	0.5
kː	kː	0.5
ˈi̯uː	-	0.447
ˈa	ˈæɑ̯	0.446
ˈɔː	ˈɑ	0.442
ˈɔː	ˈo	0.411
ə	e	0.387
l	ɫ	0.367
ˈi̯uː	ˈeːo̯	0.365
ɣ̥	ɣ̊	0.361
iː	iː	0.352
ˈe	ˈe	0.33
ˈa	ˈɑ	0.311
ə	ɑ_n	0.297
ˈeː	ˈeː	0.288
k	ʧ	0.28
x	ç	0.276
r_ə	r	0.26
ˈeː	ˈæː	0.234
ˈeː	ˈæɑ̯	0.21
ˈe	ˈæ	0.196
ˈo	-	0.194
ˈi̯uː	ˈi	0.188
ˈɛː	ˈiːy̯	0.184
ˈaː	ˈɑː	0.182
ɣ	-	0.18
ˈe	ˈeo̯	0.178
ˈiː	ˈeː	0.164
ə	o	0.158
ˈo	ˈu	0.149
ˈɔː	ˈoː	0.147
ˈe	ˈy	0.138
ˈa	-	0.137
j	i	0.123
ˈiː	ˈiːy̯	0.113
ˈuː	ˈyː	0.112
ˈeː	-	0.111
ˈeː	ˈeo̯	0.108
ˈa	ˈæ	0.107
ˈe	-	0.105
ˈaː	ˈæː	0.085
ˈi	-	0.078
ə	ɑ	0.078
ˈe	ˈiy̯	0.052
j	ˈi	0.052
j	ɑ	0.052
