Eastern Lombard	Campidanese	probability
u	o	1.0
w	w	1.0
ŋ	ŋ	1.0
ʋ	β	1.0
ˈy	ˈu	1.0
ˈɔ	ˈo	1.0
e	a	0.111
e	u	0.131
l	ɖː_u	0.11
m	m	0.841
n	n	0.961
s	z_u	0.051
s	i_s	0.11
t	t	0.551
z	ʤ	0.11
ˈa	ˈa_r	0.141
ˈe	ˈe	0.581
ˈi	ˈi_n	0.211
ˈi	ˈi	0.631
ˈo	ˈo	0.481
e	-	0.082
l	l_u	0.162
l	l	0.522
z	b	0.352
ˈø	ˈu	0.182
b	-	0.083
d	-	0.163
d	d	0.443
o	u	0.213
p	p	0.983
ɲ	nː	0.093
ʤ	ʤ	0.413
ˈa	ˈa_i	0.053
ˈe	ˈe_n	0.113
ˈu	ˈo_n	0.103
ˈu	ˈo	0.73
ˈø	ˈo	0.713
a	a	0.794
d	ð	0.394
f	f	0.894
k	k	0.864
l	ɖː	0.054
s	-	0.084
s	ʧ	0.134
t	ð_u	0.054
t	ð	0.194
z	ʒ	0.144
ʧ	ʧ	0.334
ˈɛ	ˈi	0.324
ˈɛ	ˈe	0.624
e	e	0.495
f	β_u	0.065
j	r	0.715
s	ʒ_i	0.085
ɡ	ɣ	0.275
ɡ	ɡ	0.55
ˈø	ˈi	0.105
i	i	0.96
k	ɣ_u	0.066
s	s	0.336
ɡ	k	0.106
ˈe	ˈi	0.306
b	b	0.917
l	-	0.097
r	r	0.607
s	ʃː	0.127
t	t_u	0.097
ɲ	ɲː	0.527
ʤ	-	0.587
ʧ	j_u	0.527
ˈa	ˈa	0.737
ˈu	ˈu	0.167
e	i	0.18
j	i	0.08
r	r_i	0.058
r	-	0.098
r	r_u	0.178
ɡ	-	0.068
ʧ	t_i	0.138
ˈo	ˈa	0.078
ˈo	ˈu	0.428
j	-	0.19
m	m_i	0.159
o	o	0.739
r	rː	0.059
z	-	0.359
ɲ	n_ʤ	0.379
