ID	Language_ID	Glottocode	ISO 639-3	Parameter_ID	Value	Form	Segments	Source_Form	Cognate_ID	Loan	Comment	Source
Proto-Balto-Slavic	Proto-Balto-Slavic			ONE_NUM	aiˀnas	ai̯ˀnas	ai̯ˀ n a s		ONE_NUM_1			
Lithuanian	Lithuanian			ONE_NUM	víenas	vʲîə̯nɐs	vʲ îə̯ n ɐ s		ONE_NUM_1			
Latvian	Latvian			ONE_NUM	viens	vˈiɛ̯ns	v ˈiɛ̯ n s		ONE_NUM_1			
Proto-Slavic	Proto-Slavic			ONE_NUM	edìnъ	edǐnŭ	e d ǐ n ŭ		ONE_NUM_1			
Old Church Slavonic	Old Church Slavonic			ONE_NUM	единъ	jɛdˈinʊ	j ɛ d ˈi n ʊ		ONE_NUM_1			
Bulgarian	Bulgarian			ONE_NUM	един	ɛdˈin	ɛ d ˈi n		ONE_NUM_1			
Macedonian	Macedonian			ONE_NUM	еден	ˈɛdɛn	ˈɛ d ɛ n		ONE_NUM_1			
Štokavian	Štokavian			ONE_NUM	jèdan	jědan	j ě d a n		ONE_NUM_1			
Čakavian	Čakavian			ONE_NUM	jedãn	jedǎːn	j e d ǎː n		ONE_NUM_1			
Slovenian	Slovenian			ONE_NUM	édən	ɛ̀ːdən	ɛ̀ː d ə n		ONE_NUM_1			
Slovak	Slovak			ONE_NUM	jeden	jˈɛdɛn	j ˈɛ d ɛ n		ONE_NUM_1			
Czech	Czech			ONE_NUM	jeden	jˈɛdɛn	j ˈɛ d ɛ n		ONE_NUM_1			
Upper Sorbian	Upper Sorbian			ONE_NUM	jedyn	jɛdˈɪn	j ɛ d ˈɪ n		ONE_NUM_1			
Lower Sorbian	Lower Sorbian			ONE_NUM	jaden	jˈaden	j ˈa d e n		ONE_NUM_1			
Polish	Polish			ONE_NUM	jeden	jˈɛdɛn	j ˈɛ d ɛ n		ONE_NUM_1			
Kashubian	Kashubian			ONE_NUM	jeden	jˈɛdɛn	j ˈɛ d ɛ n		ONE_NUM_1			
Ukrainian	Ukrainian			ONE_NUM	один	ɔdˈɪn	ɔ d ˈɪ n		ONE_NUM_1			
Belarusian	Belarusian			ONE_NUM	адзін	aʣʲˈin	a ʣʲ ˈi n		ONE_NUM_1			
Russian	Russian			ONE_NUM	один	ɐdʲˈin	ɐ dʲ ˈi n		ONE_NUM_1			
Čakavian (Istria)	Čakavian (Istria)			ONE_NUM		jɛdǎːn	j ɛ d ǎː n		ONE_NUM_1			
Čakavian (Cres)	Čakavian (Cres)			ONE_NUM		jɛdˈɛn	j ɛ d ˈɛ n		ONE_NUM_1			
Čakavian (Burgenland)	Čakavian (Burgenland)			ONE_NUM		jˈɛdaːn	j ˈɛ d aː n		ONE_NUM_1			
Kajkavian	Kajkavian			ONE_NUM		jˈædæn	j ˈæ d æ n		ONE_NUM_1			
Proto-Balto-Slavic	Proto-Balto-Slavic			NUT_NOUN	aráiˀsas	arái̯ˀsas	a r ái̯ˀ s a s		NUT_NOUN_1			
Lithuanian	Lithuanian			NUT_NOUN	ríešutas	rʲîə̯ʃʊtɐs	rʲ îə̯ ʃ ʊ t ɐ s		NUT_NOUN_1			
Latvian	Latvian			NUT_NOUN	rieksts	rˈiɛ̯ksts	r ˈiɛ̯ k s t s		NUT_NOUN_1			
Proto-Slavic	Proto-Slavic			NUT_NOUN	orě̀xъ	orɛ̌xŭ	o r ɛ̌ x ŭ		NUT_NOUN_1			
Old Church Slavonic	Old Church Slavonic			NUT_NOUN	орѣхъ	ɔrˈæxʊ	ɔ r ˈæ x ʊ		NUT_NOUN_1			
Bulgarian	Bulgarian			NUT_NOUN	орех	ˈɔrɛx	ˈɔ r ɛ x		NUT_NOUN_1			
Macedonian	Macedonian			NUT_NOUN	орев	ˈɔɾɛf	ˈɔ ɾ ɛ f		NUT_NOUN_1			
Štokavian	Štokavian			NUT_NOUN	òrah	ǒrax	ǒ r a x		NUT_NOUN_1			
Čakavian	Čakavian			NUT_NOUN	orȉh	orîx	o r î x		NUT_NOUN_1			
Slovenian	Slovenian			NUT_NOUN	óreh	ɔ̀ːrɛx	ɔ̀ː r ɛ x		NUT_NOUN_1			
Slovak	Slovak			NUT_NOUN	orech	ˈɔrɛx	ˈɔ r ɛ x		NUT_NOUN_1			
Czech	Czech			NUT_NOUN	ořech	ˈor̝ɛx	ˈo r̝ ɛ x		NUT_NOUN_1			
Upper Sorbian	Upper Sorbian			NUT_NOUN	worjech	βˈɔrʲɛx	β ˈɔ rʲ ɛ x		NUT_NOUN_1			
Lower Sorbian	Lower Sorbian			NUT_NOUN	wórjech	vˈɛrʲɛx	v ˈɛ rʲ ɛ x		NUT_NOUN_1			
Polish	Polish			NUT_NOUN	orzech	ˈɔʐɛx	ˈɔ ʐ ɛ x		NUT_NOUN_1			
Kashubian	Kashubian			NUT_NOUN	òrzech	u̯ˈɛʐɛx	u̯ˈɛ ʐ ɛ x		NUT_NOUN_1			
Ukrainian	Ukrainian			NUT_NOUN	горіх	ɦɔrʲˈix	ɦ ɔ rʲ ˈi x		NUT_NOUN_1			
Belarusian	Belarusian			NUT_NOUN	арэх	arˈɛx	a r ˈɛ x		NUT_NOUN_1			
Russian	Russian			NUT_NOUN	орех	ɐrʲˈex	ɐ rʲ ˈe x		NUT_NOUN_1			
Proto-Balto-Slavic	Proto-Balto-Slavic			PLOUGH_NOUN	árˀtla	árˀtla	á rˀ t l a		PLOUGH_NOUN_1			
Lithuanian	Lithuanian			PLOUGH_NOUN	árklas	âːrkɫɐs	âː r k ɫ ɐ s		PLOUGH_NOUN_1			
Latvian	Latvian			PLOUGH_NOUN	arkls	ˈarkl̩s	ˈa r k l̩ s		PLOUGH_NOUN_1			
Proto-Slavic	Proto-Slavic			PLOUGH_NOUN	őrdlo	oˀrdlo	oˀ r d l o		PLOUGH_NOUN_1			
Old Church Slavonic	Old Church Slavonic			PLOUGH_NOUN	рало	rˈɑlɔ	r ˈɑ l ɔ		PLOUGH_NOUN_1			
Bulgarian	Bulgarian			PLOUGH_NOUN	рало	rˈaɫo	r ˈa ɫ o		PLOUGH_NOUN_1			
