Mecklenburgisch-Vorpommersch	Mecklenburgisch-Vorpommersch	probability
ˈʏ_ç	ˈi_k	1.0
ˈɪ_n	n	1.0
ˈɛː_ɣ	ˈoĩ̯	1.0
ˈɛɪ̯	ˈeː	1.0
ˈɔʏ̯_n	ˈĩː	1.0
ˈɒː_n	ˈɛ̃ː	1.0
ˈœː_n	ˈõː	1.0
ˈœː	-	1.0
ˈœ	-	1.0
ˈøː	ˈeː	1.0
ˈyː	ˈoi̯	1.0
ˈoː_æ_#>	ˈɑː_#>	1.0
ˈiː_n	ˈɑ̃i̯	1.0
ˈeː_n	ˈẽː	1.0
ˈeː	ˈeː	1.0
ˈae̯_n	ˈãː	1.0
ɾ	d̥	1.0
ɪ	i	1.0
ɣ̊	ɐ_ʃ	1.0
ɡ̊	-	1.0
ç_#>	#>	1.0
z̥	s	1.0
z	s	1.0
x	x	1.0
w	v	1.0
v̥	b̥	1.0
v	v	1.0
tʰ	ʦ	1.0
t_n	z̥_ə	1.0
r	ʀ	1.0
pʰ	f	1.0
p_#>	f_#>	1.0
n_n	n_ə	1.0
l	l	1.0
k_n	ɡ̊_ə	1.0
k_#>	#>	1.0
h	h	1.0
f	f	1.0
b_m	v_ə	1.0
ae̯	ɛː	1.0
<#_ˈɪ	<#_ˈi	1.0
#>	ə_#>	1.0
ʃ	ʃ	0.895
kʰ	kʰ	0.857
m	m	0.815
d̥	d̥	0.81
ˈɪ	ˈi	0.792
ç	ʃ	0.778
ˈoː	-	0.75
d	d̥	0.731
n	n	0.717
ŋ	ŋ	0.692
ˈʊ	ˈu	0.667
s	s	0.667
ˈʏ	-	0.625
æ	æ̆	0.618
j	ɡ̊	0.6
b	b̥	0.6
ˈuː	ˈau̯	0.588
ˈɛː	-	0.571
ˈaː	ˈɑː	0.571
ˈa	ˈɑ	0.571
ˈɔʏ̯	ˈiː	0.5
ˈɔʏ̯	-	0.5
ˈɔ	ˈo	0.5
ɡ	ɡ̊	0.5
p	v̥	0.5
p	p	0.5
ˈiː	ˈai̯	0.455
ˈɒː	ˈɑː	0.438
ˈɛː	ˈɛ	0.429
ˈaː	ˈæ	0.429
ˈa	ˈa	0.429
ˈae̯	ˈiː	0.412
ˈaʊ̯	ˈuː	0.4
k	ʃ	0.4
k	x	0.4
j	j	0.4
b	p	0.4
æ	ɐ	0.382
ˈʏ	ˈi	0.375
ˈiː	-	0.364
ˈʊ	ˈo	0.333
s	k_s	0.333
ˈɛ	ˈɛ	0.308
ˈaʊ̯	ˈaː	0.3
t	s	0.296
d	t	0.269
t	d̥	0.259
ˈɔ	ˈu	0.25
ˈɔ	-	0.25
ˈɒː	ˈoː	0.25
ˈoː	oː	0.25
ɡ	ɣ̊	0.25
ɡ	k	0.25
ˈuː	-	0.235
ˈae̯	ˈaː	0.235
ˈɛ	ˈɛː	0.231
n	ə	0.226
ç	ʃ_t	0.222
t	t	0.222
ˈaʊ̯	ˈoː	0.2
k	k	0.2
d̥	-	0.19
ˈɒː	ˈa	0.188
t	ʦ	0.185
ˈiː	ˈiː	0.182
ˈuː	ˈɔ	0.176
ˈɛ	ˈi	0.154
ˈɛ	ˈe	0.154
ˈɛ	-	0.154
ŋ	ʒ̊_ə	0.154
ŋ	j_ə	0.154
kʰ	k	0.143
ˈɪ	ˈai̯	0.125
ˈɒː	m	0.125
ˈae̯	ˈi	0.118
ˈae̯	ˈai̯	0.118
ˈae̯	-	0.118
m	v_ə	0.111
ʃ	ʒ̊	0.105
ˈaʊ̯	ˈu	0.1
ˈɪ	-	0.083
m	ə	0.074
n	-	0.057
