Western Lombard	Western Lombard	probability
ˈɛ_ʧ	w_a	1.0
ˈɛ_l	o	1.0
ˈɛ_#>	w_a_ʁ_#>	1.0
ˈɔ_t	ɥ_i	1.0
ˈɔ_s	o	1.0
ˈɔ	ɔ	1.0
ˈɑː_d	ɛ	1.0
ˈøː_k	ø	1.0
ˈøː	œ	1.0
ˈy	u	1.0
ˈũ	ɔ̃	1.0
ˈoː	-	1.0
ˈo	-	1.0
ˈĩ	ɛ̃	1.0
ˈẽ_t	ɑ̃	1.0
ˈã_k	ɑ̃	1.0
ˈa_l	o	1.0
ˈa_#>	e_#>	1.0
ʧ_#>	#>	1.0
ɛ	-	1.0
y	-	1.0
w	-	1.0
ũ	ɔ̃	1.0
t_e	t	1.0
t_a_#>	t_#>	1.0
t_#>	#>	1.0
t	t	1.0
s_ˈɛ	s_ɛ	1.0
s_p	e_p	1.0
r_t	ʁ	1.0
p_#>	#>	1.0
p	p	1.0
o	-	1.0
n_#>	#>	1.0
m	m	1.0
l_ˈɛ	l_i	1.0
l_#>	#>	1.0
k_w	k	1.0
k_r	k_ʁ	1.0
k_#>	#>	1.0
j_ˈøː	i	1.0
ĩ	-	1.0
i	-	1.0
f	f	1.0
ẽ	n	1.0
e_r	ʁ	1.0
ã	ɑ̃	1.0
a_d	ɛ	1.0
a_#>	#>	1.0
<#_ˈœ	<#_œ	1.0
<#_ˈa_n	<#_ɑ̃	1.0
<#_ˈa	<#_a	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
<#	<#_v	1.0
r	ʁ	0.967
s	s	0.912
l	l	0.905
b	b	0.9
v	v	0.852
s_#>	#>	0.846
ʧ	s	0.8
a	a	0.778
ˈɛ	ɛ	0.75
ʒ	ʒ	0.75
n	n	0.75
ˈã	ɛ̃	0.727
ˈiː	i	0.7
j	l	0.692
d	-	0.636
ɡ	ɡ	0.625
ˈẽ	ɑ̃	0.6
z	-	0.6
s_k	e_k	0.6
ˈyː	y	0.571
ˈa	ɛ	0.571
ɲ	ɲ	0.571
f_#>	f_#>	0.571
k	ʃ	0.559
ˈu	u	0.5
ʤ	ʒ	0.5
ʤ	-	0.5
u	ɔ	0.455
k	k	0.441
ˈyː	-	0.429
ˈe	j	0.429
ˈa	a	0.429
ɲ	ɛ̃	0.429
f_#>	#>	0.429
ˈuː	œ	0.417
ˈuː	-	0.417
ˈẽ	-	0.4
z	z	0.4
s_k	ʃ	0.4
e	-	0.381
ɡ	-	0.375
u	u	0.364
ˈu	-	0.357
ˈi	i_ʁ	0.357
ˈɑː	ɛ	0.348
ˈɑː	a	0.348
j	j	0.308
ˈɑː	e	0.304
ˈiː	w_a	0.3
ˈi	i	0.286
ˈeː	j	0.286
ˈe	ɛ	0.286
ˈe	-	0.286
#>	e_#>	0.286
ˈã	ɑ̃	0.273
ˈɛ	w_a	0.25
ʒ	z	0.25
ˈi	-	0.214
ˈeː	i	0.214
ˈeː	-	0.214
#>	ø_#>	0.214
#>	a_#>	0.214
ʧ	k_l	0.2
e	ɛ	0.19
e	ə	0.19
u	-	0.182
d	ʁ	0.182
d	d	0.182
ˈuː	w	0.167
s_#>	a_#>	0.154
n	-	0.15
v	-	0.148
ˈu	ɔ	0.143
ˈi	w	0.143
ˈeː	w_a	0.143
ˈeː	w	0.143
e	w_a	0.143
#>	ɛ̃_#>	0.143
#>	l_#>	0.143
a	ə	0.111
a	-	0.111
n	ɑ̃	0.1
b	-	0.1
l	-	0.095
e	a	0.095
s	t_ʁ	0.088
