Limburgish	East Franconian	probability
ˈʏː	-	1.0
ˈʏ	ˈɪ	1.0
ˈʊ	ˈʊ	1.0
ˈɪː	ˈɪ	1.0
ˈɑː	ˈɒ	1.0
ˈœː	ˈʊ	1.0
ˈœi̯	ˈaɪ̯	1.0
ˈu	ˈuː	1.0
ˈaː_j	ˈɒ_l	1.0
ʃ	ʃ	1.0
ʀ_d̥	ɐ_d̥	1.0
ɦ	h	1.0
ɡ	ˈoː	1.0
ə_ʀ	ɐ	1.0
ə_v̥	f_a	1.0
ə_l	l	1.0
ə_k	ç	1.0
z_ˈɛ	s	1.0
w	l	1.0
v̥	b̥	1.0
v	f	1.0
s_t	ʃ_d̥	1.0
p_ə	f_n	1.0
n_d	n	1.0
m	m	1.0
l_ə	l	1.0
k_ə	ŋ	1.0
j_ə	ɾ	1.0
i	eː	1.0
d̥	d̥	1.0
d_ʀ	d̥_r	1.0
d	d̥	1.0
l	l	0.955
β	v	0.909
b	b̥	0.884
ˈɒː	ˈoː	0.864
z	s	0.844
ŋ	ŋ	0.785
ˈɪ	ˈɛ	0.772
ˈuː	ˈaʊ̯	0.772
t	ʦ	0.772
ɣ_ə	ŋ	0.771
z̥	z̥	0.77
ˈæː	ˈɛ	0.759
n	n	0.749
ˈiː	ˈaɪ̯	0.745
s	ʃ	0.74
ɣ	ɡ̊	0.736
ˈɛ	ˈɪ	0.718
ʀ_ə	ɐ	0.715
ˈɑ	ˈɒ	0.701
p	b̥͡v̥	0.689
ˈɛː	ˈaː	0.681
ˈɔː	ˈaː	0.654
ˈɔ	ˈɔ	0.632
ə	n	0.632
ˈoː	ˈuː	0.617
j	d̥_n	0.614
ˈɔu̯	ˈaʊ̯	0.61
ˈœ	ˈɪ	0.6
ˈæ	-	0.566
ˈyː	-	0.555
ˈʊː	ˈʊ	0.546
v_ə	β	0.526
ˈeː	ˈiː	0.506
t_ə	z̥	0.504
t_ə	z̥_n	0.496
k	kʰ	0.49
ˈaː	ˈɒ	0.477
v_ə	m	0.474
ʀ	ɐ	0.463
ɣ̊	ɣ̊	0.459
x	ç_d̥	0.447
ˈyː	ˈɘ	0.445
ˈæ	ˈɛ	0.434
ˈœ	ˈaː	0.4
ˈøː	ˈiː	0.391
ˈɔu̯	ˈaː	0.39
j	j	0.386
ˈoː	ˈʊ	0.383
ˈøː	-	0.376
ə	a	0.368
ˈi	ˈiː	0.349
ˈi	-	0.349
ˈɔː	ˈɔ	0.346
ɣ̊	ç	0.312
p	v̥	0.311
ʀ	r	0.305
ˈi	ˈeː	0.303
x	ç	0.298
ʀ_ə	ɐ_n	0.285
ˈɛ	ˈɛ	0.282
ˈʊː	ˈɔ	0.28
ɣ	-	0.264
ˈiː	ˈiː	0.255
x	x_d̥	0.255
ˈaː	ˈoː	0.249
ˈæː	ˈa	0.241
ˈøː	ˈuː	0.233
z̥	-	0.23
ɣ̊	ɡ̊	0.229
ɣ_ə	ɣ	0.229
ˈɪ	ˈɪ	0.228
ˈuː	ˈuː	0.228
t	d̥	0.228
ŋ	ç	0.215
ˈeː	ˈeː	0.212
n	-	0.196
ˈɔ	ˈʊ	0.185
ˈɔ	-	0.183
ˈɛː	-	0.181
ˈʊː	ˈuː	0.174
ˈɑ	ˈɛ	0.174
k	x	0.17
ˈaː	-	0.161
k	ɡ̊	0.159
z	ʃ	0.156
ˈeː	ˈɛ	0.155
ˈɛː	ˈɪ	0.138
ˈɒː	-	0.136
s	ʃ_d̥	0.134
ˈeː	-	0.127
s	ɡ̊_s	0.126
ˈɑ	-	0.124
b	-	0.116
k	ɡ̊_n	0.112
ʀ	-	0.101
β	v_ˈɔ	0.091
ˈaː	ˈɒ_l	0.076
ʀ	ɾ_ɐ	0.073
k	ç	0.069
ʀ	r_ˈaɪ̯	0.058
n	n_a	0.055
