Gascon	Gascon	probability
ˈɛ_j	ˈa	1.0
ˈɔ	ˈɔ	1.0
ˈy_m	nː	1.0
ˈy	ˈu	1.0
ˈi_#>	ɪ_#>	1.0
ˈe_ʎ	cː	1.0
ˈe_ð	ˈi_ɾ	1.0
ˈa_w	ˈɔ	1.0
ˈa_j	ˈa_ʈ	1.0
ʤ	ɾ	1.0
ʃ	ʃː	1.0
ɡ_l	ɟ	1.0
ɡ	ɡ	1.0
ð	t	1.0
z_ˈa	j	1.0
y	u	1.0
w_ˈe	ˈɔ	1.0
w_t_e_s_#>	#>	1.0
t_ˈa	t_ˈa	1.0
p_l	c	1.0
p_#>	p_ʊ_#>	1.0
p	p	1.0
nː	-	1.0
n_ˈa	n_ˈɔ	1.0
n_d	nː	1.0
m_ˈa	m_ˈa	1.0
m_#>	m_ɪ_#>	1.0
lː	ɟː	1.0
l_ˈe	l_ˈi	1.0
k_ɾ	k_ɾ	1.0
k_#>	k_ʊ_#>	1.0
j_ˈe	ˈɛ	1.0
j_ʃ	ʃː	1.0
j_t	tː	1.0
j_#>	ʊ_#>	1.0
h	f	1.0
f	fː	1.0
e_h	ç	1.0
e_#>	ɪ_#>	1.0
a_ð	a_t	1.0
a_r	ʐ	1.0
<#_ˈe	<#_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_l	1.0
<#_w	<#_ˈɔ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
ɔ	a	0.967
ˈa	ˈa	0.962
m	m	0.909
ˈɛ	ˈɛ	0.903
ɲ	ɲː	0.9
ˈi	ˈi	0.833
k	k	0.824
ʒ	j	0.818
a	a	0.818
d	d	0.8
j	-	0.778
e_s	ʃ	0.778
ʦ	ɕ_ɪ	0.75
<#_a	<#_a	0.75
w_#>	l_ʊ_#>	0.714
b	v	0.645
n	n	0.636
ʎ	ɟː	0.6
ˈe	ˈi	0.562
s	s	0.511
β	v	0.5
ɾ	ɾ	0.5
z	ɕ	0.5
z	z	0.5
u	u	0.5
#>	ʊ_#>	0.5
w	w	0.474
ŋ	n_ʊ	0.458
ɣ	ɡ	0.444
ˈu	ˈu	0.424
ʎ	cː	0.4
e	i	0.382
β	p	0.375
i	ʊ	0.375
i	i	0.375
r	ɾ	0.364
n	n_t	0.364
b	b	0.355
ɣ	k	0.333
l	l	0.333
e	ɪ	0.324
r	r	0.318
#>	ɪ_#>	0.312
ˈu	ˈɔ	0.303
w_#>	v_ɪ_#>	0.286
t	t	0.282
ˈe	ˈɛ	0.281
t	ɖː	0.256
ʦ	ʦː	0.25
ŋ	ŋ	0.25
i	-	0.25
<#_a	<#	0.25
t	tː	0.231
ɣ	w	0.222
l	ɖː	0.222
l	-	0.222
j	j	0.222
e_s	a_s	0.222
u	ˈu	0.214
s	ɕ	0.213
ɾ	ɪ_ɾ	0.208
ɾ	r	0.208
ŋ	n_ɪ	0.208
d	ɪ	0.2
ʒ	-	0.182
a	ˈa	0.182
w	l_ɪ	0.158
ˈu	ˈu_ɾ	0.152
u	o	0.143
u	-	0.143
r	ɾ_n	0.136
#>	ɾ_ɪ_#>	0.134
t	-	0.128
β	b	0.125
ˈu	ˈo	0.121
k	kː	0.118
l	ˈi	0.111
l	ʊ_l	0.111
s	ɪ	0.106
s	-	0.106
w	ˈɔ	0.105
w	v_ʊ	0.105
w	-	0.105
ɲ	ɲ	0.1
ˈɛ	-	0.097
ˈe	-	0.094
r	ɽ_ɪ	0.091
r	-	0.091
m	-	0.091
e	ʊ	0.088
e	ɽ_ʊ	0.088
ˈi	ˈi_n	0.083
ˈi	ɪ	0.083
ɾ	ɖː	0.083
ŋ	nː	0.083
s	sː	0.064
ˈe	ˈe	0.062
k	ɡ_ʊ	0.059
e	ɾ_ʊ	0.059
e	a	0.059
w	bː	0.053
t	d	0.051
