Franco-Provençal	Franco-Provençal	probability
ˈɛː_ʁ_#>	ˈɛ_#>	1.0
ˈɛː_#>	#>	1.0
ˈɛ_t	ˈɛ_k	1.0
ˈɑ̃	ˈã	1.0
ˈy	ˈuː_r	1.0
ˈoː_ʁ	r	1.0
ˈi_#>	#>	1.0
ˈa_m	ˈo	1.0
ʒ	-	1.0
ʁ_o	e_r	1.0
ʁ_#>	#>	1.0
ɲ	ɲ	1.0
ɡ_ʎ	ʤ	1.0
ɡ	ɡ	1.0
ɛː	e	1.0
ɛ	-	1.0
ə_t	ʃ	1.0
ə_#>	#>	1.0
ɔ̃	-	1.0
ɑ̃	ã	1.0
ɑː	a_s	1.0
y	-	1.0
w_ˈɛː	ˈuː	1.0
w_ˈa	ˈøː_k	1.0
u	-	1.0
p	p	1.0
o_#>	#>	1.0
n_o	ẽ	1.0
m	m	1.0
l_#>	l_#>	1.0
f	f	1.0
d	d	1.0
b	b	1.0
a	a	1.0
<#_ʁ	<#_r	1.0
<#_ð	<#_ʒ	1.0
<#_t	<#_t	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
<#	<#_ʧ	1.0
n	n	0.926
v	v	0.923
k	k	0.905
ʃ	k	0.882
ˈɔ̃	ˈũ	0.818
ʁ	r	0.791
j	-	0.769
t	t	0.765
ʃ_#>	s_#>	0.75
e	s	0.75
s	s	0.744
ˈĩ	ˈĩ	0.714
ˈɛ̃	ˈẽ	0.636
ˈɑː	-	0.6
ˈaː	ˈa	0.6
ʎ	j	0.6
w_ˈe	ˈu	0.6
ˈu	-	0.583
l	l	0.55
o	-	0.545
ˈa	ˈa	0.542
w	-	0.538
ə	a	0.52
ˈɔ	ˈɔ	0.5
ˈɔ	ˈu	0.5
ɔ	u	0.5
ɔ	-	0.5
z	ʒ	0.5
z	z	0.5
j_ˈe	ˈeː	0.5
j_ˈe	ˈa	0.5
i	a	0.5
i	-	0.5
ˈa	ˈɑː	0.458
o	u	0.455
ˈoː	ˈɔ	0.429
ˈe	ˈɛ	0.429
ˈu	ˈyː	0.417
ˈi	ˈi	0.412
ˈɑː	ˈa	0.4
ˈaː	ˈɑː	0.4
ʎ	ʧ	0.4
ə	e	0.4
w_ˈe	ˈœ	0.4
ˈɛ	ˈɛ	0.357
l	j	0.35
ˈɛː	ˈeː	0.333
ˈø	ˈɔ	0.333
ˈø	ˈuː	0.333
ˈø	-	0.333
#>	t_#>	0.333
ð	r	0.3
ð	-	0.3
ˈɛː	ˈɛ	0.286
ˈɛː	-	0.286
ˈɛ	-	0.286
ˈĩ	-	0.286
ˈo	ˈu	0.273
ʃ_#>	#>	0.25
ð	d	0.25
e	-	0.25
ˈi	-	0.235
j	i	0.231
ˈɛ	ˈe	0.214
ˈoː	ˈøː	0.214
ˈoː	ˈa_l	0.214
ˈe	-	0.214
s	ʧ	0.205
ˈɛ̃	ɲ	0.182
ˈɛ̃	-	0.182
ˈɔ̃	ˈỹ	0.182
ˈo	ˈøː	0.182
ˈo	ˈyː	0.182
ˈo	ˈuː	0.182
ˈo	-	0.182
ˈi	ˈiː	0.176
ˈi	ˈeː	0.176
#>	s_#>	0.167
w	ˈøː	0.154
w	ˈyː	0.154
w	w	0.154
ð	ʧ	0.15
ˈɛ	ˈi	0.143
ˈoː	ˈy	0.143
ˈe	ˈiː	0.143
#>	k_#>	0.125
ʃ	s	0.118
t	s	0.118
t	l_t	0.118
l	-	0.1
ˈɛː	ˈɑː	0.095
k	-	0.095
ʁ	r_t	0.093
#>	r_#>	0.083
#>	n_#>	0.083
#>	l_#>	0.083
ə	-	0.08
v	ɡ	0.077
n	-	0.074
ˈe	ˈi	0.071
ˈe	ˈa	0.071
ˈe	j	0.071
ʁ	-	0.07
#>	ʧ_#>	0.062
#>	f_#>	0.062
s	-	0.051
