Ligurian	Ligurian	probability
ˈɛː_r	ˈɛ_rː	1.0
ˈɔː_r	ˈɔ_ɬ	1.0
ˈe_t	ˈe_tː	1.0
ˈe_d	i_d	1.0
ˈaː_#>	ˈa_#>	1.0
ɲ	ɲː	1.0
ɥ	u_d	1.0
ŋ_#>	n_u_#>	1.0
y	-	1.0
w_e	u	1.0
v_u	β_u	1.0
sː	j	1.0
s_p	i_pː	1.0
r_n	rː	1.0
r_k	xː	1.0
p	p	1.0
o	-	1.0
l_u	u	1.0
k_r	k_r	1.0
j_ˈu	ˈo	1.0
j_#>	#>	1.0
e_#>	ˈi_#>	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
<#	<#_ʤ	1.0
f	f	0.952
a	a	0.946
ˈa	ˈa	0.92
d	d	0.889
u	u	0.888
e	i	0.86
k	k	0.842
ˈy	ˈu	0.8
ˈi	ˈi	0.8
i	i	0.8
r	r	0.724
m	m	0.724
ˈaː	ˈa	0.7
ˈɔː	ˈɔ	0.667
ˈɔ	ˈɔ	0.667
ʃ	ʃː	0.667
l	l	0.655
ˈeː	ˈe	0.647
ˈøː	ˈɔ	0.636
ˈiː	ˈi	0.625
ʒ	ʦ	0.615
ˈe	ˈɛ	0.607
ˈø	ˈo	0.571
ˈyː	ˈu	0.571
t	t	0.538
ŋ	n	0.535
ˈɛ	ˈɛ	0.5
ˈuː	ˈɔ	0.5
ʧ	ʧ	0.5
ʧ	p_j	0.5
r_s	ʦː	0.5
r_s	sː	0.5
v	v	0.485
#>	i_#>	0.462
ˈu	ˈɔ	0.45
z	ʤ	0.438
ˈø	ˈɔ	0.429
ˈyː	ˈu_r	0.429
ɡ	ɡ	0.429
ɡ	ɡː	0.381
ˈøː	ˈo	0.364
s	s	0.364
n	nː	0.364
n	n	0.364
ʤ	ʎː	0.353
#>	u_#>	0.346
ˈɔː	ˈo	0.333
ˈɔ	-	0.333
ʃ	-	0.333
t	tː	0.308
ˈuː	ˈo	0.3
ʤ	-	0.294
ˈɛː	ˈe	0.286
w	u_r	0.286
w	-	0.286
j	r	0.286
j	-	0.286
m	mː	0.276
l	dː	0.276
n	ɲː	0.273
ˈɛ	ˈe	0.25
ˈɛ	-	0.25
ˈu	ˈo	0.25
v	β	0.242
j	a_r	0.238
ʤ	ʧː	0.235
ʒ	ʒ	0.231
s	ʦ	0.227
ˈɛː	ˈɛ	0.214
ˈɛː	ˈa	0.214
ˈe	ˈe	0.214
w	ˈɔ	0.214
w	w	0.214
ˈy	ˈo	0.2
ˈuː	ˈo_r	0.2
ˈu	ˈu	0.2
ˈi	-	0.2
i	ˈi	0.2
ɡ	-	0.19
z	z	0.188
z	-	0.188
ŋ	n_i	0.163
ʒ	-	0.154
t	dː	0.154
ˈaː	ˈa_ɬ	0.15
ˈaː	ˈa_r	0.15
ˈɛː	ˈa_i	0.143
ˈɛː	-	0.143
ŋ	ŋ	0.14
r	j	0.138
r	-	0.138
ˈiː	j	0.125
ˈiː	i	0.125
ˈiː	-	0.125
z	ʤː	0.125
ˈeː	ˈe_d	0.118
ˈeː	i	0.118
ˈeː	-	0.118
ʤ	b_j	0.118
#>	ˈa_#>	0.115
s	ɬ	0.114
d	dː	0.111
ˈe	-	0.107
ˈu	-	0.1
j	o	0.095
j	j	0.095
v	bː	0.091
v	b	0.091
v	-	0.091
s	ʦː	0.091
s	sː	0.091
ˈa	-	0.08
k	kː	0.079
#>	a_#>	0.077
ˈe	ˈi	0.071
ŋ	-	0.07
e	u	0.07
e	a	0.07
l	r	0.069
s	-	0.068
z	ʣ	0.062
u	r_u	0.056
k	xː	0.053
