East Franconian	Faroese	probability
β	v	1.0
ˈɒː	ˈɛːa̯	1.0
ˈuː_d̥	ˈɔːu̯_w	1.0
ˈoː_ɐ	ˈɔ̯aː_ɹ	1.0
ˈiː_ɐ	ˈʊ̯iː_ɹ	1.0
ˈeː	-	1.0
ˈa	k_ˈa	1.0
ʃ_d̥	s_t	1.0
ɪ	a_ŋ	1.0
ɣ̊	-	1.0
ɣ	ɡ̊	1.0
ɡ̊_r	ɡ̊_ɹ	1.0
ɡ̊_n	ɡ̊ː	1.0
ə	ɹ	1.0
ɐ_n	t͡n̥	1.0
ɐ_d̥	ˈøː_ɹ	1.0
ç_d̥	ʰt_ʊ	1.0
z̥_ɐ	ʰt͡n̥	1.0
z̥_n	t_a	1.0
x_d̥	ʰt	1.0
x	k	1.0
v̥	p	1.0
n_s	sː	1.0
n_d̥	n	1.0
kʰ	kʰ	1.0
i	-	1.0
eː	a_n	1.0
d̥_r	tʰ_ɹ	1.0
d̥_n	j_a	1.0
b̥͡v̥	pʰ	1.0
v	v	0.902
h	h	0.879
b̥	b̥	0.798
m	m	0.79
ˈaʊ̯	ˈʉːu̯	0.781
r	ɹ	0.774
ˈaɪ̯	ˈʊ̯iː	0.763
ɡ̊	-	0.753
a	a	0.731
l	l	0.694
ˈʊ	ˈʊ	0.679
f	f	0.674
ˈɪ	ˈɪ	0.653
ɾ	w	0.574
s	s	0.554
ç	k_ʊ	0.55
ɐ	ɹ	0.526
z̥	ʰt	0.514
ˈoː	ˈɔ̯aː	0.51
d̥	d̥	0.504
z̥	s	0.486
ˈɒ	ˈa	0.469
ç	ɡ̊_ʊ	0.45
n	n	0.449
ʦ	tʰ	0.433
ɾ	-	0.426
ʃ	ʃ	0.422
ˈuː	ˈɔːu̯	0.39
ˈɛ	-	0.382
ŋ	ŋ	0.372
ˈoː	ˈɛːa̯	0.353
ʃ	s	0.325
ˈɔ	-	0.305
ˈɔ	ˈʊ	0.295
ˈɛ	ˈɛ	0.293
n	a	0.287
ˈaː	ˈɛːi̯	0.272
ˈaː	-	0.268
ʃ	s_k	0.254
ˈɔ	ˈɔ	0.252
ɡ̊	ʰʧ	0.247
ˈɒ	ˈɔ	0.24
s	t_ʊ	0.239
ˈaː	ˈai̯	0.232
ˈaː	ˈaːi̯	0.228
ˈiː	ˈɪ	0.226
r	-	0.226
n	nː	0.223
ˈaʊ̯	ˈɪ_ɡ̊	0.219
ʦ	ʰt	0.218
ʦ	t	0.208
d̥	tʰ	0.204
b̥	v_ʊ	0.202
l	t͡l̥	0.196
ŋ	ɡ̊	0.195
ŋ	ʰk	0.181
ˈʊ	-	0.18
ˈiː	ˈøː	0.178
ˈiː	-	0.178
ˈɛ	j	0.168
ˈuː	ˈɛ_ɡ̊	0.158
ˈuː	ɡ̊	0.158
ˈɛ	ˈeː	0.156
ˈiː	ˈɛːa̯	0.156
ˈuː	ˈɛːi̯	0.154
ˈɪ	-	0.149
ɐ	ʊ	0.148
ɐ	ɪ_ɹ	0.148
ˈɔ	ˈœ	0.147
ˈɒ	ˈɛːa̯	0.147
ˈɪ	ˈiː	0.144
ˈɒ	-	0.144
d̥	t	0.144
ŋ	a	0.142
ˈʊ	ˈɔ	0.141
ʦ	ʈ	0.141
ˈuː	-	0.14
f	p	0.14
ɐ	ɹ_ʊ	0.138
ˈoː	-	0.137
ˈaɪ̯	ˈa	0.137
a	ɡ̊_a	0.134
a	-	0.134
ˈiː	ˈʉːu̯	0.131
ˈiː	ˈɔːu̯	0.131
m	m_j	0.131
h	-	0.121
ŋ	ɲ	0.11
l	l̥	0.11
ˈaɪ̯	ˈʊ_ʤ̊ː	0.1
f	v	0.099
v	-	0.098
f	ʰp	0.087
d̥	ʊ_ɹ	0.083
s	ʃ	0.078
m	v_a	0.078
s	t	0.072
d̥	j_ʊ	0.064
s	-	0.056
ˈɪ	ˈœ	0.055
