Eastphalian	Alsatian	probability
b	b̥	0.846
b	f	0.112
b	-	0.048
d	d̥	0.568
d	t	0.37
d	ʃ	0.038
d	-	0.036
f	f	0.942
f	b̥	0.058
h	h	1.0
j	ɡ̊	0.388
j	j	0.304
j	v	0.304
k	kʰ	0.413
k	ʃ	0.339
k	k	0.15
k	ɡ̊	0.054
k	x	0.053
l	l	1.0
m	m	0.831
m	-	0.104
m	n	0.053
m	f	0.035
n	n	0.7
n	ə	0.25
n	-	0.04
p	f	0.618
p	p͡f	0.174
p	p	0.1
r	ʁ	1.0
s	ʃ	0.687
s	s	0.304
t	t	0.428
t	s	0.35
t	ʦ	0.214
v	ʋ	0.814
v	b̥	0.072
v	v	0.061
v	-	0.059
w	w	1.0
x	x	0.734
x	-	0.245
z	s	1.0
ç	ʃ	0.457
ç	-	0.339
ç	j	0.194
ŋ	ŋ	0.936
ŋ	j	0.064
ɐ	ə	0.485
ɐ	-	0.44
ɐ	ʁ_i	0.066
ə	-	0.898
ə	ə	0.08
ə	ʋ	0.036
ɣ	ɡ̊	0.638
ɣ	-	0.167
ɣ	k	0.167
ɪ	i	1.0
ʃ	ʃ	0.935
ʃ	s	0.06
ˈa	ˈɒ	0.747
ˈa	ˈɒː	0.179
ˈa	ˈæ	0.065
ˈaʊ̯	ˈʊː	0.803
ˈaʊ̯	ˈɒ	0.103
ˈaʊ̯	ˈøː	0.074
ˈaː	ˈɒː	0.692
ˈaː	ˈoː	0.287
ˈeo̯	ˈoː	0.68
ˈeo̯	ˈʊː	0.268
ˈeo̯	ˈœ	0.051
ˈeː	ˈe	0.229
ˈeː	ˈiː	0.174
ˈeː	ˈɛ	0.174
ˈeː	ˈæ	0.125
ˈeː	ˈi	0.12
ˈiː	ˈiː	0.534
ˈiː	ˈei̯	0.283
ˈiː	ˈi	0.163
ˈoː	ˈoː	0.297
ˈoː	ˈʊː	0.196
ˈoː	ˈu	0.185
ˈoː	ˈo	0.133
ˈuː	ˈyː	0.602
ˈuː	ˈøi̯	0.105
ˈuː	ˈɔi̯	0.101
ˈuː	ˈi	0.077
ˈuː	ˈø	0.077
ˈyː	ˈiː	1.0
ˈøː	ˈeː	0.202
ˈøː	ˈai̯	0.175
ˈøː	ˈu	0.088
ˈœ	ˈeː	0.38
ˈœ	ˈe	0.19
ˈɒː	ˈɒ	0.403
ˈɒː	ˈoː	0.359
ˈɒː	ˈɒː	0.122
ˈɒː	ˈæː	0.093
ˈɔ	ˈɒ	0.348
ˈɔ	ˈu	0.303
ˈɔ	ˈoː	0.148
ˈɔ	ˈo	0.14
ˈɔʏ̯	ˈiː	0.803
ˈɔʏ̯	ˈeː	0.123
ˈɛ	ˈe	0.271
ˈɛ	ˈi	0.236
ˈɛ	ˈæ	0.135
ˈɛ	ˈaː	0.135
ˈɛ	ˈæː	0.135
ˈɛə̯	ˈɒ	1.0
ˈɛɪ̯	ˈəi̯	0.439
ˈɛɪ̯	ˈiː	0.168
ˈɛɪ̯	ˈeː	0.135
ˈɛɪ̯	ˈei̯	0.117
ˈɛɪ̯	ˈæː	0.102
ˈɛː	ˈæː	0.287
ˈɛː	ˈɒː	0.25
ˈɛː	ˈæ	0.143
ˈɛː	ˈaː	0.106
ˈɛː	ˈiː	0.103
ˈɪ	ˈi	0.72
ˈɪ	ˈiː	0.1
ˈɪ	ˈe	0.088
ˈɪ	ˈəi̯	0.058
ˈɪ	ˈɒ	0.041
ˈʊ	ˈu	0.436
ˈʊ	ˈo	0.287
ˈʊ	ˈʊː	0.092
ˈʊ	ˈøː	0.085
ˈʊ	ˈyː	0.068
ˈʏ	ˈi	0.582
ˈʏ	ˈu	0.375
