Eastphalian	Alsatian	probability
h	h	1.0
l	l	1.0
r	ʁ	1.0
w	w	1.0
x	x	1.0
z	s	1.0
ç	ʃ	1.0
ə	ə	1.0
ʃ	ʃ	1.0
ˈaʊ̯	ˈʊː	1.0
ˈaː	ˈɒː	1.0
ˈeː	ˈe	1.0
ˈuː	ˈyː	1.0
ˈyː	ˈiː	1.0
ˈɔʏ̯	ˈiː	1.0
b	b̥	0.981
j	-	0.061
ŋ	-	0.061
ɐ	-	0.641
ˈiː	ˈi	0.211
ˈœ	ˈu	0.361
ˈɛː	ˈɒː	0.441
ˈʏ	ˈu	0.331
k	kʰ	0.442
m	m	0.952
n	n	0.592
p	f	0.902
ˈeo̯	ˈʊː	0.312
ˈɛɪ̯	ˈæː	0.072
ˈɛɪ̯	ˈei̯	0.132
j	ɡ̊	0.743
k	k	0.13
n	ə	0.353
t	ʦ	0.263
t	t	0.393
ɣ	k	0.163
ˈɒː	ˈɒ	0.323
ˈɔ	ˈu	0.693
ˈɛɪ̯	ˈiː	0.283
ˈʊ	ˈu	0.763
d	t	0.354
t	s	0.344
v	b̥	0.064
ˈiː	ˈiː	0.34
ˈɛ	ˈe	0.654
n	n_d̥	0.055
s	s	0.305
s	ʃ	0.695
ˈa	ə_#>	0.215
ˈoː	ˈo	0.495
ˈoː	ˈu	0.505
ˈɛɪ̯	ˈeː	0.225
ˈɪ	ˈi	0.875
d	d̥	0.646
j	j	0.196
v	ʋ	0.936
ˈa	t_#>	0.086
ˈɛ	ˈi	0.176
k	ʃ	0.427
ɣ	ɡ̊	0.837
ˈɒː	ˈoː	0.677
ˈɔ	ˈo	0.137
ˈɔ	ˈɒ	0.17
ˈɛ	ˈæ	0.17
ˈɪ	ˈe	0.067
ˈʊ	ˈo	0.237
f	f	0.988
p	p͡f	0.098
ˈeo̯	ˈoː	0.688
ˈɪ	ˈiː	0.058
ŋ	ŋ	0.939
ɐ	ə_ʁ	0.359
ˈa	ˈɒ	0.659
ˈiː	ˈei̯	0.449
ˈœ	ˈe	0.639
ˈɛɪ̯	ˈəi̯	0.289
ˈɛː	ˈæː	0.559
ˈʏ	ˈi	0.669
