Aragonese	Romanian	probability
f	f	1.0
p	p	1.0
r	r	1.0
u	ˈo	1.0
w	-	1.0
ˈu	ˈu	1.0
a	a	0.11
e	-	0.091
j	j	0.491
l	-	0.181
o	e	0.081
o	u	0.321
t	t	0.911
ʎ	k	0.11
ˈe	ˈa	0.181
θ	ʧ	0.701
a	e	0.142
b	v	0.862
k	k	0.872
ŋ	-	0.652
ɣ	ɡ	0.172
ɲ	n	0.742
ˈa	-	0.072
m	-	0.083
n	n	0.723
ð	t	0.943
ɾ	-	0.123
ˈe	ˈu	0.163
ˈo	ˈu	0.373
θ	ʧ_e	0.093
d	d	0.4
i	i	0.764
ʎ	-	0.64
ʧ	ʤ	0.964
a	ə	0.525
j	ʦ	0.095
j	p	0.195
o	w	0.205
ɡ	ɡ	0.95
ɾ	r	0.535
ʃ	-	0.345
ʃ	ʃ_t	0.655
ʎ	j	0.25
ʝ	d	0.415
ʝ	-	0.585
ˈa	ˈɨ	0.345
ˈa	ˈa	0.55
ˈo	o̯ˈa	0.315
β	-	0.675
a	ˈa	0.076
d	z	0.6
e	ə	0.076
i	-	0.236
s	-	0.196
s	s	0.576
t	j	0.056
ɣ	k	0.786
ˈe	ˈi	0.156
ˈe	ˈe	0.286
ˈi	ˈi	0.896
θ	s	0.206
k	-	0.087
m	m	0.917
n	-	0.157
ð	d	0.057
ɾ	r_e	0.317
ˈo	ˈau̯	0.077
ˈo	-	0.117
β	p	0.227
a	-	0.148
e	e	0.708
j	-	0.188
o	ə	0.078
s	ʃ	0.228
ŋ	ŋ	0.348
ɲ	m_n	0.258
ˈi	ˈu	0.058
β	b	0.098
b	b	0.09
e	i	0.099
l	l	0.729
n	n_e	0.099
o	-	0.299
ˈo	ˈo	0.119
