West Frisian	West Frisian	probability
χ_t	x_d̥	1.0
χ_#>	#>	1.0
ˈɪ_n	ˈe_n	1.0
ˈɛ_j_#>	ˈai̯_#>	1.0
ˈɔː_n	n_d̥	1.0
ˈɔː	ˈo	1.0
ˈøə̯	ˈai̯	1.0
ˈø	ˈe	1.0
ˈyː	ˈu	1.0
ˈy	ˈu	1.0
ˈu̯o	ˈiɐ̯	1.0
ˈu	ˈu	1.0
ˈoː_#>	#>	1.0
ˈiː_n	ˈi_n	1.0
ˈiə̯_n	ˈoɐ̯	1.0
ˈaː_j	ˈoɐ̯	1.0
ʦ	-	1.0
ʋ	ʋ	1.0
ɪ	i	1.0
ɣ_ə	ɡ̊	1.0
ɣ_j	ŋ	1.0
ə_r	a	1.0
ə_#>	#>	1.0
ɕ	s	1.0
z	-	1.0
v_ə	f_ə	1.0
t_ə	s_n	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
r_#>	#>	1.0
p_ə	f_a	1.0
p_#>	f_#>	1.0
p	b̥͡v̥	1.0
n_ə	ŋ	1.0
m	m	1.0
l_#>	#>	1.0
j_ˈuə̯	ˈai̯	1.0
j_ɪ	eɐ̯	1.0
h	h	1.0
f_#>	b̥_#>	1.0
f	f	1.0
d_ə	d̥_n	1.0
d	d̥	1.0
b	b̥	1.0
<#_ˈɪə̯	<#_ˈo	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_t	<#_ʦ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_k	<#_kʰ	1.0
<#_d	<#_d̥	1.0
d̥	d̥	0.833
ˈuə̯	ˈuɐ̯	0.8
ˈɛː	-	0.714
v	ʋ	0.7
ˈɪ	ˈi	0.684
k	ɡ̊	0.667
k_#>	#>	0.636
ˈiː	ˈai̯	0.625
χ	ɡ̊	0.6
ˈɛ	ˈe	0.6
ˈuː	ˈau̯	0.6
s	s	0.588
n	n	0.576
l	l	0.541
ˈiə̯	-	0.538
ˈeː	ˈeː	0.5
ˈeː	-	0.5
ˈaː	ˈɒː	0.5
ŋ	ŋ	0.5
j_ˈɪ	ˈiɐ̯	0.5
j_ˈɪ	ˈeː	0.5
r	r	0.455
t	d̥	0.419
s	ʃ	0.412
χ	ɡ̊_a	0.4
ˈɛ	-	0.4
ˈuː	-	0.4
ˈi	ˈai̯	0.4
ə	a	0.4
#>	d̥_#>	0.4
ˈɔ	ˈo	0.389
j	-	0.385
l	j	0.378
ˈiː	-	0.375
k_#>	x_#>	0.364
t	s	0.355
ˈɛi̯	ˈeː	0.333
k	x	0.333
ˈoə̯	ˈo_ɐ	0.3
ˈoə̯	-	0.3
ˈi	ˈi	0.3
ˈi	-	0.3
ŋ	ŋ_ɡ̊	0.3
v	-	0.3
ˈɛː	ˈe	0.286
ˈɪə̯	-	0.278
ˈɔ	-	0.278
r	ɐ	0.273
ˈaː	ˈɑ	0.25
ˈaː	ˈaː	0.25
ˈa	ˈɒː	0.235
ˈa	-	0.235
ə	n	0.233
j	ˈiɐ̯	0.231
j	ˈai̯	0.231
t	ʦ	0.226
ˈɪə̯	ˈeː	0.222
ˈɪə̯	ˈaː	0.222
ˈɛi̯	ˈe_ɡ̊	0.222
ˈɛi̯	ɡ̊	0.222
ˈɛi̯	-	0.222
ˈɔ	ˈu	0.222
ˈuə̯	-	0.2
ˈoə̯	ˈo	0.2
ˈoə̯	ɐ	0.2
ŋ	-	0.2
#>	ɡ̊_#>	0.2
#>	n_#>	0.2
#>	b̥_#>	0.2
ˈa	ˈɑː	0.176
ˈa	ˈɑ	0.176
ˈa	ˈo	0.176
ˈɪə̯	ˈou̯	0.167
d̥	j_d̥	0.167
ˈiə̯	ˈoɐ̯	0.154
ˈiə̯	ˈeː	0.154
ˈiə̯	ˈe	0.154
j	j	0.154
r	a	0.152
n	n_d̥	0.152
n	-	0.152
r	d̥_a	0.121
n	ŋ	0.121
ˈɪə̯	ˈiɐ̯	0.111
ˈɔ	ˈi	0.111
ˈɪ	ˈoɐ̯	0.105
ˈɪ	ˈiː	0.105
ˈɪ	-	0.105
ə	ə	0.1
l	l_ˈɑ	0.081
ə	s	0.067
ə	m	0.067
ə	d̥_n	0.067
ə	-	0.067
