Eastern Lombard	Eastern Lombard	probability
ˈɛ_#>	ˈɛ_#>	1.0
ˈɔ	ˈɔ	1.0
ˈø_k	ˈo_ɡ	1.0
ˈy	ˈu	1.0
ˈu_#>	ˈo_ŋ_#>	1.0
ˈu	ˈo	1.0
ˈo_s	ˈo_s	1.0
ˈi_#>	ˈi_r_#>	1.0
ˈe_r	ˈe_r	1.0
ˈe_#>	ˈi_#>	1.0
ˈa_#>	ˈa_r_#>	1.0
ˈa	ˈa	1.0
ʋ	v	1.0
ɲ	ɲ	1.0
ŋ	ŋ	1.0
z	z	1.0
y	u	1.0
w	w	1.0
u	o	1.0
t_a	t_a	1.0
t_#>	t_o_#>	1.0
s_ˈɛ	s_ˈe	1.0
r_ˈa	r_ˈa	1.0
r_t	r_t	1.0
r_s	r_s	1.0
r_k	r_k	1.0
r_a	r_a	1.0
p_#>	p_o_#>	1.0
p	p	1.0
o_l	o_ɰ	1.0
m_#>	m_e_#>	1.0
l_a	a	1.0
k_r	k_r	1.0
j_#>	ʤ_o_#>	1.0
e_n	e_ŋ	1.0
e_d	ˈe_d	1.0
d_e	r_e	1.0
b	b	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_o	1.0
<#_l_ˈɛ	<#_ˈe	1.0
<#_l	<#	1.0
<#_a	<#_a	1.0
a	a	0.96
m	m	0.933
k	k	0.918
ɡ	ɡ	0.895
#>	o_#>	0.891
<#	<#_v	0.875
s	s	0.86
o	o	0.846
f	f	0.84
r	r	0.786
d	d	0.783
j	j	0.762
n	n	0.761
ˈɛ_l	ˈɛ_o	0.75
r_#>	r_o_#>	0.75
e	e	0.7
t	t	0.654
ʧ	ʧ	0.636
s_#>	z_e_#>	0.636
ˈɛ	ˈɛ	0.609
ˈi	ˈi	0.607
f_#>	v_e_#>	0.6
l	ɰ	0.575
ʤ	z	0.5
ʤ	-	0.5
i	i	0.5
i	e	0.5
e_r	r_o	0.5
e_r	a_r	0.5
ˈo	ˈo	0.438
ˈø	ˈu	0.435
f_#>	v_e_r_#>	0.4
ˈɛ	ˈe	0.391
ˈo	ˈɔ	0.375
s_#>	z_o_#>	0.364
ˈø	ˈɔ	0.348
l	l	0.325
ˈɛ_l	ˈɛ	0.25
r_#>	#>	0.25
n	ŋ	0.239
ˈe	ˈe	0.214
ˈo	-	0.188
ʧ	t_e	0.182
ʧ	t	0.182
ˈi	ˈi_ŋ	0.179
f	v	0.16
t	d_o	0.154
o	-	0.154
e	o	0.15
e	-	0.15
ˈi	ˈe	0.143
ˈe	ˈi	0.143
ˈe	ˈe_ŋ	0.143
ˈe	j_ˈɛ	0.143
ˈe	j_ˈe	0.143
j	-	0.143
ˈø	-	0.13
d	-	0.13
<#	<#_ˈa	0.125
t	d	0.115
ˈe	ˈɛ	0.107
ˈe	v_ˈi	0.107
ɡ	-	0.105
j	o	0.095
ˈø	ˈo	0.087
d	r	0.087
k	ɡ	0.082
t	r	0.077
#>	e_r_#>	0.073
ˈi	e_r	0.071
r	o_r	0.071
r	o	0.071
r	-	0.071
m	ŋ	0.067
s	z	0.053
s	s_e	0.053
