Northern Low Saxon	Northern Low Saxon	probability
ˈʏ_n	n	1.0
ˈʊ	ˈo	1.0
ˈɛː	ˈiː	1.0
ˈɛɪ̯	-	1.0
ˈɔʏ̯_d	ˈiə̯_s	1.0
ˈœ_t_aɪ̯_n	eə̯	1.0
ˈœ	-	1.0
ˈøː	-	1.0
ˈø	-	1.0
ˈyː	ˈəi̯	1.0
ˈuː	ˈao̯	1.0
ˈeɪ̯	-	1.0
ʒ	j	1.0
ʃ	ʃ	1.0
z̥	s	1.0
v̥	b	1.0
v	ʋ	1.0
tʰ	ʦ	1.0
pʰ	p͡f	1.0
p	-	1.0
n_#>	#>	1.0
l_d	l_d	1.0
kʰ	kʰ	1.0
k	ɡ	1.0
i	ɡ	1.0
h	h	1.0
f_#>	b_#>	1.0
d_n	s_a	1.0
b_m	f_a	1.0
b_#>	f_#>	1.0
<#_ˈa	<#_ˈɛ	1.0
f	f	0.92
r	ʁ	0.917
l	l	0.905
z	s	0.9
t	d	0.857
ˈa	ˈa	0.833
ˈiː	ˈəi̯	0.818
ç	ɡ	0.8
b	b	0.8
d	d	0.757
ŋ	ŋ	0.714
m	m	0.696
ɪ	ɪ	0.667
ɡ	ɡ	0.667
ˈeː	-	0.636
x	x	0.625
ɐ	ʌ	0.618
ˈʏ	ˈu	0.6
ˈɛ	ˈɛ	0.5
ˈaː	ˈa_ʕ	0.5
#>	ʌ_#>	0.5
#>	a_#>	0.5
n	n	0.459
ˈɔʏ̯	-	0.444
ˈaɪ̯	ˈɔe̯	0.429
ˈʏ	-	0.4
ˈɔ	ˈɔ	0.375
ˈɔ	ˈu	0.375
x	ɡ	0.375
ˈeː	ˈɛ	0.364
s	ʃ	0.364
s	s	0.364
n	a	0.361
ˈɪ	ˈi	0.36
ˈɔʏ̯	ˈeː	0.333
ˈaː	ˈa_l	0.333
ɪ	i	0.333
ɐ	ʕ	0.324
ŋ	ɡ_a	0.286
ˈoː	ˈɔː	0.273
s	ʃ_d	0.273
ˈaʊ̯	ˈoː	0.259
ˈɛ	ˈɛː	0.25
ˈɛ	-	0.25
ˈɔ	-	0.25
ˈɪ	-	0.24
ˈaɪ̯	ˈiə̯	0.238
ˈaɪ̯	-	0.238
ˈoː	ˈa	0.227
ˈɔʏ̯	ˈuə̯	0.222
ˈaʊ̯	ˈuə̯	0.222
ɡ	ç	0.2
ç	ç_d	0.2
ˈoː	ˈoː	0.182
ˈiː	-	0.182
m	m_a	0.174
ˈaː	ˈʌ	0.167
ˈa	ˈaː	0.167
ˈɪ	ˈɪ	0.16
ˈɪ	ˈe	0.16
ˈaʊ̯	ˈao̯	0.148
t	ʣ	0.143
d	s	0.143
ˈoː	ˈaː	0.136
ɡ	x	0.133
m	b_a	0.13
ˈaʊ̯	-	0.111
z	s_ˈeː	0.1
b	b̥͡f	0.1
b	b_ˈɛ	0.1
ˈaɪ̯	ˈae̯	0.095
ˈoː	ˈɛː	0.091
ˈoː	-	0.091
r	ʁ_ˈae̯	0.083
ˈɪ	ˈəi̯	0.08
f	f_ˈi	0.08
ˈaʊ̯	ˈɔ	0.074
ˈaʊ̯	ˈuː	0.074
ˈaʊ̯	ˈa	0.074
n	n_d	0.066
ɐ	-	0.059
