Occitan	Aragonese	probability
<#_a	<#_a	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_t	<#_t	1.0
<#_u	<#_o	1.0
<#_v	<#_b	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɥ	<#_w	1.0
<#_ʤ	<#_ʧ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈy	<#_ˈu	1.0
a	a	1.0
e_n	e_n	1.0
i	i	1.0
i_#>	o_#>	1.0
j_#>	j_#>	1.0
j_ɾ	j	1.0
k	k	1.0
l_ˈa	l_ˈa	1.0
m_b	m	1.0
n_ʤ	n_ʧ	1.0
p	p	1.0
r_k	ɾ_k	1.0
s_k	s_k	1.0
s_p	s_p	1.0
s_t	s_t	1.0
t_#>	t_#>	1.0
t_ɾ	t_ɾ_o	1.0
t_ˈa	t_ˈa	1.0
v	β	1.0
w_#>	w_#>	1.0
w_ɾ	β	1.0
z_ɔ	s_a	1.0
ŋ	ŋ	1.0
ɔ_#>	a_#>	1.0
ɡ	ɡ	1.0
ɣ	ɣ	1.0
ɲ	ɲ	1.0
ɲ_#>	ɲ_o_#>	1.0
ɾ_e	ˈe_ɾ	1.0
ɾ_ˈe	ɾ_ˈe	1.0
ʎ	ʎ	1.0
ʦ_#>	θ_#>	1.0
ʧ	ˈe_j_#>	1.0
ʧ_#>	t_o_#>	1.0
ˈa_n	ˈa_n	1.0
ˈa_w	ˈo	1.0
ˈa_ɲ	ˈa	1.0
ˈe	ˈe	1.0
ˈe_j	e_ʝ	1.0
ˈu_n	w_ˈe_n	1.0
ˈɔ_k	ˈe_ɣ	1.0
k_#>	k_o_#>	0.571
s	p_o	0.111
ɾ	s	0.061
ɾ	-	0.061
ˈi	ˈe	0.061
ˈɔ	w_ˈe	0.81
<#_e	<#	0.182
e_#>	ˈe_ɾ_#>	0.2
l	ʎ	0.222
m	m_b	0.2
r	ɾ	0.882
t	t	0.692
ð	ʝ	0.2
ɥ	ˈu	0.222
ˈy	ˈu	0.812
β	β	0.882
j_ˈɛ	ˈe_j	0.333
s	θ	0.333
w	β	0.3
w	o	0.3
ɥ	-	0.333
<#	ɡ	0.4
e_#>	ɾ_#>	0.4
e_#>	e_#>	0.4
j	-	0.364
s_#>	s_#>	0.714
t	ð	0.154
t	ð_o	0.154
w	-	0.4
ɥ	w	0.444
ˈu	w_ˈe	0.114
#>	n_#>	0.185
<#_s	<#_θ	0.345
<#_s	<#_s	0.655
n	n	0.765
u	u	0.375
u	o	0.625
ʤ	ð	0.5
ʤ	ʝ	0.5
ˈɛ	ˈe	0.375
ˈɛ	j_ˈe	0.625
<#	<#_a	0.6
j	j	0.636
l_#>	l_#>	0.286
n_#>	t_o	0.286
n_#>	n_t_o	0.286
s_#>	s_o_#>	0.286
z	s	0.286
z	ð	0.286
#>	ɾ_#>	0.477
e	-	0.207
e	e	0.517
j_ˈɛ	ˈe	0.667
l_#>	o_#>	0.107
s	s	0.167
ˈa	ˈa	0.917
ˈu	ˈu	0.257
<#_e	<#_e	0.818
e	i	0.138
e	o	0.138
l	l	0.778
m	m	0.8
n	l	0.118
n	-	0.118
r	r	0.118
ð	ð	0.8
ˈy	ˈu_ɾ_o	0.188
β	p	0.118
#>	n_o_#>	0.169
#>	e_#>	0.169
k_#>	o	0.429
l_#>	l_o	0.179
l_#>	ʎ_o_#>	0.429
n_#>	n_#>	0.429
s	ʃ	0.389
z	θ	0.429
ɾ	ɾ	0.879
ˈi	ˈi	0.939
ˈu	ˈo	0.629
ˈɔ	ˈo	0.19
