Mecklenburgisch-Vorpommersch	Mecklenburgisch-Vorpommersch	probability
ˈɛɪ̯	ˈɛː	1.0
ˈœː	-	1.0
ˈœ	-	1.0
ˈøː	ˈøː	1.0
ˈoː_æ	ɐ	1.0
ˈeː	ˈeː	1.0
ˈaɪ̯_æ	ʁ_ə	1.0
ʃ	ʃ	1.0
ɪ	ɪ	1.0
ɣ̊	ɡ̊	1.0
ɣ	-	1.0
ɡ̊	-	1.0
ɡ	ɡ	1.0
æ	ɐ	1.0
z	z	1.0
x	x	1.0
w	v	1.0
v	v	1.0
tʰ	ʦ	1.0
pʰ	p͡f	1.0
l	l	1.0
kʰ	kʰ	1.0
h	h	1.0
f	f	1.0
d_n	t_n	1.0
b	b	1.0
ae̯	eː	1.0
<#_n	<#_n	1.0
r	ʁ	0.929
n	n	0.912
ˈa	ˈa	0.885
m	m	0.824
ˈuː	ˈaʊ̯	0.765
ˈɪ	ˈɪ	0.759
p	f	0.7
ˈʊ	ˈʊ	0.692
ˈiː	ˈaɪ̯	0.688
ŋ	ŋ	0.688
ˈyː	ˈɔʏ̯	0.667
ɾ	t	0.667
v̥	b̥	0.667
j	ɡ	0.667
z̥	z̥	0.625
ˈɔ	ˈɔ	0.6
ˈʏ	ˈʏ	0.545
ˈae̯	ˈaɪ̯	0.519
d̥	d̥	0.517
d	tʰ	0.517
ˈɛ	ˈɛ	0.5
ˈɔʏ̯	ˈyː	0.5
ˈoː	ˈaː	0.5
ˈoː	-	0.5
s	s	0.5
d̥	t	0.483
d	d	0.483
ˈaʊ̯	ˈuː	0.476
ˈɒː	ˈaː	0.474
ˈʏ	-	0.455
ˈaː	ˈa_ɐ	0.429
t	t	0.429
t	s	0.429
ˈɛː	ˈɛ	0.375
ˈɛː	-	0.375
z̥	z_ə	0.375
k	ç	0.368
k	k	0.368
ç	ç	0.357
ˈyː	-	0.333
ɾ	d	0.333
v̥	-	0.333
j	j	0.333
ŋ	ɡ_n	0.312
ˈʊ	ˈɔ	0.308
p	-	0.3
ˈae̯	ˈiː	0.296
ˈaː	ˈɛ_ɐ	0.286
ˈaː	ˈaː	0.286
ˈɛː	ˈaː	0.25
ˈɔʏ̯	ˈuː	0.25
ˈɔʏ̯	-	0.25
s	z̥	0.25
s	k_s	0.25
ˈaʊ̯	ˈoː	0.238
ˈuː	ˈɔ	0.235
ˈɛ	ˈeː	0.214
ç	ɡ̊	0.214
ˈɒː	ˈoː	0.211
ˈɔ	ˈʊ	0.2
ˈɔ	ˈa	0.2
ˈaʊ̯	ˈaʊ̯	0.19
ˈiː	ˈiː	0.188
ˈɒː	ˈa	0.158
ˈɒː	-	0.158
k	x	0.158
ˈɛ	ˈɪ	0.143
ˈɛ	ˈaː	0.143
ç	ç_t	0.143
ç	k_n	0.143
ç	k	0.143
t	ʦ	0.143
ˈɪ	ˈaɪ̯	0.138
ˈiː	ˈiː_ɐ	0.125
ˈa	ˈaː	0.115
ˈae̯	ˈeː	0.111
k	x_ə	0.105
ˈɪ	-	0.103
ˈaʊ̯	-	0.095
ˈae̯	-	0.074
r	ʁ_ˈɔʏ̯	0.071
n	n_d	0.062
m	n	0.059
m	f_n	0.059
m	b_n	0.059
